gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
UBE2L3,5.08,3.526,,,Ubiquitin-conjugating enzyme E2 L3,Myc Targets V1,Parkinson disease;Pathways of neurodegeneration;Ubiquitin mediated proteolysis,Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654;Immune System R-HSA-168256;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Protein Ubiquitination R-HSA-8852135;Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652
UBE3A,10.264,8.59,,,Ubiquitin-protein ligase E3A,,Human papillomavirus infection;Ubiquitin mediated proteolysis;Viral carcinogenesis,Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Immune System R-HSA-168256
UBE4B,12.528,15.45,,,Ubiquitin conjugation factor E4 B,,Protein processing in endoplasmic reticulum;Ubiquitin mediated proteolysis,
UBR3,6.48,6.593,,,E3 ubiquitin-protein ligase UBR3,,,
UBR5,7.623,8.013,,,E3 ubiquitin-protein ligase UBR5,,Ubiquitin mediated proteolysis,
UBTF,10.502,12.75,,,Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1),,,Epigenetic Regulation Of Gene Expression R-HSA-212165;Gene Expression (Transcription) R-HSA-74160;Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941;NoRC Negatively Regulates rRNA Expression R-HSA-427413;RNA Polymerase I Promoter Clearance R-HSA-73854;RNA Polymerase I Promoter Escape R-HSA-73772;RNA Polymerase I Promoter Opening R-HSA-73728;RNA Polymerase I Transcription Initiation R-HSA-73762;RNA Polymerase I Transcription R-HSA-73864;RNA Polymerase I Transcription Termination R-HSA-73863
UCN,0.035,0.024,,UCN,Urocortin,,Neuroactive ligand-receptor interaction,"Class B/2 (Secretin Family Receptors) R-HSA-373080;GPCR Ligand Binding R-HSA-500792;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085"
UEVLD,4.002,3.758,,,Ubiquitin-conjugating enzyme E2 variant 3 (UEV-3) (EV and lactate/malate dehydrogenase domain-containing protein),,,
UFC1,10.502,8.49,,,Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1),,,
UGT1A1,0.036,,,,UDP-glucuronosyltransferase 1A1 (UGT1A1),,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Heme Degradation R-HSA-189483;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Phase II - Conjugation Of Compounds R-HSA-156580
UGT1A4,0.026,,,,UDP-glucuronosyltransferase 1A4 (UGT1A4),,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Heme Degradation R-HSA-189483;Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Phase II - Conjugation Of Compounds R-HSA-156580
UGT1A9,0.021,,,,UDP-glucuronosyltransferase 1A9 (UGT1A9),,Ascorbate and aldarate metabolism;Bile secretion;Chemical carcinogenesis;Drug metabolism;Metabolism of xenobiotics by cytochrome P450;Pentose and glucuronate interconversions;Porphyrin and chlorophyll metabolism;Retinol metabolism;Steroid hormone biosynthesis,Aspirin ADME R-HSA-9749641;Biological Oxidations R-HSA-211859;Drug ADME R-HSA-9748784;Glucuronidation R-HSA-156588;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Paracetamol ADME R-HSA-9753281;Phase II - Conjugation Of Compounds R-HSA-156580;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206
ULK1,9.295,10.62,,,Serine/threonine-protein kinase ULK1,,AMPK signaling pathway;Alzheimer disease;Amyotrophic lateral sclerosis;Autophagy;Huntington disease;Longevity regulating pathway;Mitophagy;Pathways of neurodegeneration;Spinocerebellar ataxia;mTOR signaling pathway,Autophagy R-HSA-9612973;Macroautophagy R-HSA-1632852;Membrane Trafficking R-HSA-199991;Mitophagy R-HSA-5205647;RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198;Rab Regulation Of Trafficking R-HSA-9007101;Receptor Mediated Mitophagy R-HSA-8934903;Selective Autophagy R-HSA-9663891;TBC/RABGAPs R-HSA-8854214;Vesicle-mediated Transport R-HSA-5653656
ULK2,2.437,2.356,,,Serine/threonine-protein kinase ULK2,,Alzheimer disease;Amyotrophic lateral sclerosis;Autophagy;Huntington disease;Pathways of neurodegeneration;Spinocerebellar ataxia;mTOR signaling pathway,
UMPS,6.232,5.797,,,Uridine 5'-monophosphate synthase (UMP synthase),DNA Repair;IL-2/STAT5 Signaling,Drug metabolism;Pyrimidine metabolism,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320
UNC119,3.339,4.222,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell,,Protein unc-119 homolog A (Retinal protein 4) (hRG4),Estrogen Response Early,,
UNC13A,0.703,0.401,,,Protein unc-13 homolog A (Munc13-1),,Synaptic vesicle cycle,
UNC45A,6.46,7.156,,,Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1),,,
UNC5A,0.135,0.042,,ADGRL;UNC5;Netrin,Netrin receptor UNC5A (Protein unc-5 homolog 1) (Protein unc-5 homolog A),,Axon guidance,Apoptosis R-HSA-109581;Axon Guidance R-HSA-422475;Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889;Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769;Developmental Biology R-HSA-1266738;Nervous System Development R-HSA-9675108;Netrin Mediated Repulsion Signals R-HSA-418886;Netrin-1 Signaling R-HSA-373752;Programmed Cell Death R-HSA-5357801
UNG,3.455,3.205,,,Uracil-DNA glycosylase (UDG),mTORC1 Signaling;E2F Targets;Myc Targets V2,Base excision repair;Primary immunodeficiency,"Base Excision Repair R-HSA-73884;Base-Excision Repair, AP Site Formation R-HSA-73929;Cleavage Of Damaged Pyrimidine R-HSA-110329;DNA Repair R-HSA-73894;Displacement Of DNA Glycosylase By APEX1 R-HSA-110357;Resolution Of Abasic Sites (AP Sites) R-HSA-73933"
UPF1,12.733,16.125,,,Regulator of nonsense transcripts 1,G2-M Checkpoint,RNA transport;mRNA surveillance pathway,Metabolism Of RNA R-HSA-8953854;Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957;Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956
UPK1A,0.032,,taste receptor cell;urothelial cell;bladder urothelial cell;bladder cell,,Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa),,,
UPK2,0.015,,taste receptor cell,,Uroplakin-2 (UP2) (Uroplakin II) (UPII),,,
UQCC1,5.544,5.363,,,Ubiquinol-cytochrome-c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog),,,
UQCC3,3.285,3.361,,,Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog),,,
URB1,3.031,4.098,,,Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog),,,
URGCP,5.854,7.757,,,Up-regulator of cell proliferation (HBV X protein up-regulated gene 4 protein) (HBxAg up-regulated gene 4 protein),,,
USF1,2.918,3.776,,,Upstream stimulatory factor 1 (Class B basic helix-loop-helix protein 11) (bHLHb11) (Major late transcription factor 1),,,ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931
USP10,8.368,9.543,,,Ubiquitin carboxyl-terminal hydrolase 10,,,
USP11,6.56,8.005,rod bipolar cell,,Ubiquitin carboxyl-terminal hydrolase 11,DNA Repair;Coagulation,,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471;Chaperonin-mediated Protein Folding R-HSA-390466;Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Protein Folding R-HSA-391251;Ub-specific Processing Proteases R-HSA-5689880
USP27X,0.663,0.578,,,Ubiquitin carboxyl-terminal hydrolase 27,,,
USP29,0.028,,,,Ubiquitin carboxyl-terminal hydrolase 29,,,
USP32,7.616,7.852,enucleate erythrocyte,,Ubiquitin carboxyl-terminal hydrolase 32,,,DNA Damage Bypass R-HSA-73893;DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Termination Of Translesion DNA Synthesis R-HSA-5656169;Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313;Ub-specific Processing Proteases R-HSA-5689880
USP36,8.262,9.43,,,Ubiquitin carboxyl-terminal hydrolase 36,,,
USP38,5.591,5.876,,,Ubiquitin carboxyl-terminal hydrolase 38,,,
USP5,8.024,7.878,,,Ubiquitin carboxyl-terminal hydrolase 5,,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Protein Ubiquitination R-HSA-8852135;Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652;Ub-specific Processing Proteases R-HSA-5689880
USP6,0.032,0.023,,,Ubiquitin carboxyl-terminal hydrolase 6,,,
USP7,14.616,13.897,,,Ubiquitin carboxyl-terminal hydrolase 7,,Epstein-Barr virus infection;FoxO signaling pathway;Viral carcinogenesis,DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Dual Incision In TC-NER R-HSA-6782135;Formation Of TC-NER Pre-Incision Complex R-HSA-6781823;Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Intracellular Signaling By Second Messengers R-HSA-9006925;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Post-translational Protein Modification R-HSA-597592;Protein Ubiquitination R-HSA-8852135;RNA Polymerase II Transcription R-HSA-73857;Regulation Of PTEN Localization R-HSA-8948747;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Degradation R-HSA-6804757;Regulation Of TP53 Expression And Degradation R-HSA-6806003;Signal Transduction R-HSA-162582;Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827;Transcriptional Regulation By TP53 R-HSA-3700989;Ub-specific Processing Proteases R-HSA-5689880
UTP23,5.556,3.951,,,rRNA-processing protein UTP23 homolog,,,
VAPB,8.595,7.186,,,Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C),,Amyotrophic lateral sclerosis;Cholesterol metabolism;Pathways of neurodegeneration,"Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;RAC2 GTPase Cycle R-HSA-9013404;RHO GTPase Cycle R-HSA-9012999;RHOA GTPase Cycle R-HSA-8980692;RHOC GTPase Cycle R-HSA-9013106;RHOD GTPase Cycle R-HSA-9013405;RHOG GTPase Cycle R-HSA-9013408;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Sphingolipid De Novo Biosynthesis R-HSA-1660661;Sphingolipid Metabolism R-HSA-428157"
VAV1,0.915,1.87,,,Proto-oncogene vav,,B cell receptor signaling pathway;Chemokine signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Leukocyte transendothelial migration;Lipid and atherosclerosis;Natural killer cell mediated cytotoxicity;Proteoglycans in cancer;Rap1 signaling pathway;Regulation of actin cytoskeleton;T cell receptor signaling pathway;Yersinia infection;cAMP signaling pathway,"Adaptive Immune System R-HSA-1280218;Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695;Azathioprine ADME R-HSA-9748787;CD28 Co-Stimulation R-HSA-389356;CD28 Dependent Vav1 Pathway R-HSA-389359;Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998;Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530;Costimulation By CD28 Family R-HSA-388841;Cytokine Signaling In Immune System R-HSA-1280215;Death Receptor Signaling R-HSA-73887;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Drug ADME R-HSA-9748784;Erythropoietin Activates RAS R-HSA-9027284;FCERI Mediated Ca+2 Mobilization R-HSA-2871809;FCERI Mediated MAPK Activation R-HSA-2871796;FCGR3A-mediated Phagocytosis R-HSA-9664422;Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;G Alpha (12/13) Signaling Events R-HSA-416482;GPCR Downstream Signaling R-HSA-388396;GPVI-mediated Activation Cascade R-HSA-114604;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Intracellular Signaling By Second Messengers R-HSA-9006925;Leishmania Infection R-HSA-9658195;NRAGE Signals Death Thru JNK R-HSA-193648;Negative Regulation Of PI3K/AKT Network R-HSA-199418;PI3K/AKT Signaling In Cancer R-HSA-2219528;PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558;PIP3 Activates AKT Signaling R-HSA-1257604;Platelet Activation, Signaling And Aggregation R-HSA-76002;Potential Therapeutics For SARS R-HSA-9679191;RAC1 GTPase Cycle R-HSA-9013149;RAC2 GTPase Cycle R-HSA-9013404;RHO GTPase Cycle R-HSA-9012999;RHOA GTPase Cycle R-HSA-8980692;RHOG GTPase Cycle R-HSA-9013408;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Regulation Of Signaling By CBL R-HSA-912631;SARS-CoV Infections R-HSA-9679506;Signal Transduction R-HSA-162582;Signaling By Erythropoietin R-HSA-9006335;Signaling By GPCR R-HSA-372790;Signaling By Interleukins R-HSA-449147;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By SCF-KIT R-HSA-1433557;Signaling By VEGF R-HSA-194138;Signaling By B Cell Receptor (BCR) R-HSA-983705;VEGFA-VEGFR2 Pathway R-HSA-4420097;VEGFR2 Mediated Vascular Permeability R-HSA-5218920;P75 NTR Receptor-Mediated Signaling R-HSA-193704"
VAX1,0.032,,,,Ventral anterior homeobox 1,,,
VDAC1,16.544,19.468,microfold cell of epithelium of small intestine;osteoclast;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,,Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM),Myc Targets V1;Oxidative Phosphorylation,Alzheimer disease;Amyotrophic lateral sclerosis;Calcium signaling pathway;Cellular senescence;Cholesterol metabolism;Diabetic cardiomyopathy;Human T-cell leukemia virus 1 infection;Huntington disease;Influenza A;NOD-like receptor signaling pathway;Necroptosis;Neutrophil extracellular trap formation;Parkinson disease;Pathways of neurodegeneration;Prion disease;Shigellosis;Spinocerebellar ataxia;cGMP-PKG signaling pathway,Autophagy R-HSA-9612973;Deubiquitination R-HSA-5688426;Macroautophagy R-HSA-1632852;Metabolism R-HSA-1430728;Metabolism Of Proteins R-HSA-392499;Mitochondrial Calcium Ion Transport R-HSA-8949215;Mitochondrial Protein Import R-HSA-1268020;Mitophagy R-HSA-5205647;PINK1-PRKN Mediated Mitophagy R-HSA-5205685;Post-translational Protein Modification R-HSA-597592;Protein Localization R-HSA-9609507;Pyruvate Metabolism R-HSA-70268;Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406;Selective Autophagy R-HSA-9663891;Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517;Transport Of Small Molecules R-HSA-382551;Ub-specific Processing Proteases R-HSA-5689880
VDR,1.282,1.502,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;transit amplifying cell of small intestine,Calcitriol,"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)",p53 Pathway;Pancreas Beta Cells,"Chemical carcinogenesis;Endocrine and other factor-regulated calcium reabsorption;Mineral absorption;Parathyroid hormone synthesis, secretion and action;Tuberculosis",Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Proteins R-HSA-392499;Metabolism Of Steroids R-HSA-8957322;Nuclear Receptor Transcription Pathway R-HSA-383280;Post-translational Protein Modification R-HSA-597592;RNA Polymerase II Transcription R-HSA-73857;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Intracellular Receptors R-HSA-4090294;Vitamin D (Calciferol) Metabolism R-HSA-196791
VEGFB,17.446,23.079,,VEGF,Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF),Adipogenesis,AGE-RAGE signaling pathway in diabetic complications;Calcium signaling pathway;Focal adhesion;MAPK signaling pathway;PI3K-Akt signaling pathway;Pathways in cancer;Rap1 signaling pathway;Ras signaling pathway;Relaxin signaling pathway,"Hemostasis R-HSA-109582;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Degranulation R-HSA-114608;Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005;Signal Transduction R-HSA-162582;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By VEGF R-HSA-194138;VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399"
VHL,5.964,4.942,,,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),Hypoxia,HIF-1 signaling pathway;Pathways in cancer;Renal cell carcinoma;Ubiquitin mediated proteolysis,"Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Cellular Response To Hypoxia R-HSA-1234174;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Disease R-HSA-1643685;Early SARS-CoV-2 Infection Events R-HSA-9772572;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176;Post-translational Protein Modification R-HSA-597592;RHOBTB3 ATPase Cycle R-HSA-9706019;SARS-CoV Infections R-HSA-9679506;SARS-CoV-1 Genome Replication And Transcription R-HSA-9679514;SARS-CoV-1 Infection R-HSA-9678108;SARS-CoV-2 Genome Replication And Transcription R-HSA-9694682;SARS-CoV-2 Infection R-HSA-9694516;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142;Signal Transduction R-HSA-162582;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
VIPR1,0.532,0.561,,VIP;GHRH,Vasoactive intestinal polypeptide receptor 1 (VIP-R-1) (Pituitary adenylate cyclase-activating polypeptide type II receptor) (PACAP type II receptor) (PACAP-R-2) (PACAP-R2) (VPAC1),Myogenesis,Neuroactive ligand-receptor interaction,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class B/2 (Secretin Family Receptors) R-HSA-373080;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Glucagon-type Ligand Receptors R-HSA-420092;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
VLDLR,13.115,9.001,,RELN,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),Hypoxia;Hedgehog Signaling;mTORC1 Signaling;Glycolysis;UV Response Dn,Lipid and atherosclerosis;Spinocerebellar ataxia,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;Nervous System Development R-HSA-9675108;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Reelin Signaling Pathway R-HSA-8866376;Transport Of Small Molecules R-HSA-382551;VLDL Clearance R-HSA-8964046;VLDLR Internalisation And Degradation R-HSA-8866427"
VPS13A,3.453,2.528,enteroendocrine cell of small intestine,,Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A),,,
VPS13B,4.072,4.353,enucleate erythrocyte;preadipocyte,,Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B),,,
VPS35,11.867,12.432,,,Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35),,Endocytosis,Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;WNT Ligand Biogenesis And Trafficking R-HSA-3238698
VPS37B,5.893,5.12,salivary gland cell,,Vacuolar protein sorting-associated protein 37B (hVps37B) (ESCRT-I complex subunit VPS37B),DNA Repair,Endocytosis,Assembly Of HIV Virion R-HSA-175474;Autophagy R-HSA-9612973;Budding And Maturation Of HIV Virion R-HSA-162588;Disease R-HSA-1643685;Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729;HCMV Infection R-HSA-9609646;HCMV Late Events R-HSA-9610379;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Late Phase Of HIV Life Cycle R-HSA-162599;Late Endosomal Microautophagy R-HSA-9615710;Membrane Trafficking R-HSA-199991;Membrane Binding And Targetting Of GAG Proteins R-HSA-174490;Vesicle-mediated Transport R-HSA-5653656
VPS4A,13.959,14.121,,,Vacuolar protein sorting-associated protein 4A,,Endocytosis;Necroptosis,"Budding And Maturation Of HIV Virion R-HSA-162588;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Disease R-HSA-1643685;Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729;HCMV Infection R-HSA-9609646;HCMV Late Events R-HSA-9610379;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Late Phase Of HIV Life Cycle R-HSA-162599;M Phase R-HSA-68886;Membrane Trafficking R-HSA-199991;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Nuclear Envelope (NE) Reassembly R-HSA-2995410;Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328;Vesicle-mediated Transport R-HSA-5653656"
VPS50,2.303,2.273,,,Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50),KRAS Signaling Dn,,
VSNL1,0.108,0.085,brush cell of trachebronchial tree;cerebellar granule cell;retinal ganglion cell,,Visinin-like protein 1 (VILIP) (VLP-1) (Hippocalcin-like protein 3) (HLP3),,,
VSTM2B,0.02,,,,V-set and transmembrane domain-containing protein 2B,,,
VWA8,4.397,5.187,,,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),,,
WAPL,11.84,10.11,,,Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor),,,"Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cohesin Loading Onto Chromatin R-HSA-2470946;Establishment Of Sister Chromatid Cohesion R-HSA-2468052;M Phase R-HSA-68886;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Telophase/Cytokinesis R-HSA-68884;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;S Phase R-HSA-69242;Separation Of Sister Chromatids R-HSA-2467813"
WARS,5.481,5.535,,,"Tryptophan--tRNA ligase, cytoplasmic",,,
WASHC2A,2.124,2.035,,,WASH complex subunit 2A,,Endocytosis,
WASHC3,5.161,5.496,,,WASH complex subunit 3 (Coiled-coil domain-containing protein 53),,Endocytosis,
WBP2,23.483,26.499,enucleated reticulocyte,,WW domain-binding protein 2 (WBP-2),,,
WDFY3,4.542,4.558,,,WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy),,,
WDHD1,0.823,0.725,,,WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1),,,
WDR12,3.909,3.245,,,Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12),,,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
WDR26,17.819,17.872,enucleate erythrocyte,,WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2),,,
WDR37,4.249,5.127,,,WD repeat-containing protein 37,UV Response Dn,,
