gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ACRV1,0.053,0.013,,,Acrosomal protein SP-10 (Acrosomal vesicle protein 1),Spermatogenesis,,
ACTBL2,0.063,0.024,,,Beta-actin-like protein 2 (Kappa-actin),,,
ACTL6A,5.843,5.495,,,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),,Hepatocellular carcinoma;Thermogenesis,Chromatin Modifying Enzymes R-HSA-3247509;DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Deubiquitination R-HSA-5688426;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;HATs Acetylate Histones R-HSA-3214847;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;RMTs Methylate Histone Arginines R-HSA-3214858;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243;Transcriptional Regulation By RUNX1 R-HSA-8878171;UCH Proteinases R-HSA-5689603
ACTL7A,0.018,,,,Actin-like protein 7A (Actin-like-7-alpha),,,
ACTN4,33.487,34.258,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Mitotic Spindle;Apical Junction,Adherens junction;Amoebiasis;Focal adhesion;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Shigellosis;Systemic lupus erythematosus;Tight junction;Viral carcinogenesis,"Cell-Cell Communication R-HSA-1500931;Hemostasis R-HSA-109582;Nephrin Family Interactions R-HSA-373753;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Degranulation R-HSA-114608;Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005"
ADAM9,13.215,10.442,salivary gland cell,,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9),Apical Junction;Complement;Coagulation,,Collagen Degradation R-HSA-1442490;Degradation Of Extracellular Matrix R-HSA-1474228;Extracellular Matrix Organization R-HSA-1474244
ADCYAP1R1,0.213,0.204,,PACAP,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),,Circadian entrainment;Insulin secretion;Neuroactive ligand-receptor interaction;Renin secretion;cAMP signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Activation Of TRKA Receptors R-HSA-187015;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class B/2 (Secretin Family Receptors) R-HSA-373080;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Glucagon-type Ligand Receptors R-HSA-420092;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;NGF-independant TRKA Activation R-HSA-187024;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934
ADD1,18.293,20.894,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,Alpha-adducin (Erythrocyte adducin subunit alpha),Apoptosis;heme Metabolism,,Apoptosis R-HSA-109581;Apoptotic Cleavage Of Cellular Proteins R-HSA-111465;Apoptotic Execution Phase R-HSA-75153;Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;IRE1alpha Activates Chaperones R-HSA-381070;Miscellaneous Transport And Binding Events R-HSA-5223345;Programmed Cell Death R-HSA-5357801;Transport Of Small Molecules R-HSA-382551;Unfolded Protein Response (UPR) R-HSA-381119;XBP1(S) Activates Chaperone Genes R-HSA-381038
ADGRA1,0.064,0.02,,,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),,,
ADGRA2,2.323,2.836,interstitial cell of Cajal;interstitial cell of ovary,ADGRA,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),KRAS Signaling Up,,
ADGRA3,4.918,4.801,cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),,,
ADGRB1,0.206,0.518,,ADGRB,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1),,p53 signaling pathway,
ADGRB2,0.21,0.141,,ADGRB,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),,,
ADGRD2,0.014,,ependymal cell,,Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24),,,
ADGRE1,0.099,0.112,,,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),Inflammatory Response,,Class B/2 (Secretin Family Receptors) R-HSA-373080;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
