gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
COQ8A,,,,no,12.977,17.428,148627,203643,0.425,ENSG00000163050,"Atypical kinase COQ8A, mitochondrial",Mitochondrion,slow muscle cell,
CSNK2A2,,,,no,13.538,15.372,155050,179613,0.183,ENSG00000070770,Casein kinase II subunit alpha' (CK II alpha'),Nucleus,,
CSNK2B,,,,no,23.744,24.972,271940,291789,0.073,ENSG00000204435,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),Nucleus,"erythroid progenitor cell, mammalian",
CYCS,,,,no,10.654,5.669,122015,66245,-0.91,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,
CYFIP2,,,,no,1.784,1.8,20436,21034,0.013,ENSG00000055163,Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121),Cytoplasm,kidney collecting duct principal cell;renal principal cell;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;lung secretory cell,
DAXX,,,,no,4.933,4.124,56500,48183,-0.259,ENSG00000204209,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),Cytoplasm,,
DDB2,,,,no,2.322,3.553,26595,41514,0.614,ENSG00000134574,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),Nucleus,,
DDIT3,,,,no,0.975,1.594,11171,18628,0.709,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,
DRAM1,,,,no,3.346,1.734,38323,20262,-0.948,ENSG00000136048,DNA damage-regulated autophagy modulator protein 1 (Damage-regulated autophagy modulator),Lysosome membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
E2F1,,,,no,0.466,0.294,5341,3440,-0.664,ENSG00000101412,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),Nucleus,,
E2F3,,,,no,1.512,1.104,17319,12901,-0.454,ENSG00000112242,Transcription factor E2F3 (E2F-3),Nucleus,,
E2F4,,,,no,3.787,3.274,43374,38259,-0.21,ENSG00000205250,Transcription factor E2F4 (E2F-4),Nucleus,erythroblast,
EED,,,,no,3.084,3.372,35316,39405,0.129,ENSG00000074266,Polycomb protein EED (hEED) (Embryonic ectoderm development protein) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1),Nucleus;Chromosome,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",
EHMT1,,,,no,3.094,3.208,35440,37484,0.052,ENSG00000181090,Histone-lysine N-methyltransferase EHMT1,Nucleus;Chromosome,,
EHMT2,,,,no,4.097,5.806,46922,67842,0.503,ENSG00000204371,Histone-lysine N-methyltransferase EHMT2,Nucleus,,
EIF4EBP1,,,,no,32.9,30.067,376798,351319,-0.13,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,
EP300,,,,no,13.387,15.102,153325,176464,0.174,ENSG00000100393,Histone acetyltransferase p300 (p300 HAT),Cytoplasm,enucleate erythrocyte,
EPHA2,,,,no,3.87,3.692,44319,43141,-0.068,ENSG00000142627,Ephrin type-A receptor 2,Cell membrane,basal cell of epithelium of bronchus;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;club cell;basal epithelial cell of tracheobronchial tree;conjunctival epithelial cell;bladder cell,EPHA
EPHX1,,,,no,19.551,23.996,223921,280392,0.296,ENSG00000143819,Epoxide hydrolase 1,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea;respiratory goblet cell;tracheal goblet cell;granulosa cell;Leydig cell;keratocyte;bronchus fibroblast of lung,
ERCC5,,,,no,4.506,5.207,51608,60846,0.209,ENSG00000134899,DNA excision repair protein ERCC-5,Nucleus,,
ETS1,,,,no,1.926,1.752,22061,20472,-0.137,ENSG00000134954,Protein C-ets-1 (p54),Nucleus,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",
EXO1,,,,no,0.164,0.092,1882,1075,-0.837,ENSG00000174371,Exonuclease 1 (hExo1),Nucleus,,
EZH2,,,,no,1.851,2.194,21194,25631,0.245,ENSG00000106462,Histone-lysine N-methyltransferase EZH2,Nucleus,"double-positive, alpha-beta thymocyte;DN4 thymocyte;precursor B cell;large pre-B-II cell;pro-B cell",
F2R,,,,no,1.599,1.326,18309,15489,-0.27,ENSG00000181104,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),Cell membrane,endothelial tip cell;endothelial cell of umbilical vein;endocardial cell;pancreatic stellate cell,PARs;KLK;PROCR
FAS,,,,no,1.751,1.442,20051,16855,-0.279,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG
FBXW11,,,,no,7.449,6.098,85312,71251,-0.289,ENSG00000072803,F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS),Cytoplasm,,
FBXW7,,,,no,1.6,1.316,18329,15374,-0.283,ENSG00000109670,F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4),Nucleus,basal cell of epidermis,
FGF13,,,,no,0.273,0.203,3124,2368,-0.429,ENSG00000129682,Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2),Cytoplasm,chromaffin cell;epithelial cell of sweat gland;kidney distal convoluted tubule epithelial cell;ciliary muscle cell;neuronal brush cell;visceromotor neuron,
FOXM1,,,,no,0.45,0.243,5159,2838,-0.891,ENSG00000111206,Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells),Nucleus,,
FOXO1,,,,no,6.409,6.11,73403,71398,-0.069,ENSG00000150907,Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma),Cytoplasm,renal beta-intercalated cell;endothelial cell of pericentral hepatic sinusoid;skeletal muscle fiber;cell of skeletal muscle;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
FOXO3,,,,no,14.004,9.691,160388,113235,-0.531,ENSG00000118689,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),Cytoplasm,tongue muscle cell;skeletal muscle fibroblast;erythroid lineage cell,
FUCA1,,,,no,4.735,4.577,54234,53483,-0.049,ENSG00000179163,Tissue alpha-L-fucosidase,Lysosome,intermediate monocyte,
FZR1,,,,no,2.81,3.256,32178,38047,0.213,ENSG00000105325,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),Cytoplasm,,
GADD45A,,,,no,5.886,3.406,67415,39799,-0.789,ENSG00000116717,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),Nucleus,myoepithelial cell of mammary gland;urothelial cell;bladder urothelial cell;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra;myometrial cell;bladder cell,
GADD45G,,,,no,3.816,3.375,43710,39432,-0.178,ENSG00000130222,Growth arrest and DNA damage-inducible protein GADD45 gamma (Cytokine-responsive protein CR6) (DNA damage-inducible transcript 2 protein) (DDIT-2),,intestinal crypt stem cell of large intestine;Sertoli cell;mesothelial cell;Leydig cell;lung secretory cell,
GATA4,,,,no,8.05,8.864,92197,103568,0.139,ENSG00000136574,Transcription factor GATA-4 (GATA-binding factor 4),Nucleus,Sertoli cell;mesothelial cell;granulosa cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;ovarian surface epithelial cell;Leydig cell;regular atrial cardiac myocyte,
GLS2,,,,no,4.337,7.077,49671,82698,0.707,ENSG00000135423,"Glutaminase liver isoform, mitochondrial (GLS)",Mitochondrion,,Glutamate
GORAB,,,,no,3.429,4.352,39270,50848,0.344,ENSG00000120370,RAB6-interacting golgin (N-terminal kinase-like-binding protein 1) (NTKL-BP1) (NTKL-binding protein 1) (hNTKL-BP1) (SCY1-like 1-binding protein 1) (SCYL1-BP1) (SCYL1-binding protein 1),Cytoplasm,,
HBEGF,,,,no,1.143,1.917,13092,22398,0.746,ENSG00000113070,Proheparin-binding EGF-like growth factor,Cell membrane,ileal goblet cell;paneth cell of epithelium of small intestine;epithelial cell of prostate;basal cell of prostate epithelium;endosteal cell;epithelial cell of urethra;liver dendritic cell,EGF
HDAC1,,,,no,12.786,15.627,146438,182594,0.289,ENSG00000116478,Histone deacetylase 1 (HD1),Nucleus,,
HDAC2,,,,no,14.86,13.099,170186,153060,-0.182,ENSG00000196591,Histone deacetylase 2 (HD2),Nucleus,glioblast;Schwann cell precursor;neural crest cell;basophil mast progenitor cell;enteric neuron,
HDAC3,,,,no,8.788,7.708,100643,90063,-0.189,ENSG00000171720,Histone deacetylase 3 (HD3),Nucleus,,
