subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,ASCL1,glioblast;Schwann cell precursor;neural crest cell;neuroendocrine cell;lung neuroendocrine cell;epithelial cell of thymus;medullary thymic epithelial cell;enteric neuron;peripheral nervous system neuron,,no,0.092,0.068
03_immune_T_cell,ASPM,DN4 thymocyte;erythroid lineage cell;pro-B cell;salivary gland cell;transit amplifying cell of small intestine,,no,0.215,0.128
03_immune_T_cell,ASPN,interstitial cell of Cajal;endocardial cell;mesodermal cell;muscle cell;smooth muscle cell;skin fibroblast;myofibroblast cell;tendon cell;chondrocyte;mesenchymal cell,,no,0.982,0.979
03_immune_T_cell,ATF3,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,no,5.902,2.359
03_immune_T_cell,ATG2A,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",,no,2.455,3.748
03_immune_T_cell,ATL2,renal beta-intercalated cell;white fat cell,,no,4.971,5.374
03_immune_T_cell,ATOH1,intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell,,no,0.032,
03_immune_T_cell,ATP5F1C,mast cell;mucosal type mast cell,,no,23.016,20.941
03_immune_T_cell,BACE2,basal epithelial cell of prostatic duct;lung goblet cell;duodenum glandular cell;luminal cell of prostate epithelium;melanocyte of skin,,no,22.264,25.449
03_immune_T_cell,BATF,"duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell;mast cell;CD4-positive helper T cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",,no,0.664,0.516
03_immune_T_cell,BCHE,glioblast;Schwann cell precursor;neural crest cell;interstitial cell of Cajal;tracheobronchial smooth muscle cell;neuron,,no,0.193,0.124
03_immune_T_cell,BCL11B,"lymphocyte;T cell;alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;central memory CD8-positive, alpha-beta T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;DN4 thymocyte;DN1 thymic pro-T cell;early T lineage precursor",,no,0.083,0.146
03_immune_T_cell,BCL6,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;white fat cell;subcutaneous fat cell;sebaceous gland cell,,no,4.238,3.414
03_immune_T_cell,BIK,pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte,,no,1.012,0.954
03_immune_T_cell,BIRC5,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,no,0.708,0.358
03_immune_T_cell,BMP2K,lens epithelial cell;anterior lens cell;macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;enucleate erythrocyte;mast cell;immature innate lymphoid cell,,no,4.076,4.833
03_immune_T_cell,BMP5,fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;chondrocyte;pericyte,BMP,no,0.538,0.205
03_immune_T_cell,BMPER,endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endocardial cell;skeletal muscle fibroblast;preadipocyte;white fat cell;chondrocyte,,no,0.24,0.159
03_immune_T_cell,BMPR1B,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;neuroendocrine cell;chromaffin cell;renal principal cell;renal beta-intercalated cell;lung goblet cell;taste receptor cell;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;astrocyte;Bergmann glial cell;sympathetic neuron;fibroblast;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell;kidney collecting duct cell,BMP,no,0.358,0.278
03_immune_T_cell,BNC2,pigmented epithelial cell;parietal epithelial cell;melanocyte;melanocyte of skin;neuron;fibroblast;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;mesothelial fibroblast;fat cell;adipocyte of breast;fibro/adipogenic progenitor cell,,no,0.436,0.46
03_immune_T_cell,BTLA,naive B cell;B cell,BTLA,no,0.069,0.046
03_immune_T_cell,CA12,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;corneal endothelial cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;mesothelial fibroblast;kidney cell;kidney collecting duct cell,,no,15.295,17.295
03_immune_T_cell,CACNA1C,pigmented epithelial cell;pigmented ciliary epithelial cell;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;smooth muscle cell of sphincter of pupil;muscle precursor cell;smooth muscle myoblast;cardiac muscle myoblast;retina horizontal cell;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;kidney interstitial fibroblast;renal interstitial pericyte;kidney interstitial cell,,no,1.333,1.217
03_immune_T_cell,CACNA1D,non-pigmented ciliary epithelial cell;corneal epithelial cell;kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;amacrine cell;alveolar type 2 fibroblast cell,,no,1.15,0.96
03_immune_T_cell,CACYBP,pancreatic D cell;mast cell;mucosal type mast cell;double negative thymocyte;proerythroblast;early T lineage precursor,,no,5.882,4.101
03_immune_T_cell,CALB1,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;renal intercalated cell;kidney distal convoluted tubule epithelial cell;kidney epithelial cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;neuron;OFF-bipolar cell;glycinergic neuron;kidney cell;kidney collecting duct cell,,no,0.115,0.056
03_immune_T_cell,CALB2,mesothelial cell of pleura;ovarian surface epithelial cell;Leydig cell;mast cell;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;glycinergic neuron,,no,0.047,0.068
03_immune_T_cell,CARD11,lung goblet cell;taste receptor cell,,no,1.053,1.496
03_immune_T_cell,CASP6,intestinal tuft cell;tuft cell of colon,,no,4.177,3.646
03_immune_T_cell,CASP8,"memory regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell",,no,2.154,2.786
03_immune_T_cell,CAV2,pancreatic ductal cell;myoepithelial cell;myoepithelial cell of mammary gland;endothelial cell of artery;capillary endothelial cell;mesothelial cell of pleura;type I pneumocyte;bronchial smooth muscle cell;brown fat cell;adipocyte of breast,,no,5.932,5.385
03_immune_T_cell,CBLB,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,,no,2.722,3.109
03_immune_T_cell,CBX1,glioblast;Schwann cell precursor;neural crest cell;mesodermal cell;enteric neuron;peripheral nervous system neuron,,no,6.584,5.931
03_immune_T_cell,CBX5,glioblast;Schwann cell precursor;neural crest cell;fraction A pre-pro B cell;enteric neuron,,no,9.096,7.065
03_immune_T_cell,CCBE1,pigmented epithelial cell;pigmented ciliary epithelial cell;kidney glomerular epithelial cell;podocyte;hepatic stellate cell;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,,no,0.219,0.315
03_immune_T_cell,CCDC102B,smooth muscle myoblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;pericyte;renal interstitial pericyte;mural cell;kidney interstitial cell,,no,0.768,0.674
03_immune_T_cell,CCDC14,intestinal crypt stem cell of colon;large intestine goblet cell;enteroendocrine cell of colon;brush cell;intestinal tuft cell;tuft cell of colon,,no,3.327,3.332
03_immune_T_cell,CCDC80,ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;mesothelial cell of pleura;endosteal cell;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;reticular cell;preadipocyte;brown preadipocyte;fibroblast of lung;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of nonglandular part of prostate;mesothelial fibroblast;brown fat cell;tendon cell;adventitial cell;inflammatory cell,,no,5.255,7.286
03_immune_T_cell,CCDC86,"activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell",,no,3.769,2.677
03_immune_T_cell,CCL22,"Langerhans cell;myeloid dendritic cell, human;mature conventional dendritic cell;type I NK T cell",CCL,no,0.037,0.014
03_immune_T_cell,CCL25,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;intestine goblet cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of small intestine;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;transit amplifying cell of small intestine,CCL,no,0.023,
03_immune_T_cell,CCN4,myofibroblast cell;renal interstitial pericyte;kidney interstitial cell,,no,2.341,0.701
03_immune_T_cell,CCNA2,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,no,0.328,0.284
03_immune_T_cell,CCNB2,"double-positive, alpha-beta thymocyte;DN4 thymocyte",,no,0.177,0.116
03_immune_T_cell,CCND2,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,no,17.11,16.337
03_immune_T_cell,CCND3,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,no,2.449,1.864
03_immune_T_cell,CCNDBP1,placental villous trophoblast;syncytiotrophoblast cell;erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,,no,5.868,5.792
03_immune_T_cell,CCNO,goblet cell;respiratory goblet cell;tracheal goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,no,2.192,3.785
03_immune_T_cell,CCR8,"effector memory CD8-positive, alpha-beta T cell",CCL,no,0.02,
03_immune_T_cell,CCR9,"immature alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte",CCL,no,0.029,0.009
03_immune_T_cell,CCT3,fallopian tube secretory epithelial cell;mast cell;mucosal type mast cell,,no,35.443,29.774
03_immune_T_cell,CCT5,mast cell;mucosal type mast cell;erythroid progenitor cell,,no,22.543,18.954
03_immune_T_cell,CCT6A,"activated CD4-positive, alpha-beta T cell;proerythroblast",,no,20.029,19.83
03_immune_T_cell,CD160,"CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",CD160,no,0.056,0.047
03_immune_T_cell,CD1B,"lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",,no,0.017,
03_immune_T_cell,CD1E,"mononuclear phagocyte;Langerhans cell;dendritic cell, human;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",,no,0.053,0.023
03_immune_T_cell,CD248,tracheobronchial smooth muscle cell;decidual cell;connective tissue cell;fibroblast;reticular cell;pulmonary interstitial fibroblast;pancreatic stellate cell;fibroblast of lung;bronchus fibroblast of lung;skin fibroblast;myofibroblast cell;stromal cell;stromal cell of ovary;interstitial cell of ovary;adventitial cell;mesenchymal cell,,no,1.623,0.865
03_immune_T_cell,CD300E,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;myeloid cell",,no,0.315,0.328
03_immune_T_cell,CD36,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,no,2.321,2.918
