subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
07_immune_granulocyte,CEACAM3,myelocyte,,no,0.018,0.011
07_immune_granulocyte,CFP,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,no,0.317,0.316
07_immune_granulocyte,CKAP4,immature neutrophil;myelocyte;osteoblast,,no,15.566,15.24
07_immune_granulocyte,CLEC7A,"phagocyte;macrophage;alveolar macrophage;colon macrophage;mononuclear phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;basophil;neutrophil;leukocyte;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",,no,0.686,0.97
07_immune_granulocyte,CMA1,basophil;mast cell;mucosal type mast cell,,no,0.041,0.027
07_immune_granulocyte,CNRIP1,"eosinophil;megakaryocyte-erythroid progenitor cell;erythroid lineage cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;basophil mast progenitor cell;myeloid lineage restricted progenitor cell",,no,2.311,1.955
07_immune_granulocyte,CR1,kidney glomerular epithelial cell;podocyte;follicular dendritic cell;blood cell;granulocyte;neutrophil;follicular B cell;immature innate lymphoid cell,,no,0.296,0.395
07_immune_granulocyte,CSF2RB,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,no,0.365,0.478
07_immune_granulocyte,CSF3R,"classical monocyte;CD14-positive, CD16-negative classical monocyte;bone marrow cell;granulocyte monocyte progenitor cell;placental villous trophoblast;syncytiotrophoblast cell;blood cell;granulocyte;neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;myeloid cell;promyelocyte",CSF3,no,0.727,1.573
07_immune_granulocyte,CTSG,bone marrow cell;granulocyte monocyte progenitor cell;basophil;eosinophil;neutrophil;immature neutrophil;mast cell;double negative thymocyte;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,PARs;CTSG,no,0.074,0.101
07_immune_granulocyte,CYBB,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;immature neutrophil;leukocyte;professional antigen presenting cell;plasmacytoid dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell;promonocyte;myelocyte;granulocytopoietic cell",,no,3.063,4.606
07_immune_granulocyte,CYSLTR1,mast cell;mucosal type mast cell;common dendritic progenitor,CysLTs,no,0.158,0.142
07_immune_granulocyte,DEFA1,"CD4-positive, alpha-beta thymocyte;CD8-positive, alpha-beta thymocyte;promyelocyte",,no,0.069,0.024
07_immune_granulocyte,DEFA6,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;small intestine goblet cell;type L enteroendocrine cell;paneth cell;double negative thymocyte,,no,0.03,
07_immune_granulocyte,DNAJC9,erythroid lineage cell;erythroid progenitor cell;proerythroblast;primitive red blood cell;basophil mast progenitor cell,,no,5.217,4.781
07_immune_granulocyte,ELANE,bone marrow cell;granulocyte;neutrophil;immature neutrophil;promyelocyte;hematopoietic precursor cell;granulocytopoietic cell;common myeloid progenitor;reticular cell,,no,0.072,0.02
07_immune_granulocyte,ENPP3,cortical cell of adrenal gland;epithelial cell of prostate;basal cell of prostate epithelium;mast cell,,no,0.11,0.078
07_immune_granulocyte,EVI2B,"alveolar macrophage;lung macrophage;hematopoietic cell;granulocyte;neutrophil;CD141-positive myeloid dendritic cell;IgG memory B cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;B cell;peripheral blood mononuclear cell;myeloid cell;myelocyte",,no,1.248,1.857
07_immune_granulocyte,FBL,bone marrow cell;granulocyte monocyte progenitor cell;T cell;erythroid progenitor cell;proerythroblast;basophil mast progenitor cell,,no,37.523,34.367
07_immune_granulocyte,FCAR,blood cell;granulocyte;myelocyte,,no,0.114,0.194
07_immune_granulocyte,FCGR3B,blood cell;granulocyte;neutrophil;myelocyte;granulocytopoietic cell,,no,1.18,0.869
07_immune_granulocyte,FCN1,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,no,0.158,0.296
07_immune_granulocyte,FLOT2,granulocyte;neutrophil,,no,14.003,14.234
07_immune_granulocyte,FPR1,"phagocyte;macrophage;alveolar macrophage;microglial cell;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell",ANNEXIN;TAFA;CTSG,no,0.751,0.982
07_immune_granulocyte,FPR2,blood cell;granulocyte;neutrophil;myelocyte,ANNEXIN;SAA;LXA4,no,0.223,0.127
07_immune_granulocyte,FUT4,promyelocyte;granulocytopoietic cell,,no,3.995,3.115
07_immune_granulocyte,GATA1,"hematopoietic stem cell;blood cell;eosinophil;erythrocyte;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid lineage cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;reticulocyte;enucleated reticulocyte;primitive red blood cell;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor",,no,0.019,0.012
07_immune_granulocyte,GRN,"pancreatic A cell;alveolar macrophage;colon macrophage;lung macrophage;Hofbauer cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;osteoclast;granulocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid cell",GRN,no,12.503,14.058
07_immune_granulocyte,HBG1,hepatoblast;endocardial cell;blood cell;eosinophil;erythrocyte;enucleate erythrocyte;erythroid lineage cell;proerythroblast;reticulocyte;erythroblast;primitive red blood cell;promyelocyte;myeloid lineage restricted progenitor cell,,no,0.032,
07_immune_granulocyte,HCAR3,stem cell of epidermis;epithelial cell of prostate;basal cell of prostate epithelium;medullary thymic epithelial cell;basophil,,no,0.031,0.021
07_immune_granulocyte,HCK,"brush cell;intestinal tuft cell;tuft cell of colon;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",,no,1.351,1.907
07_immune_granulocyte,HDAC2,glioblast;Schwann cell precursor;neural crest cell;basophil mast progenitor cell;enteric neuron,,no,14.86,13.099
07_immune_granulocyte,HDC,"granulocyte;basophil;eosinophil;mast cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;granulocytopoietic cell;neuron",,no,0.064,0.092
07_immune_granulocyte,HLX,mesodermal cell;immature neutrophil,,no,1.969,1.932
07_immune_granulocyte,HMGA1,endothelial cell of umbilical vein;epithelial cell of urethra;eosinophil;professional antigen presenting cell;dendritic cell;large pre-B-II cell;erythroid progenitor cell;proerythroblast;primitive red blood cell;basophil mast progenitor cell;early lymphoid progenitor;fraction A pre-pro B cell,,no,5.065,4.995
07_immune_granulocyte,HMGB2,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;large pre-B-II cell;promonocyte;erythroid lineage cell;primitive red blood cell;myelocyte;hematopoietic precursor cell;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,no,0.558,0.318
07_immune_granulocyte,HPGD,epithelial cell;enterocyte of epithelium of small intestine;lung endothelial cell;type B pancreatic cell;taste receptor cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree;melanocyte;basophil;eosinophil;mast cell;neuron;bladder cell,,no,0.212,0.153
07_immune_granulocyte,HRH2,granulocyte;immature neutrophil;connective tissue cell;fibroblast;fibroblast of lung,Histamine,no,0.389,0.322
07_immune_granulocyte,HSPD1,professional antigen presenting cell;dendritic cell;mast cell;mucosal type mast cell;proerythroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,no,36.856,35.731
07_immune_granulocyte,IKZF1,"hematopoietic cell;immature neutrophil;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;common dendritic progenitor;DN1 thymic pro-T cell;common lymphoid progenitor",,no,1.121,1.479
07_immune_granulocyte,IL17RA,"classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;monocyte;CD14-positive monocyte;promonocyte;myeloid lineage restricted progenitor cell",IL17,no,3.551,4.276
07_immune_granulocyte,IL18R1,granulocyte;neutrophil;mast cell;group 3 innate lymphoid cell,IL1,no,0.512,0.345
07_immune_granulocyte,IL1RL1,vasa recta ascending limb cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;basophil;eosinophil;mast cell;mucosal type mast cell;group 2 innate lymphoid cell;fibroblast of breast,IL1,no,1.634,0.204
07_immune_granulocyte,IL1RN,epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell;epithelial cell of urethra;conjunctival epithelial cell;hematopoietic cell;blood cell;granulocyte;leukocyte;myeloid leukocyte;myeloid cell,,no,0.128,0.116
07_immune_granulocyte,IL3RA,"prostate gland microvascular endothelial cell;gut endothelial cell;granulocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor",IL4,no,0.876,1.149
07_immune_granulocyte,IL5RA,granulocyte;basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;granulocytopoietic cell,IL4,no,0.136,0.042
07_immune_granulocyte,IMPDH2,"erythroid progenitor cell, mammalian;macrophage dendritic cell progenitor;basophil mast progenitor cell",,no,41.181,34.871
07_immune_granulocyte,IQGAP1,alternatively activated macrophage;neutrophil;mature conventional dendritic cell;myeloid leukocyte;myeloid cell,,no,14.685,16.393
07_immune_granulocyte,IRF7,"bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;IgG plasma cell;common dendritic progenitor",,no,0.991,0.876
07_immune_granulocyte,ITGA2B,"hematopoietic stem cell;blood cell;basophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell, mammalian;common myeloid progenitor",CD40;FN1;VTN;TENASCIN;VWF,no,0.037,0.052
07_immune_granulocyte,ITGA4,"hematopoietic cell;eosinophil;immature natural killer cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor",SPP1;MK;FN1;L1CAM;MADCAM;VCAM,no,1.285,2.169
07_immune_granulocyte,ITM2A,"epithelial cell;endothelial tip cell;retinal blood vessel endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cerebral cortex endothelial cell;endosteal cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;immature T cell;thymocyte;basophil mast progenitor cell;pro-T cell",,no,3.408,2.008
07_immune_granulocyte,IVNS1ABP,lens epithelial cell;anterior lens cell;kidney distal convoluted tubule epithelial cell;neutrophil;myelocyte,,no,8.252,8.406
07_immune_granulocyte,KXD1,pancreatic PP cell;PP cell;mast cell;mucosal type mast cell;T cell,,no,10.059,10.212
07_immune_granulocyte,LILRA2,"classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mature NK T cell;myeloid cell;promonocyte;myelocyte",,no,0.242,0.256
07_immune_granulocyte,LILRB3,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell",,no,0.233,0.607
07_immune_granulocyte,LRRK2,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle thin descending limb epithelial cell;granulocyte;neutrophil;lung secretory cell,,no,2.362,2.415
07_immune_granulocyte,LTA4H,"epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;phagocyte;alveolar macrophage;lung macrophage;classical monocyte;immature neutrophil;monocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;myelocyte;granulocytopoietic cell;lung secretory cell",,no,11.736,13.158
07_immune_granulocyte,LYN,"hematopoietic cell;granulocyte;neutrophil;leukocyte;myeloid leukocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell",,no,5.296,4.418
07_immune_granulocyte,MAOB,lung neuroendocrine cell;pancreatic A cell;decidual cell;basophil;mast cell,,no,3.29,4.212
07_immune_granulocyte,MAX,eosinophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte,,no,5.721,5.229
07_immune_granulocyte,MGAM,ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell;epithelial cell of small intestine;granulocyte;neutrophil,,no,0.106,0.08
07_immune_granulocyte,MMP8,blood cell;granulocyte;immature neutrophil;myelocyte;granulocytopoietic cell,,no,0.049,0.015
07_immune_granulocyte,MPO,bone marrow cell;granulocyte monocyte progenitor cell;granulocyte;neutrophil;immature neutrophil;promonocyte;promyelocyte;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;myelocyte;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,no,0.063,0.073
07_immune_granulocyte,MXD1,paneth cell of colon;paneth cell of epithelium of small intestine;inflammatory macrophage;blood cell;granulocyte;neutrophil;liver dendritic cell,,no,1.533,1.641
07_immune_granulocyte,MYB,brush cell of trachebronchial tree;brush cell of bronchus;bone marrow cell;granulocyte monocyte progenitor cell;precursor B cell;late pro-B cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;promyelocyte;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,no,0.145,0.105
07_immune_granulocyte,MYO1F,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;neutrophil;myeloid leukocyte;monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;peripheral blood mononuclear cell;myeloid cell;promonocyte",,no,0.963,1.887
07_immune_granulocyte,NBN,blood cell;granulocyte,,no,8.208,7.406
07_immune_granulocyte,NCF1,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;immature neutrophil;leukocyte;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;mature B cell;naive B cell;B-1a B cell;B-1b B cell;germinal center B cell;plasmablast;myeloid leukocyte;monocyte;CD14-positive monocyte;B cell;immature B cell;small pre-B-II cell;pre-B-I cell;myelocyte",,no,0.709,1.514
07_immune_granulocyte,NCF2,"phagocyte;macrophage;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;neutrophil;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;peripheral blood mononuclear cell;myeloid cell",,no,1.758,2.19
07_immune_granulocyte,NCF4,colon macrophage;Hofbauer cell;hematopoietic cell;granulocyte;eosinophil;neutrophil;leukocyte;intermediate monocyte;basophil mast progenitor cell;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,no,0.782,1.275
07_immune_granulocyte,NCOA4,eosinophil;erythrocyte;enucleate erythrocyte;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;basophil mast progenitor cell,,no,18.143,16.985
07_immune_granulocyte,NFKB1,"cortical thymic epithelial cell;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;fibroblast of connective tissue of nonglandular part of prostate",,no,4.659,4.48
07_immune_granulocyte,NIBAN1,pigmented epithelial cell;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;smooth muscle cell of sphincter of pupil;muscle precursor cell;smooth muscle myoblast;granulocyte;neutrophil,,no,15.799,15.221
07_immune_granulocyte,NONO,glioblast;Schwann cell precursor;neural crest cell;basophil mast progenitor cell;early lymphoid progenitor,,no,43.553,43.032
07_immune_granulocyte,NPM3,"bone marrow cell;granulocyte monocyte progenitor cell;mast cell;mucosal type mast cell;activated CD4-positive, alpha-beta T cell;pro-T cell",,no,10.173,8.638
07_immune_granulocyte,NR3C1,type B pancreatic cell;mast cell;mucosal type mast cell;T-helper 2 cell,Aldo;Cort,no,4.017,4.475
07_immune_granulocyte,NRROS,eosinophil;common myeloid progenitor,,no,0.576,0.939
07_immune_granulocyte,NUCB2,"acinar cell of salivary gland;duodenum glandular cell;bone marrow cell;granulocyte monocyte progenitor cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;immature T cell;thymocyte;double negative thymocyte;promyelocyte;pro-T cell;serous cell of epithelium of bronchus;lung secretory cell",,no,39.986,33.989
07_immune_granulocyte,NUDT1,bone marrow cell;granulocyte monocyte progenitor cell;mature alpha-beta T cell;mucosal invariant T cell;common dendritic progenitor;macrophage dendritic cell progenitor;pre-conventional dendritic cell;hematopoietic precursor cell;early T lineage precursor,,no,1.819,1.562
07_immune_granulocyte,OLR1,phagocyte;macrophage;elicited macrophage;inflammatory macrophage;tissue-resident macrophage;alveolar macrophage;central nervous system macrophage;microglial cell;mature microglial cell;lung macrophage;placental villous trophoblast;syncytiotrophoblast cell;hematopoietic cell;granulocyte;basophil;professional antigen presenting cell;myelocyte;granulocytopoietic cell,,no,0.469,0.76
07_immune_granulocyte,ORAI3,eosinophil;basophil mast progenitor cell,,no,3.963,4.824
07_immune_granulocyte,OSM,hematopoietic cell;blood cell;granulocyte;basophil;leukocyte;myeloid leukocyte;CD4-positive helper T cell;T-helper 17 cell;exhausted T cell;myeloid cell,OSM,no,0.149,0.231
07_immune_granulocyte,OXER1,basophil,,no,0.066,0.063
07_immune_granulocyte,P2RY13,microglial cell;mononuclear phagocyte;blood cell;granulocyte;Langerhans cell,,no,0.475,0.575
07_immune_granulocyte,PADI4,blood cell;granulocyte;basophil;neutrophil;immature neutrophil;intermediate monocyte;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,no,0.074,0.043
07_immune_granulocyte,PGD,hematopoietic cell;blood cell;granulocyte;eosinophil,,no,7.846,7.913
07_immune_granulocyte,PLAUR,epithelial cell of lacrimal sac;epithelial cell of uterus;epithelial cell of urethra;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;hematopoietic cell;blood cell;granulocyte;leukocyte;liver dendritic cell;myeloid leukocyte;myeloid cell,VTN;PLAU,no,3.688,4.487
07_immune_granulocyte,PLIN2,elicited macrophage;alternatively activated macrophage;extravillous trophoblast;basophil;mast cell;mucosal type mast cell;fibroblast of breast;adventitial cell,,no,3.297,3.076
07_immune_granulocyte,PLXNC1,melanocyte;melanocyte of skin;granulocyte;neutrophil,SEMA7,no,0.805,1.069
07_immune_granulocyte,PNPLA6,alveolar macrophage;lung macrophage;basophil,,no,5.31,6.192
07_immune_granulocyte,PRG2,basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,no,0.028,0.011
07_immune_granulocyte,PRTN3,bone marrow cell;granulocyte monocyte progenitor cell;neutrophil;immature neutrophil;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,,no,0.028,0.012
07_immune_granulocyte,PSTPIP2,brush cell;intestinal tuft cell;tuft cell of colon;hematopoietic cell;granulocyte;megakaryocyte-erythroid progenitor cell;megakaryocyte,,no,0.76,1.241
07_immune_granulocyte,PTAFR,phagocyte;immature neutrophil,,no,1.264,1.649
07_immune_granulocyte,PTGER4,"mast cell;mucosal type mast cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;naive regulatory T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;type I NK T cell;DN3 thymocyte;group 2 innate lymphoid cell;group 3 innate lymphoid cell;DN1 thymic pro-T cell",Prostaglandin,no,6.928,3.848
07_immune_granulocyte,PTGS2,colon macrophage;blood cell;granulocyte;mast cell;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,no,0.18,0.351
07_immune_granulocyte,PTPN6,"eosinophil;leukocyte;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;B-1a B cell;B-1b B cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;B cell",,no,3.889,5.335
07_immune_granulocyte,PYGL,Hofbauer cell;blood cell;granulocyte;neutrophil;immature neutrophil;myelocyte;granulocytopoietic cell;Mueller cell,,no,2.178,2.499
07_immune_granulocyte,PZP,muscle cell;smooth muscle cell;mast cell;connective tissue cell;fibroblast;fibroblast of lung,,no,0.056,0.051
07_immune_granulocyte,RAB27A,intestine goblet cell;small intestine goblet cell;immature neutrophil,,no,3.824,3.798
07_immune_granulocyte,RAN,"glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;activated CD4-positive, alpha-beta T cell;primitive red blood cell;fraction A pre-pro B cell",,no,19.777,16.793
07_immune_granulocyte,RAP1A,mast cell;mucosal type mast cell,,no,21.61,18.49
07_immune_granulocyte,RASSF1,"eosinophil;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;ILC1, human",,no,5.31,5.179
07_immune_granulocyte,RASSF5,basophil;liver dendritic cell;group 2 innate lymphoid cell,,no,3.267,4.621
07_immune_granulocyte,RBMX,neural crest cell;mesodermal cell;large pre-B-II cell;basophil mast progenitor cell;enteric neuron,,no,19.925,24.039
07_immune_granulocyte,RETN,"phagocyte;alveolar macrophage;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;bone marrow cell;granulocyte monocyte progenitor cell;granulocyte;neutrophil;immature neutrophil;myeloid leukocyte;monocyte;myeloid cell;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor",RESISTIN,no,0.038,0.037
07_immune_granulocyte,RHAG,blood cell;eosinophil;erythrocyte;enucleate erythrocyte;megakaryocyte-erythroid progenitor cell;erythroid lineage cell;erythroid progenitor cell;proerythroblast;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,,no,0.065,0.017
07_immune_granulocyte,RHOA,"pancreatic PP cell;PP cell;mature conventional dendritic cell;myeloid leukocyte;mast cell;mucosal type mast cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell",,no,29.58,26.558
07_immune_granulocyte,RHOH,hematopoietic cell;leukocyte;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;B-1b B cell;germinal center B cell;mast cell;mononuclear cell;lymphocyte;double negative thymocyte;DN4 thymocyte;pre-B-I cell;group 2 innate lymphoid cell;early T lineage precursor,,no,0.199,0.26
07_immune_granulocyte,RNASE3,bone marrow cell;granulocyte monocyte progenitor cell;immature neutrophil;promyelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,,no,0.107,0.057
07_immune_granulocyte,RNASEH2B,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;large pre-B-II cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,no,6.463,7.646
07_immune_granulocyte,SEPTIN9,mast cell;mucosal type mast cell;late pro-B cell;early lymphoid progenitor;papillary tips cell,,no,17.655,17.64
07_immune_granulocyte,SIGLEC6,"basophil;dendritic cell, human;mast cell",,no,0.071,0.099
07_immune_granulocyte,SIRPB1,blood cell;granulocyte;myelocyte,,no,0.312,0.296
07_immune_granulocyte,SLC11A1,"phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;microglial cell;mature microglial cell;lung macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;blood cell;granulocyte;basophil;neutrophil;leukocyte;professional antigen presenting cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;immature innate lymphoid cell;myeloid cell",,no,0.151,0.199
