gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
EGFR,,,,no,6.755,6.097,77364,71247,-0.148,ENSG00000146648,Epidermal growth factor receptor,Cell membrane,basal epithelial cell of prostatic duct;trophoblast giant cell;syncytiotrophoblast cell,EGF;EPGN
EGLN1,,,,no,13.123,9.049,150296,105738,-0.536,ENSG00000135766,Egl nine homolog 1,Cytoplasm,,
EGLN3,,,,no,0.686,0.773,7860,9033,0.172,ENSG00000129521,Prolyl hydroxylase EGLN3,Nucleus,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;melanocyte of skin,
EIF4E,,,,no,8.075,5.819,92483,67991,-0.473,ENSG00000151247,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Cytoplasm,,
EIF4EBP1,,,,no,32.9,30.067,376798,351319,-0.13,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,
ELOB,,,,no,0.329,0.354,3766,4133,0.105,ENSG00000103363,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),Nucleus,microfold cell of epithelium of small intestine;serous cell of epithelium of bronchus,
ELOC,,,,no,2.98,2.202,34130,25730,-0.436,ENSG00000154582,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),Nucleus,prostate gland microvascular endothelial cell;mesothelial cell of pleura,
ENO2,,,,no,0.501,0.665,5740,7770,0.408,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,
EP300,,,,no,13.387,15.102,153325,176464,0.174,ENSG00000100393,Histone acetyltransferase p300 (p300 HAT),Cytoplasm,enucleate erythrocyte,
EPAS1,,,,no,23.16,18.712,265246,218649,-0.308,ENSG00000116016,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),Nucleus,respiratory basal cell;basal cell of epithelium of trachea;epithelial cell;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;trophoblast giant cell,
EPO,,,,no,0.639,0.882,7319,10308,0.465,ENSG00000130427,Erythropoietin (Epoetin),Secreted,,EPO
ERBB2,,,,no,5.451,6.4,62435,74778,0.231,ENSG00000141736,Receptor tyrosine-protein kinase erbB-2,Cell membrane,,EGF;NRG
ERRFI1,,,,no,35.162,24.908,402708,291039,-0.497,ENSG00000116285,ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6),Cytoplasm,stem cell of epidermis;cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;epithelial cell of lacrimal sac;mesothelial cell of pleura;hepatocyte;centrilobular region hepatocyte;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of sweat gland,
