gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
SLC16A4,,,,no,0.73,0.729,8366,8518,-0.003,ENSG00000168679,Monocarboxylate transporter 5 (MCT 5) (Monocarboxylate transporter 4) (MCT 4) (Solute carrier family 16 member 4),Cell membrane,,,,,
SLC22A9,,,,no,0.04,0.011,456,124,-1.908,ENSG00000149742,Organic anion transporter 7 (OAT7) (Organic anion/short-chain fatty acid exchanger) (Solute carrier family 22 member 9),Basolateral cell membrane,hepatoblast,,,,
SLC25A39,,,,no,10.658,10.589,122064,123731,-0.009,ENSG00000013306,Probable mitochondrial glutathione transporter SLC25A39 (Solute carrier family 25 member 39),Mitochondrion inner membrane,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell,,,,
SLC25A40,,,,no,1.763,1.874,20191,21897,0.088,ENSG00000075303,Probable mitochondrial glutathione transporter SLC25A40 (Mitochondrial carrier family protein) (Solute carrier family 25 member 40),Mitochondrion inner membrane,,,,,
SLC2A4RG,,,,no,6.994,7.62,80097,89034,0.124,ENSG00000125520,SLC2A4 regulator (GLUT4 enhancer factor) (GEF) (Huntington disease gene regulatory region-binding protein 1) (HDBP-1),Cytoplasm;Nucleus,,,,,
SLC35E1,,,,no,13.746,12.547,157429,146612,-0.132,ENSG00000127526,Solute carrier family 35 member E1,Membrane,,,,,
SLC35G2,,,,no,1.285,1.469,14717,17161,0.193,ENSG00000168917,Solute carrier family 35 member G2 (Transmembrane protein 22),Cell membrane,,,,,
SLC38A7,,,,no,1.545,1.797,17694,20993,0.218,ENSG00000103042,Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7),Lysosome membrane,,,,,
SLC39A11,,,,no,3.189,3.623,36519,42331,0.184,ENSG00000133195,Zinc transporter ZIP11 (Solute carrier family 39 member 11) (Zrt- and Irt-like protein 11) (ZIP-11),Cell membrane,melanocyte,,,,
SLC39A9,,,,no,17.35,12.895,198710,150676,-0.428,ENSG00000029364,Zinc transporter ZIP9 (Solute carrier family 39 member 9) (Zrt- and Irt-like protein 9) (ZIP-9),Golgi apparatus,,,,,
SLC4A1AP,,,,no,3.708,4.267,42471,49856,0.202,ENSG00000163798,Kanadaptin (Human lung cancer oncogene 3 protein) (HLC-3) (Kidney anion exchanger adapter protein) (Solute carrier family 4 anion exchanger member 1 adapter protein),Nucleus,,,,,
SLC6A17,,,,no,0.543,0.164,6224,1919,-1.726,ENSG00000197106,Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17),Cytoplasmic vesicle,,,,,
SLFN11,,,,no,0.67,0.68,7677,7946,0.021,ENSG00000172716,Schlafen family member 11,Nucleus,,,,,
SMARCA1,,,,no,7.556,7.381,86539,86243,-0.034,ENSG00000102038,Probable global transcription activator SNF2L1,Nucleus,,,,,
SMARCAL1,,,,no,2.576,2.936,29505,34307,0.189,ENSG00000138375,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,Nucleus,,,,,
SMPDL3B,,,,no,3.415,3.153,39114,36844,-0.115,ENSG00000130768,Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b),Secreted,,,,,
SNAP47,,,,no,1.893,1.856,21684,21685,-0.029,ENSG00000143740,Synaptosomal-associated protein 47 (SNAP-47) (Epididymis luminal protein 170) (Synaptosomal-associated 47 kDa protein),Endomembrane system,,,,,
SNHG11,,,,no,0.175,0.111,2001,1296,-0.656,ENSG00000174365,,,,,,,
SNHG15,,,,no,14.52,8.925,166295,104284,-0.702,ENSG00000232956,,,early T lineage precursor,,,,
SNURF,,,,no,6.695,7.139,76672,83421,0.093,ENSG00000273173,SNRPN upstream reading frame protein,Nucleus,,,,,
SNX11,,,,no,3.061,2.934,35062,34283,-0.061,ENSG00000002919,Sorting nexin-11,Membrane,,,,,
SNX15,,,,no,4.351,4.082,49833,47702,-0.092,ENSG00000110025,Sorting nexin-15,Cytoplasm,,,,,
SNX16,,,,no,3.201,2.278,36656,26621,-0.49,ENSG00000104497,Sorting nexin-16,Early endosome membrane,,,,,
SNX17,,,,no,12.242,12.855,140207,150205,0.07,ENSG00000115234,Sorting nexin-17,Cytoplasm,,,,,
SNX19,,,,no,4.97,4.965,56925,58010,-0.002,ENSG00000120451,Sorting nexin-19,Early endosome membrane,,,,,
SNX27,,,,no,6.263,6.53,71729,76304,0.06,ENSG00000143376,Sorting nexin-27,Early endosome membrane,,,,,
SOHLH2,,,,no,0.141,0.036,1610,423,-1.957,ENSG00000120669,Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2,Nucleus,,,,,
SORCS2,,,,no,0.135,0.155,1546,1809,0.198,ENSG00000184985,VPS10 domain-containing receptor SorCS2,Cell membrane,,,,,
SOX1,,,,no,0.059,0.012,674,139,-2.307,ENSG00000182968,Transcription factor SOX-1,Nucleus,cortical interneuron;cerebral cortex GABAergic interneuron;neural progenitor cell,,,,
SOX14,,,,no,0.097,0.016,1106,189,-2.578,ENSG00000168875,Transcription factor SOX-14 (Protein SOX-28),Nucleus,,,,,
SOX30,,,,no,0.072,0.013,827,157,-2.426,ENSG00000039600,Transcription factor SOX-30,Nucleus,,,,,
SOX8,,,,no,0.324,0.482,3708,5630,0.574,ENSG00000005513,Transcription factor SOX-8,Nucleus,,,,,
SP9,,,,no,0.047,,544,0,,ENSG00000217236,Transcription factor Sp9,Nucleus,cortical interneuron;cerebral cortex GABAergic interneuron,,,,
SPAAR,,,,no,0.182,0.349,2084,4075,0.939,ENSG00000235387,Small regulatory polypeptide of amino acid response,Late endosome membrane,,,,,
SPAG1,,,,no,0.676,0.631,7744,7373,-0.1,ENSG00000104450,Sperm-associated antigen 1 (HSD-3.8) (Infertility-related sperm protein Spag-1),Cytoplasm,,,,,
SPAG8,,,,no,0.13,0.156,1494,1826,0.261,ENSG00000137098,Sperm-associated antigen 8 (HSD-1) (Sperm membrane protein 1) (SMP-1) (Sperm membrane protein BS-84),Cytoplasm,,,,,
SPANXB1,,,,no,0.024,,274,0,,ENSG00000227234,Sperm protein associated with the nucleus on the X chromosome B1 (Cancer/testis antigen 11.2) (CT11.2) (Nuclear-associated protein SPAN-Xb) (SPANX-B) (SPANX family member B1) (SPANX family member F1),Cytoplasm,,,,,
SPATA5L1,,,,no,1.409,2.045,16132,23894,0.538,ENSG00000171763,,,,,,,
SPATA7,,,,no,2.781,2.242,31855,26200,-0.311,ENSG00000042317,Spermatogenesis-associated protein 7 (HSD-3.1) (Spermatogenesis-associated protein HSD3),Cytoplasm,,,,,
SPATS2,,,,no,3.588,3.788,41097,44266,0.078,ENSG00000123352,Spermatogenesis-associated serine-rich protein 2 (Serine-rich spermatocytes and round spermatid 59 kDa protein) (p59scr),Cytoplasm,,,,,
SPECC1,,,,no,6.414,5.774,73458,67466,-0.152,ENSG00000128487,Cytospin-B (Nuclear structure protein 5) (NSP5) (Sperm antigen HCMOGT-1) (Sperm antigen with calponin homology and coiled-coil domains 1),Nucleus,enucleate erythrocyte;erythroblast,,,,
SPICE1,,,,no,3.961,4.591,45370,53642,0.213,ENSG00000163611,Spindle and centriole-associated protein 1 (Coiled-coil domain-containing protein 52) (Spindle and centriole-associated protein),Cytoplasm,,,,,
SPIN1,,,,no,10.051,9.631,115108,112539,-0.061,ENSG00000106723,Spindlin-1 (Ovarian cancer-related protein) (Spindlin1),Nucleus,,,,,
SPIN2A,,,,no,0.275,0.203,3145,2369,-0.438,ENSG00000147059,Spindlin-2A (Protein DXF34) (Spindlin-like protein 2A) (SPIN-2) (SPIN-2A),Nucleus,,,,,
SPIN3,,,,no,1.172,0.843,13424,9845,-0.476,ENSG00000204271,Spindlin-3 (Spindlin-like protein 3) (SPIN-3),,,,,,
SPINK7,,,,no,0.038,,436,0,,ENSG00000145879,Serine protease inhibitor Kazal-type 7 (Esophagus cancer-related gene 2 protein) (ECRG-2),Secreted,,,,,
SPRYD7,,,,no,1.017,0.688,11647,8037,-0.564,ENSG00000123178,SPRY domain-containing protein 7 (Chronic lymphocytic leukemia deletion region gene 6 protein) (CLL deletion region gene 6 protein),,,,,,
SPZ1,,,,no,0.033,,377,0,,ENSG00000164299,Spermatogenic leucine zipper protein 1 (Testis-specific protein 1) (Testis-specific protein NYD-TSP1),Cytoplasm,,,,,
SRA1,,,,no,4.959,5.71,56800,66722,0.203,ENSG00000213523,Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP),Nucleus,,,,,
SRCIN1,,,,no,2.146,2.722,24577,31805,0.343,ENSG00000277363,SRC kinase signaling inhibitor 1 (SNAP-25-interacting protein) (SNIP) (p130Cas-associated protein) (p140Cap),Cytoplasm,,,,,
SSBP3,,,,no,8.395,9.009,96153,105270,0.102,ENSG00000157216,Single-stranded DNA-binding protein 3 (Sequence-specific single-stranded-DNA-binding protein),Nucleus,,,,,
SSX4,,,,no,0.019,,216,0,,ENSG00000268009,,,,,,,
STAC3,,,,no,0.549,0.511,6283,5969,-0.103,ENSG00000185482,SH3 and cysteine-rich domain-containing protein 3,Cytoplasm,slow muscle cell;fast muscle cell;hematopoietic cell,,,,
STAU2,,,,no,4.816,5.228,55161,61084,0.118,ENSG00000040341,Double-stranded RNA-binding protein Staufen homolog 2,Cytoplasm;Nucleus;Nucleus,,,,,
STH,,,,no,0.061,0.026,704,300,-1.26,ENSG00000256762,Saitohin,Cytoplasm,,,,,
STK16,,,,no,8.232,8.101,94283,94661,-0.023,ENSG00000115661,Serine/threonine-protein kinase 16,Cytoplasm,,,,,
STK32C,,,,no,0.925,1.064,10593,12427,0.201,ENSG00000165752,Serine/threonine-protein kinase 32C,,,,,,
STK35,,,,no,3.233,3.217,37024,37594,-0.007,ENSG00000125834,Serine/threonine-protein kinase 35,Nucleus;Nucleus,retina horizontal cell,,,,
STK40,,,,no,16.026,12.114,183545,141548,-0.404,ENSG00000196182,Serine/threonine-protein kinase 40,Nucleus,,,,,
STOML1,,,,no,0.608,0.608,6960,7102,0.0,ENSG00000067221,Stomatin-like protein 1 (SLP-1) (EPB72-like protein 1) (Protein unc-24 homolog) (Stomatin-related protein) (STORP),Membrane,,,,,
STRIP1,,,,no,2.633,3.162,30161,36946,0.264,ENSG00000143093,Striatin-interacting protein 1 (Protein FAM40A),Cytoplasm,,,,,
STRN3,,,,no,8.66,8.972,99177,104832,0.051,ENSG00000196792,Striatin-3 (Cell cycle autoantigen SG2NA) (S/G2 antigen),Cytoplasm,,,,,
STRN4,,,,no,8.675,9.105,99358,106386,0.07,ENSG00000090372,Striatin-4 (Zinedin),Cytoplasm,,,,,
STXBP4,,,,no,3.039,3.189,34811,37261,0.069,ENSG00000166263,Syntaxin-binding protein 4 (Syntaxin 4-interacting protein) (STX4-interacting protein) (Synip),Cytoplasm,,,,,
STYK1,,,,no,0.07,0.058,804,677,-0.277,ENSG00000060140,Tyrosine-protein kinase STYK1,Membrane,,,,,
SUGCT,,,,no,0.71,0.991,8131,11581,0.481,ENSG00000175600,Succinate--hydroxymethylglutarate CoA-transferase,Mitochondrion,,,,,
SUGP2,,,,no,8.503,8.708,97386,101752,0.034,ENSG00000064607,"SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)",Nucleus,,,,,
SURF6,,,,no,5.702,5.636,65303,65854,-0.017,ENSG00000148296,Surfeit locus protein 6,Nucleus,,,,,
SWT1,,,,no,4.393,4.8,50311,56091,0.128,ENSG00000116668,Transcriptional protein SWT1,,,,,,
SYNGR3,,,,no,0.266,0.069,3051,812,-1.939,ENSG00000127561,Synaptogyrin-3,Cytoplasmic vesicle,,,,,
SYNRG,,,,no,2.023,2.326,23169,27177,0.201,ENSG00000275066,Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin),Cytoplasm,,,,,
SYT16,,,,no,1.453,0.185,16636,2156,-2.977,ENSG00000139973,Synaptotagmin-16 (Chr14Syt) (Synaptotagmin 14-like protein) (Synaptotagmin XIV-related protein),,,,,,
TAFA5,,,,no,0.603,0.745,6902,8709,0.307,ENSG00000219438,Chemokine-like protein TAFA-5,Secreted,,,,,
TAL2,,,,no,0.027,0.014,306,165,-0.92,ENSG00000186051,T-cell acute lymphocytic leukemia protein 2 (TAL-2) (Class A basic helix-loop-helix protein 19) (bHLHa19),,,,,,
TANGO2,,,,no,2.63,3.028,30125,35379,0.203,ENSG00000183597,Transport and Golgi organization protein 2 homolog,Cytoplasm,erythrocyte;erythroid lineage cell;erythroblast,,,,
TASOR,,,,no,10.405,9.959,119173,116372,-0.063,ENSG00000163946,Protein TASOR (CTCL tumor antigen se89-1) (Retinoblastoma-associated protein RAP140) (Transgene activation suppressor protein),Nucleus,,,,,
TASOR2,,,,no,1.552,1.384,17780,16174,-0.165,ENSG00000108021,Protein TASOR 2,,,,,,
TBC1D22B,,,,no,4.266,5.238,48853,61206,0.296,ENSG00000065491,TBC1 domain family member 22B,,,,,,
TBCK,,,,no,4.417,5.526,50592,64567,0.323,ENSG00000145348,TBC domain-containing protein kinase-like protein,Cytoplasm,,,,,
TBL2,,,,no,10.408,9.912,119199,115815,-0.07,ENSG00000106638,Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein),,,,,,
TBR1,,,,no,0.023,,263,0,,ENSG00000136535,T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56),Nucleus,,,,,
TBX19,,,,no,0.477,0.621,5459,7260,0.382,ENSG00000143178,"T-box transcription factor TBX19 (T-box protein 19) (T-box factor, pituitary)",Nucleus,,,,,
TBX4,,,,no,0.019,,212,0,,ENSG00000121075,T-box transcription factor TBX4 (T-box protein 4),Nucleus,,,,,
TCEANC,,,,no,0.646,0.683,7401,7985,0.081,ENSG00000176896,Transcription elongation factor A N-terminal and central domain-containing protein (TFIIS central domain-containing protein 1),,,,,,
TCEANC2,,,,no,0.357,0.299,4085,3494,-0.254,ENSG00000116205,Transcription elongation factor A N-terminal and central domain-containing protein 2,Nucleus,,,,,
TCERG1L,,,,no,0.115,0.073,1315,858,-0.645,ENSG00000176769,Transcription elongation regulator 1-like protein,,retina horizontal cell;neural progenitor cell,,,,
TCF20,,,,no,5.794,6.906,66357,80689,0.253,ENSG00000100207,Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein),Nucleus,,,,,
TCFL5,,,,no,0.951,0.714,10897,8341,-0.415,ENSG00000101190,Transcription factor-like 5 protein (Cha transcription factor) (HPV-16 E2-binding protein 1) (E2BP-1),Nucleus,,,,,
TEDC1,,,,no,0.406,0.526,4645,6142,0.374,ENSG00000185347,Tubulin epsilon and delta complex protein 1,Cell projection,,,,,
TEFM,,,,no,2.873,3.046,32909,35596,0.084,ENSG00000172171,"Transcription elongation factor, mitochondrial",Mitochondrion matrix,,,,,
TEKT3,,,,no,0.042,0.04,484,463,-0.093,ENSG00000125409,Tektin-3,Cytoplasm,,,,,
TEKT4,,,,no,0.034,0.044,390,518,0.381,ENSG00000163060,Tektin-4,Cytoplasm,,,,,
TENT5B,,,,no,0.137,0.15,1567,1758,0.137,ENSG00000158246,Terminal nucleotidyltransferase 5B,Cytoplasm,stem cell of epidermis;keratinocyte;epidermal cell,,,,
TESK2,,,,no,0.553,0.581,6332,6789,0.072,ENSG00000070759,Dual specificity testis-specific protein kinase 2,Nucleus,basal cell of epidermis;luminal cell of prostate epithelium,,,,
TEX30,,,,no,0.738,0.507,8451,5922,-0.542,ENSG00000151287,Testis-expressed protein 30,,early T lineage precursor,,,,
TEX35,,,,no,0.038,,430,0,,ENSG00000240021,Testis-expressed protein 35,,,,,,
TGM6,,,,no,0.013,,153,0,,ENSG00000166948,Protein-glutamine gamma-glutamyltransferase 6,Cytoplasm,,,,,
THAP11,,,,no,6.375,7.733,73014,90359,0.279,ENSG00000168286,THAP domain-containing protein 11,Nucleus,,,,,
THAP3,,,,no,1.024,1.513,11724,17678,0.564,ENSG00000041988,THAP domain-containing protein 3,,,,,,
THEM6,,,,no,0.732,0.512,8384,5981,-0.516,ENSG00000130193,Protein THEM6 (Mesenchymal stem cell protein DSCD75) (Thioesterase superfamily member 6),Secreted,,,,,
THUMPD3,,,,no,4.312,4.265,49383,49839,-0.016,ENSG00000134077,tRNA (guanine(6)-N2)-methyltransferase THUMP3,Cytoplasm,,,,,
THYN1,,,,no,3.917,4.327,44859,50564,0.144,ENSG00000151500,Thymocyte nuclear protein 1 (Thymocyte protein Thy28),Nucleus,,,,,
TICRR,,,,no,0.063,0.043,722,508,-0.536,ENSG00000140534,"Treslin (TopBP1-interacting checkpoint and replication regulator) (TopBP1-interacting, replication-stimulating protein)",Nucleus,,,,,
TIGD5,,,,no,0.823,0.692,9428,8083,-0.251,ENSG00000179886,Tigger transposable element-derived protein 5,Nucleus,,,,,
TIMM29,,,,no,4.177,4.189,47841,48943,0.004,ENSG00000142444,Mitochondrial import inner membrane translocase subunit Tim29 (TIM29),Mitochondrion inner membrane,,,,,
TLK2,,,,no,5.412,5.774,61981,67463,0.093,ENSG00000146872,Serine/threonine-protein kinase tousled-like 2,Nucleus,,,,,
TM6SF2,,,,no,0.05,0.025,578,293,-1.009,ENSG00000213996,Transmembrane 6 superfamily member 2,Endoplasmic reticulum membrane,,,,,
TM9SF4,,,,no,5.995,6.643,68666,77625,0.148,ENSG00000101337,Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1),Membrane,,,,,
TMA16,,,,no,5.425,4.375,62127,51122,-0.31,ENSG00000198498,Translation machinery-associated protein 16,Nucleus,,,,,
TMBIM4,,,,no,16.231,13.463,185891,157317,-0.27,ENSG00000155957,Protein lifeguard 4 (Golgi anti-apoptotic protein) (Protein S1R) (Transmembrane BAX inhibitor motif-containing protein 4) (Z-protein),Golgi apparatus membrane,serous cell of epithelium of trachea,,,,
TMEM106B,,,,no,8.282,5.501,94855,64276,-0.59,ENSG00000106460,Transmembrane protein 106B,Late endosome membrane,,,,,
TMEM120B,,,,no,1.577,2.403,18067,28082,0.607,ENSG00000188735,Transmembrane protein 120B,Nucleus inner membrane,,,,,
TMEM126A,,,,no,3.499,2.822,40071,32978,-0.31,ENSG00000171202,Transmembrane protein 126A,Mitochondrion inner membrane,,,,,
TMEM130,,,,no,0.191,0.103,2186,1202,-0.892,ENSG00000166448,Transmembrane protein 130,Golgi apparatus membrane,,,,,
TMEM14C,,,,no,18.512,16.087,212018,187974,-0.203,ENSG00000111843,Transmembrane protein 14C,Mitochondrion membrane,erythroid progenitor cell;proerythroblast;primitive red blood cell,,,,
TMEM173,,,,no,3.023,5.149,34620,60170,0.769,ENSG00000184584,STING isoform 1,Cytoplasm,,,,,
TMEM185A,,,,no,1.879,2.147,21517,25088,0.193,ENSG00000269556,Transmembrane protein 185A (Protein FAM11A),Cell projection,,,,,
TMEM192,,,,no,6.13,6.166,70201,72044,0.008,ENSG00000170088,Transmembrane protein 192,Lysosome membrane,,,,,
TMEM200A,,,,no,0.721,0.553,8260,6459,-0.384,ENSG00000164484,Transmembrane protein 200A,Membrane,,,,,
TMEM201,,,,no,1.092,0.982,12504,11469,-0.154,ENSG00000188807,Transmembrane protein 201 (Spindle-associated membrane protein 1),Nucleus inner membrane,,,,,
TMEM209,,,,no,3.457,3.679,39597,42987,0.09,ENSG00000146842,Transmembrane protein 209,Membrane,,,,,
TMEM237,,,,no,1.942,2.016,22246,23561,0.054,ENSG00000155755,Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein),Membrane,,,,,
TMEM33,,,,no,6.039,5.022,69164,58680,-0.266,ENSG00000109133,Transmembrane protein 33 (Protein DB83) (SHINC-3),Endoplasmic reticulum membrane,,,,,
TMEM39A,,,,no,6.716,7.906,76922,92385,0.235,ENSG00000176142,Transmembrane protein 39A,Endoplasmic reticulum membrane,,,,,
TMEM43,,,,no,2.149,1.76,24610,20561,-0.288,ENSG00000170876,Transmembrane protein 43 (Protein LUMA),Endoplasmic reticulum membrane,,,,,
TMPRSS13,,,,no,0.657,0.452,7523,5279,-0.54,ENSG00000137747,Transmembrane protease serine 13,Cell membrane,pulmonary ionocyte;ionocyte,,,,
TMTC3,,,,no,2.263,1.865,25922,21792,-0.279,ENSG00000139324,Protein O-mannosyl-transferase TMTC3,Membrane,pulmonary ionocyte;ionocyte,,,,
TMTC4,,,,no,4.174,3.942,47802,46060,-0.082,ENSG00000125247,Protein O-mannosyl-transferase TMTC4,Membrane,,,,,
TMUB2,,,,no,2.85,3.156,32644,36879,0.147,ENSG00000168591,Transmembrane and ubiquitin-like domain-containing protein 2,Membrane,,,,,
TMX2,,,,no,12.774,10.445,146303,122046,-0.29,ENSG00000213593,Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14),Endoplasmic reticulum membrane,,,,,
TNK2,,,,no,4.737,7.383,54253,86269,0.64,ENSG00000061938,Activated CDC42 kinase 1 (ACK-1),Cell membrane,,,,,
TNPO3,,,,no,6.815,7.5,78048,87640,0.138,ENSG00000064419,Transportin-3 (Importin-12) (Imp12) (Transportin-SR) (TRN-SR),Nucleus envelope,,,,,
TNS2,,,,no,7.163,11.596,82041,135497,0.695,ENSG00000111077,Tensin-2,Cell junction,,,,,
TOMM34,,,,no,3.786,4.448,43357,51977,0.233,ENSG00000025772,Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit),Cytoplasm,,,,,
TONSL,,,,no,0.633,0.814,7253,9508,0.362,ENSG00000160949,Tonsoku-like protein (Inhibitor of kappa B-related protein) (I-kappa-B-related protein) (IkappaBR) (NF-kappa-B inhibitor-like protein 2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2),Nucleus,,,,,
TPPP,,,,no,0.679,0.683,7775,7982,0.009,ENSG00000171368,Tubulin polymerization-promoting protein (TPPP),Golgi outpost,,,,,
TREX2,,,,no,0.854,0.772,9783,9018,-0.146,ENSG00000183479,Three prime repair exonuclease 2,Nucleus,,,,,
TRIM23,,,,no,2.686,3.235,30761,37804,0.269,ENSG00000113595,E3 ubiquitin-protein ligase TRIM23,Cytoplasm,,,,,
TRIM47,,,,no,6.897,7.978,78988,93223,0.21,ENSG00000132481,E3 ubiquitin-protein ligase TRIM47,Cytoplasm,,,,,
TRIM55,,,,no,0.402,0.196,4600,2288,-1.036,ENSG00000147573,Tripartite motif-containing protein 55 (Muscle-specific RING finger protein 2) (MuRF-2) (MuRF2) (RING finger protein 29),Cytoplasm,Sertoli cell;mesothelial cell;sebaceous gland cell,,,,
TRIM65,,,,no,3.425,4.371,39223,51078,0.352,ENSG00000141569,E3 ubiquitin-protein ligase TRIM65,Cytoplasm,,,,,
TRIM66,,,,no,1.75,2.877,20041,33616,0.717,ENSG00000166436,Tripartite motif-containing protein 66,Nucleus,,,,,
TRIM67,,,,no,0.062,0.109,707,1271,0.817,ENSG00000119283,Tripartite motif-containing protein 67 (TRIM9-like protein),Cytoplasm,,,,,
TRMT1L,,,,no,2.793,3.395,31987,39667,0.282,ENSG00000121486,TRMT1-like protein,,,,,,
TRMT2A,,,,no,4.725,6.341,54116,74089,0.424,ENSG00000099899,tRNA (uracil-5-)-methyltransferase homolog A,Cytoplasm,,,,,
TRUB1,,,,no,2.899,3.004,33202,35097,0.051,ENSG00000165832,Pseudouridylate synthase TRUB1,Nucleus,,,,,
TSBP1,,,,no,0.031,,357,0,,ENSG00000204296,Testis-expressed basic protein 1 (Uncharacterized protein C6orf10),Membrane,,,,,
TSNAXIP1,,,,no,0.382,0.406,4370,4748,0.091,ENSG00000102904,Translin-associated factor X-interacting protein 1 (Trax-interacting protein 1),Cytoplasm,,,,,
TSPAN10,,,,no,0.08,0.069,913,812,-0.198,ENSG00000182612,Tetraspanin-10 (Tspan-10) (Oculospanin),Membrane,,,,,
TSPAN3,,,,no,25.473,23.679,291741,276682,-0.105,ENSG00000140391,Tetraspanin-3 (Tspan-3) (Tetraspanin TM4-A) (Transmembrane 4 superfamily member 8),Membrane,,,,,
TSPAN31,,,,no,0.886,0.767,10153,8961,-0.209,ENSG00000135452,Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence),Membrane,,,,,
TSPAN9,,,,no,4.595,4.798,52625,56064,0.062,ENSG00000011105,Tetraspanin-9 (Tspan-9) (Tetraspan NET-5),Membrane,,,,,
TSPYL5,,,,no,1.938,4.164,22197,48651,1.103,ENSG00000180543,Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5),,,,,,
TSSC4,,,,no,1.851,1.905,21199,22259,0.041,ENSG00000184281,U5 small nuclear ribonucleoprotein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein),Nucleus,,,,,
TSSK1B,,,,no,0.131,0.065,1503,759,-1.015,ENSG00000212122,Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1),Cytoplasm,,,,,
TSSK3,,,,no,0.061,0.081,693,943,0.415,ENSG00000162526,Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3),,,,,,
TTC12,,,,no,1.885,2.992,21590,34957,0.666,ENSG00000149292,Tetratricopeptide repeat protein 12 (TPR repeat protein 12),Cytoplasm,,,,,
TTC23,,,,no,2.163,1.964,24773,22952,-0.139,ENSG00000103852,Tetratricopeptide repeat protein 23 (TPR repeat protein 23) (Cervical cancer proto-oncogene 8 protein) (HCC-8),Cell projection,,,,,
TTC23L,,,,no,0.05,0.026,574,304,-0.946,ENSG00000205838,Tetratricopeptide repeat protein 23-like,Cytoplasm,neural progenitor cell,,,,
TTC4,,,,no,3.108,3.215,35597,37562,0.049,ENSG00000243725,Tetratricopeptide repeat protein 4 (TPR repeat protein 4),Nucleus,,,,,
TTC9C,,,,no,4.952,6.406,56717,74853,0.371,ENSG00000162222,Tetratricopeptide repeat protein 9C (TPR repeat protein 9C),,,,,,
TUSC2,,,,no,5.949,6.156,68129,71931,0.049,ENSG00000114383,Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2),,,,,,
TXNDC16,,,,no,2.461,2.285,28181,26703,-0.107,ENSG00000087301,Thioredoxin domain-containing protein 16,Secreted,,,,,
TXNDC9,,,,no,6.184,5.287,70821,61776,-0.226,ENSG00000115514,Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4),Cytoplasm,,,,,
UBAP2,,,,no,4.147,4.339,47491,50696,0.065,ENSG00000137073,Ubiquitin-associated protein 2 (UBAP-2) (RNA polymerase II degradation factor UBAP2),Nucleus,,,,,
UBAP2L,,,,no,16.353,17.776,187289,207708,0.12,ENSG00000143569,Ubiquitin-associated protein 2-like (Protein NICE-4) (RNA polymerase II degradation factor UBAP2L),Nucleus,,,,,
UBASH3A,,,,no,0.103,0.234,1177,2738,1.189,ENSG00000160185,Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4) (CLIP4) (Suppressor of T-cell receptor signaling 2) (STS-2) (T-cell ubiquitin ligand 1) (TULA-1),Cytoplasm;Nucleus,,,,,
UBASH3B,,,,no,1.007,0.763,11535,8916,-0.4,ENSG00000154127,Ubiquitin-associated and SH3 domain-containing protein B,Cytoplasm,,,,,
UBR3,,,,no,6.48,6.593,74213,77038,0.025,ENSG00000144357,E3 ubiquitin-protein ligase UBR3,Membrane,,,,,
