gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
HEPACAM,,,,no,0.043,0.026,493,301,-0.741,ENSG00000165478,Hepatic and glial cell adhesion molecule (glialCAM) (Hepatocyte cell adhesion molecule) (Protein hepaCAM),Cytoplasm,mature astrocyte,,,,
HGH1,,,,no,2.226,2.548,25499,29770,0.195,ENSG00000235173,Protein HGH1 homolog,,,,,,
HHLA2,,,,no,0.97,0.279,11108,3257,-1.799,ENSG00000114455,HERV-H LTR-associating protein 2 (Human endogenous retrovirus-H long terminal repeat-associating protein 2),Membrane,,,,,
HIVEP2,,,,no,4.27,3.156,48904,36878,-0.436,ENSG00000010818,Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2),Nucleus,,,,,
HMGN5,,,,no,1.676,1.005,19196,11747,-0.737,ENSG00000198157,High mobility group nucleosome-binding domain-containing protein 5 (Nucleosome-binding protein 1),Nucleus,Sertoli cell;proerythroblast,,,,
HMX2,,,,no,0.043,0.012,496,139,-1.864,ENSG00000188816,Homeobox protein HMX2 (Homeobox protein H6 family member 2),Nucleus,brush cell,,,,
HOTAIR,,,,no,0.038,,431,0,,ENSG00000228630,,,,,,,
HOXA13,,,,no,0.035,,396,0,,ENSG00000106031,Homeobox protein Hox-A13 (Homeobox protein Hox-1J),Nucleus,,,,,
HOXB6,,,,no,0.579,0.861,6629,10058,0.573,ENSG00000108511,Homeobox protein Hox-B6 (Homeobox protein Hox-2.2) (Homeobox protein Hox-2B) (Homeobox protein Hu-2),Nucleus,interstitial cell of Cajal,,,,
HOXB7,,,,no,37.746,13.268,432299,155032,-1.508,ENSG00000260027,Homeobox protein Hox-B7 (Homeobox protein HHO.C1) (Homeobox protein Hox-2C),Nucleus,,,,,
HOXC11,,,,no,0.021,,238,0,,ENSG00000123388,Homeobox protein Hox-C11 (Homeobox protein Hox-3H),Nucleus,,,,,
HPS5,,,,no,2.853,2.887,32673,33736,0.017,ENSG00000110756,BLOC-2 complex member HPS5 (Alpha-integrin-binding protein 63) (Hermansky-Pudlak syndrome 5 protein) (Ruby-eye protein 2 homolog) (Ru2),Cytoplasm,,,,,
HSDL1,,,,no,1.918,1.946,21966,22738,0.021,ENSG00000103160,Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3),Mitochondrion,,,,,
HSF4,,,,no,6.471,6.913,74108,80779,0.095,ENSG00000102878,Heat shock factor protein 4 (HSF 4) (hHSF4) (Heat shock transcription factor 4) (HSTF 4),Nucleus,,,,,
HSPB3,,,,no,0.092,0.012,1055,135,-2.995,ENSG00000169271,Heat shock protein beta-3 (HspB3) (Heat shock 17 kDa protein) (HSP 17) (Protein 3),Cytoplasm,neural progenitor cell,,,,
IGFN1,,,,no,2.397,4.639,27448,54202,0.953,ENSG00000163395,Immunoglobulin-like and fibronectin type III domain-containing protein 1 (EEF1A2-binding protein 1) (KY-interacting protein 1),Nucleus,,,,,
IGSF8,,,,no,2.787,3.202,31919,37420,0.2,ENSG00000162729,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),Cell membrane,lung neuroendocrine cell,,,,
IGSF9B,,,,no,0.979,1.104,11215,12899,0.173,ENSG00000080854,Protein turtle homolog B (Immunoglobulin superfamily member 9B) (IgSF9B),Postsynaptic cell membrane,,,,,
ILDR2,,,,no,0.192,0.084,2196,985,-1.186,ENSG00000143195,Immunoglobulin-like domain-containing receptor 2 (Angulin-3),Endoplasmic reticulum membrane,Sertoli cell,,,,
INCA1,,,,no,0.129,0.118,1478,1382,-0.126,ENSG00000196388,Protein INCA1 (Inhibitor of CDK interacting with cyclin A1),Nucleus,,,,,
ING1,,,,no,7.173,6.409,82157,74888,-0.163,ENSG00000153487,Inhibitor of growth protein 1,Nucleus,intestinal crypt stem cell of large intestine,,,,
INKA2,,,,no,0.569,0.329,6512,3840,-0.791,ENSG00000197852,PAK4-inhibitor INKA2 (Induced in neural crest by AP2-alpha protein-related homolog) (HInca-r) (Inka box actin regulator 2),Nucleus,,,,,
IPO11,,,,no,4.173,4.263,47795,49811,0.031,ENSG00000086200,Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11),Cytoplasm,,,,,
IPO9,,,,no,7.887,8.373,90335,97834,0.086,ENSG00000198700,Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9),Cytoplasm,,,,,
IPP,,,,no,3.076,3.32,35228,38793,0.11,ENSG00000197429,Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27),Cytoplasm,,,,,
IRF2BP1,,,,no,4.247,5.508,48645,64359,0.375,ENSG00000170604,Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1),Nucleus,,,,,
IRF2BPL,,,,no,11.51,9.287,131826,108519,-0.31,ENSG00000119669,Probable E3 ubiquitin-protein ligase IRF2BPL,Nucleus,,,,,
IRGQ,,,,no,5.991,5.056,68609,59083,-0.245,ENSG00000167378,Immunity-related GTPase family Q protein,,,,,,
ISOC2,,,,no,4.772,4.455,54659,52060,-0.099,ENSG00000063241,Isochorismatase domain-containing protein 2,Cytoplasm,,,,,
ITPRID2,,,,no,39.129,32.96,448137,385125,-0.248,ENSG00000138434,Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2),Cytoplasm,type EC enteroendocrine cell;pulmonary ionocyte;acinar cell of salivary gland;ionocyte,,,,
JDP2,,,,no,6.998,6.558,80146,76631,-0.094,ENSG00000140044,Jun dimerization protein 2,Nucleus,osteoclast,,,,
JMJD4,,,,no,1.787,2.222,20461,25965,0.315,ENSG00000081692,2-oxoglutarate and iron-dependent oxygenase JMJD4,Cytoplasm,,,,,
JPH1,,,,no,3.306,3.273,37860,38242,-0.014,ENSG00000104369,Junctophilin-1 (JP-1) (Junctophilin type 1),Cell membrane,,,,,
JPT2,,,,no,11.702,9.02,134024,105392,-0.376,ENSG00000206053,Jupiter microtubule associated homolog 2 (Hematological and neurological expressed 1-like protein) (HN1-like protein),Cytoplasm,extravillous trophoblast,,,,
JRK,,,,no,1.361,1.391,15592,16259,0.032,ENSG00000234616,Jerky protein homolog,Nucleus,,,,,
KCNRG,,,,no,0.16,0.074,1838,861,-1.123,ENSG00000198553,Potassium channel regulatory protein (Potassium channel regulator) (Protein CLLD4),Endoplasmic reticulum,,,,,
KCNT1,,,,no,0.103,0.084,1180,981,-0.295,ENSG00000107147,Potassium channel subfamily T member 1 (KCa4.1),Cell membrane,,,,,
KCTD10,,,,no,4.488,3.858,51406,45078,-0.218,ENSG00000110906,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10),Nucleus,,,,,
KCTD20,,,,no,4.54,3.555,52000,41538,-0.353,ENSG00000112078,BTB/POZ domain-containing protein KCTD20 (Potassium channel tetramerization domain containing 20),Cytoplasm,,,,,
KCTD5,,,,no,4.39,4.554,50276,53213,0.053,ENSG00000167977,BTB/POZ domain-containing protein KCTD5,Cytoplasm,,,,,
KCTD9,,,,no,4.525,4.256,51820,49726,-0.088,ENSG00000104756,BTB/POZ domain-containing protein KCTD9,,,,,,
KDM8,,,,no,3.022,2.727,34608,31864,-0.148,ENSG00000155666,Bifunctional peptidase and arginyl-hydroxylase JMJD5,Nucleus,,,,,
KIAA1191,,,,no,13.732,10.609,157273,123960,-0.372,ENSG00000122203,Putative monooxygenase p33MONOX,Cytoplasm,,,,,
KIAA2013,,,,no,5.596,5.086,64086,59424,-0.138,ENSG00000116685,Uncharacterized protein KIAA2013,Membrane,,,,,
KLF14,,,,no,0.132,0.088,1516,1031,-0.585,ENSG00000266265,Krueppel-like factor 14 (Basic transcription element-binding protein 5) (BTE-binding protein 5) (Transcription factor BTEB5),Nucleus,,,,,
