gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
SLC3A2,,,,no,7.377,10.392,84484,121429,0.494,ENSG00000168003,Amino acid transporter heavy chain SLC3A2 (4F2 cell-surface antigen heavy chain) (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),Apical cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;pancreatic A cell;cerebral cortex endothelial cell;mammary gland epithelial cell;fibroblast of mammary gland,
SLC40A1,,,,no,21.916,21.592,251007,252292,-0.022,ENSG00000138449,Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1),Cell membrane,"placental villous trophoblast;syncytiotrophoblast cell;erythroid progenitor cell, mammalian;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung",
SLC5A1,,,,no,0.95,0.459,10883,5360,-1.051,ENSG00000100170,Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1),Apical cell membrane,enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;cholangiocyte;enteroendocrine cell of colon;paneth cell of epithelium of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of small intestine;transit amplifying cell of small intestine,
SLC7A11,,,,no,0.304,0.323,3477,3775,0.09,ENSG00000151012,Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland,
SLC9A3,,,,no,0.658,0.699,7534,8173,0.089,ENSG00000066230,Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3),Apical cell membrane,kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell,
STEAP1,,,,no,2.215,1.275,25369,14902,-0.796,ENSG00000164647,Metalloreductase STEAP1,Endosome membrane,luminal cell of prostate epithelium;fibroblast of breast,
TFR2,,,,no,0.07,0.05,805,590,-0.477,ENSG00000106327,Transferrin receptor protein 2 (TfR2),Cell membrane,hepatoblast;periportal region hepatocyte;midzonal region hepatocyte;erythroid lineage cell;erythroblast;myeloid lineage restricted progenitor cell;common myeloid progenitor,
TFRC,,,,no,6.869,4.179,78671,48832,-0.717,ENSG00000072274,Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71),Cell membrane,inflammatory macrophage;alveolar macrophage;lung macrophage;erythrocyte;enucleate erythrocyte;immature innate lymphoid cell;myeloid cell;erythroid lineage cell;proerythroblast;erythroblast;primitive red blood cell;transit amplifying cell of small intestine,
TP53,,,,no,9.256,9.212,106013,107635,-0.007,ENSG00000141510,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),Cytoplasm,,
TRPM6,,,,no,0.376,0.326,4305,3812,-0.204,ENSG00000119121,Transient receptor potential cation channel subfamily M member 6,Cell membrane,kidney distal convoluted tubule epithelial cell,
TRPM7,,,,no,9.065,8.254,103826,96445,-0.135,ENSG00000092439,Transient receptor potential cation channel subfamily M member 7,Membrane,kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;ciliary muscle cell,
TRPV6,,,,no,10.835,9.779,124087,114264,-0.148,ENSG00000165125,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (CaT-like) (CaT-L) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),Cell membrane,pancreatic ductal cell,
VDAC2,,,,no,17.796,18.516,203812,216360,0.057,ENSG00000165637,Voltage-dependent anion-selective channel protein 2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2),Mitochondrion outer membrane,mast cell;mucosal type mast cell,
VDR,,,,no,1.282,1.502,14678,17556,0.229,ENSG00000111424,"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)",Nucleus,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;transit amplifying cell of small intestine,Calcitriol
