gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
IL1RN,,,,no,0.128,0.116,1466,1354,-0.144,ENSG00000136689,Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra),Cytoplasm,epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell;epithelial cell of urethra;conjunctival epithelial cell;hematopoietic cell;blood cell;granulocyte;leukocyte;myeloid leukocyte;myeloid cell,
IL3RA,,,,no,0.876,1.149,10030,13420,0.391,ENSG00000185291,Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123),Membrane,"prostate gland microvascular endothelial cell;gut endothelial cell;granulocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;common dendritic progenitor",IL4
IL4,,,,no,0.034,0.012,389,137,-1.534,ENSG00000113520,Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra),Secreted,basophil,IL2;IL4
IL5RA,,,,no,0.136,0.042,1552,491,-1.689,ENSG00000091181,Interleukin-5 receptor subunit alpha (IL-5 receptor subunit alpha) (IL-5R subunit alpha) (IL-5R-alpha) (IL-5RA) (CDw125) (CD antigen CD125),Membrane,granulocyte;basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;granulocytopoietic cell,IL4
IMPDH2,,,,no,41.181,34.871,471649,407462,-0.24,ENSG00000178035,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2),Cytoplasm,"erythroid progenitor cell, mammalian;macrophage dendritic cell progenitor;basophil mast progenitor cell",
IQGAP1,,,,no,14.685,16.393,168189,191552,0.159,ENSG00000140575,Ras GTPase-activating-like protein IQGAP1 (p195),Cell membrane,alternatively activated macrophage;neutrophil;mature conventional dendritic cell;myeloid leukocyte;myeloid cell,
IRF7,,,,no,0.991,0.876,11346,10237,-0.177,ENSG00000185507,Interferon regulatory factor 7 (IRF-7),Nucleus;Cytoplasm,"bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;IgG plasma cell;common dendritic progenitor",
IRF8,,,,no,0.3,0.713,3433,8331,1.25,ENSG00000140968,Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP),Nucleus,"bone marrow cell;granulocyte monocyte progenitor cell;leukocyte;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;dendritic cell, human;mature B cell;memory B cell;B-1b B cell;follicular B cell;germinal center B cell;monocyte;B cell;common dendritic progenitor;macrophage dendritic cell progenitor;pre-conventional dendritic cell;early T lineage precursor",
ITGA2B,,,,no,0.037,0.052,429,603,0.462,ENSG00000005961,Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41),Membrane,"hematopoietic stem cell;blood cell;basophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell, mammalian;common myeloid progenitor",CD40;FN1;VTN;TENASCIN;VWF
ITGA4,,,,no,1.285,2.169,14719,25349,0.755,ENSG00000115232,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d),Membrane,"hematopoietic cell;eosinophil;immature natural killer cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor",SPP1;MK;FN1;L1CAM;MADCAM;VCAM
ITGAM,,,,no,1.411,1.928,16156,22529,0.451,ENSG00000169896,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;neutrophil;immature neutrophil;leukocyte;myeloid leukocyte;myelocyte;granulocytopoietic cell",CD40;COMPLEMENT;CD23;GP1BA;ICAM;JAM;THY1
ITM2A,,,,no,3.408,2.008,39026,23462,-0.763,ENSG00000078596,Integral membrane protein 2A (Protein E25),Membrane,"epithelial cell;endothelial tip cell;retinal blood vessel endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cerebral cortex endothelial cell;endosteal cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;immature T cell;thymocyte;basophil mast progenitor cell;pro-T cell",
IVNS1ABP,,,,no,8.252,8.406,94508,98216,0.027,ENSG00000116679,Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3) (Kelch-like protein 39),Cytoplasm,lens epithelial cell;anterior lens cell;kidney distal convoluted tubule epithelial cell;neutrophil;myelocyte,
KIT,,,,no,0.308,0.525,3522,6135,0.772,ENSG00000157404,Mast/stem cell growth factor receptor Kit (SCFR),Cytoplasm,"kidney collecting duct intercalated cell;interstitial cell of Cajal;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of trachea;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte;melanocyte of skin;granulocyte;basophil;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",KIT
KXD1,,,,no,10.059,10.212,115210,119323,0.022,ENSG00000105700,KxDL motif-containing protein 1,Lysosome membrane,pancreatic PP cell;PP cell;mast cell;mucosal type mast cell;T cell,
LIF,,,,no,1.685,1.118,19294,13062,-0.592,ENSG00000128342,Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin),Secreted,smooth muscle cell of prostate;mast cell;mucosal type mast cell;group 2 innate lymphoid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,LIFR
LILRA2,,,,no,0.242,0.256,2767,2996,0.086,ENSG00000239998,Leukocyte immunoglobulin-like receptor subfamily A member 2 (CD85 antigen-like family member H) (Immunoglobulin-like transcript 1) (ILT-1) (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (CD antigen CD85h),Cell membrane,"classical monocyte;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;monocyte;non-classical monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mature NK T cell;myeloid cell;promonocyte;myelocyte",
LILRA5,,,,no,0.328,0.279,3759,3256,-0.236,ENSG00000187116,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;Langerhans cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;mononuclear cell;mature NK T cell;myeloid cell",
LILRB3,,,,no,0.233,0.607,2666,7089,1.382,ENSG00000204577,Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a),Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;neutrophil;immature neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell",
LRRK2,,,,no,2.362,2.415,27057,28221,0.032,ENSG00000188906,Leucine-rich repeat serine/threonine-protein kinase 2,Cytoplasmic vesicle,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle thin descending limb epithelial cell;granulocyte;neutrophil;lung secretory cell,
LTA4H,,,,no,11.736,13.158,134417,153752,0.165,ENSG00000111144,Leukotriene A-4 hydrolase (LTA-4 hydrolase),Cytoplasm,"epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;phagocyte;alveolar macrophage;lung macrophage;classical monocyte;immature neutrophil;monocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;myelocyte;granulocytopoietic cell;lung secretory cell",
