gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
SECISBP2L,,,,no,3.014,3.01,34515,35176,-0.002,ENSG00000138593,Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like),,epithelial cell of lung;type II pneumocyte;lung secretory cell,
SELE,,,,no,0.198,0.046,2268,535,-2.113,ENSG00000007908,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of uterus,CEACAM;SELE;SELPLG
SELENBP1,,,,no,3.131,3.548,35860,41459,0.18,ENSG00000143416,Methanethiol oxidase (MTO),Nucleus,intestinal crypt stem cell;intestinal crypt stem cell of large intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell;transit amplifying cell of colon,
SELP,,,,no,0.151,0.312,1728,3650,1.05,ENSG00000174175,P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P),Cell membrane,squamous epithelial cell;vein endothelial cell;retinal blood vessel endothelial cell;endothelial cell of artery;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;endocardial cell;platelet;megakaryocyte,CD34;SELPLG
SEMA4D,,,,no,3.699,4.466,42365,52189,0.272,ENSG00000187764,Semaphorin-4D (A8) (BB18) (GR3) (CD antigen CD100),Cell membrane,kidney loop of Henle thin descending limb epithelial cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,SEMA4
SERPINA3,,,,no,89.837,87.268,1028893,1019708,-0.042,ENSG00000196136,Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3),Secreted,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mammary gland epithelial cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;tracheobronchial serous cell,
SERPINA5,,,,no,22.016,19.428,252150,227015,-0.18,ENSG00000188488,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),Secreted,duct epithelial cell;pancreatic ductal cell;intrahepatic cholangiocyte;Sertoli cell;mesothelial cell;kidney distal convoluted tubule epithelial cell;Leydig cell,
SERPINB2,,,,no,0.252,0.446,2889,5211,0.822,ENSG00000197632,Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor),Cytoplasm;Secreted,basal cell of epithelium of bronchus;stem cell of epidermis;keratinocyte;basal epithelial cell of tracheobronchial tree;epidermal cell;intermediate monocyte,
SERPINB4,,,,no,0.04,,461,0,,ENSG00000206073,Serpin B4 (Leupin) (Peptidase inhibitor 11) (PI-11) (Squamous cell carcinoma antigen 2) (SCCA-2),Cytoplasm,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;basal cell of epithelium of bronchus;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;basal epithelial cell of tracheobronchial tree,
SERPINB5,,,,no,0.03,,343,0,,ENSG00000206075,Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5),Secreted,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of bronchus;epithelial cell of stratum germinativum of esophagus;stem cell of epidermis;keratinocyte;stratified epithelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;bronchial epithelial cell;basal epithelial cell of tracheobronchial tree;epidermal cell;epithelial cell of urethra;conjunctival epithelial cell,
SERPINE1,,,,no,3.762,1.954,43082,22829,-0.945,ENSG00000106366,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;myometrial cell;connective tissue cell;fibroblast;fibroblast of lung;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mesothelial fibroblast,
SERPINH1,,,,no,8.815,6.746,100961,78829,-0.386,ENSG00000149257,Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47),Endoplasmic reticulum lumen,epithelial cell;endothelial tip cell;lung endothelial cell;cortical thymic epithelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endosteal cell;preosteoblast;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;osteoblast;chondrocyte;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,
SERPINI2,,,,no,27.597,26.728,316063,312313,-0.046,ENSG00000114204,Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14),Secreted,pancreatic acinar cell;glandular epithelial cell;acinar cell,
SFRP1,,,,no,1.146,0.866,13123,10117,-0.404,ENSG00000104332,Secreted frizzled-related protein 1 (FRP-1) (sFRP-1) (Secreted apoptosis-related protein 2) (SARP-2),Secreted,basal cell;acinar cell of salivary gland;ovarian surface epithelial cell;Leydig cell;mesodermal cell;radial glial cell;forebrain radial glial cell;myofibroblast cell,
SGK1,,,,no,23.268,16.704,266482,195180,-0.478,ENSG00000118515,Serine/threonine-protein kinase Sgk1,Cytoplasm;Nucleus;Endoplasmic reticulum membrane;Cell membrane;Mitochondrion,pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;glomerular capillary endothelial cell;mesothelial cell of pleura;fenestrated cell;glomerular endothelial cell;hematopoietic cell;liver dendritic cell;myeloid leukocyte,
SH3BP5,,,,no,1.779,1.723,20378,20131,-0.046,ENSG00000131370,SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK),Cytoplasmic vesicle membrane,epithelial cell;retinal blood vessel endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;cortical cell of adrenal gland;fenestrated cell;endothelial cell;endothelial cell of vascular tree;alternatively activated macrophage;extravillous trophoblast;gamma-delta T cell;fibroblast of breast,
SHANK3,,,,no,2.754,5.17,31540,60410,0.909,ENSG00000251322,SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2),Cytoplasm,squamous epithelial cell;blood vessel endothelial cell;kidney capillary endothelial cell;capillary endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;cardiac endothelial cell,
SHROOM1,,,,no,4.268,5.837,48881,68199,0.452,ENSG00000164403,Protein Shroom1 (Apical protein 2),Cytoplasm,basal epithelial cell of prostatic duct;taste receptor cell;epithelial cell of prostate;luminal cell of prostate epithelium,
SIM2,,,,no,0.022,0.009,252,108,-1.251,ENSG00000159263,Single-minded homolog 2 (Class E basic helix-loop-helix protein 15) (bHLHe15),Nucleus,kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;kidney cell,
SINHCAF,,,,no,8.231,5.13,94264,59941,-0.682,ENSG00000139146,SIN3-HDAC complex-associated factor (Protein FAM60A) (Tera protein homolog),Nucleus,fallopian tube secretory epithelial cell,
SIX1,,,,no,0.112,0.026,1288,301,-2.126,ENSG00000126778,Homeobox protein SIX1 (Sine oculis homeobox homolog 1),Nucleus,brush cell of trachebronchial tree;brush cell of bronchus;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell,
SLC12A2,,,,no,8.073,10.498,92454,122667,0.379,ENSG00000064651,Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2),Basolateral cell membrane,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;epithelial cell;intrahepatic cholangiocyte;lung endothelial cell;intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;ileal goblet cell;epithelial cell of sweat gland;endothelial cell;endothelial cell of vascular tree;transit amplifying cell of small intestine;tracheobronchial serous cell;serous cell of epithelium of trachea;serous cell of epithelium of bronchus,
SLC15A1,,,,no,1.586,2.059,18170,24060,0.376,ENSG00000088386,"Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)",Apical cell membrane,enterocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;type L enteroendocrine cell;M cell of gut;intestinal epithelial cell;epithelial cell of small intestine;sebaceous gland cell,
SLC16A1,,,,no,0.401,0.304,4598,3547,-0.403,ENSG00000155380,Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1),Cell membrane,granulosa cell;retinal pigment epithelial cell;erythroid lineage cell;Mueller cell,
SLC16A9,,,,no,0.553,0.493,6336,5765,-0.165,ENSG00000165449,Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9),Cell membrane,ciliated epithelial cell;epithelial cell of proximal tubule;columnar/cuboidal epithelial cell;cortical cell of adrenal gland;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney cell,
SLC20A2,,,,no,4.848,4.825,55525,56381,-0.007,ENSG00000168575,Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2),Cell membrane,choroid plexus epithelial cell;corneal endothelial cell,
SLC22A2,,,,no,0.054,,616,0,,ENSG00000112499,Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2),Basolateral cell membrane,epithelial cell of proximal tubule;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney cell,
SLC23A2,,,,no,2.124,2.281,24327,26653,0.103,ENSG00000089057,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2),Cell membrane,pigmented epithelial cell;pigmented ciliary epithelial cell;anterior lens cell;pancreatic A cell;retinal pigment epithelial cell,
