gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
NOTCH4,,,,no,1.477,2.53,16919,29568,0.776,ENSG00000204301,Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4),Cell membrane,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of uterus;cardiac endothelial cell,NOTCH
TGFB1,,,,no,0.496,0.604,5679,7058,0.285,ENSG00000105329,Transforming growth factor beta-1 proprotein,Secreted,"extravillous trophoblast;platelet;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;mucosal invariant T cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;osteoblast",TGFb
TGFB2,,,,no,2.892,3.27,33127,38214,0.177,ENSG00000092969,Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF),Secreted,type I pneumocyte,TGFb
TGFB3,,,,no,9.565,4.734,109550,55314,-1.015,ENSG00000119699,Transforming growth factor beta-3 proprotein,Secreted,,TGFb
TGFBR1,,,,no,7.479,7.001,85658,81804,-0.095,ENSG00000106799,TGF-beta receptor type-1 (TGFR-1),Cell membrane,kidney collecting duct principal cell;renal principal cell;microglial cell;mature microglial cell,TGFb;GDF;MSTN
TGFBR2,,,,no,19.206,21.814,219971,254896,0.184,ENSG00000163513,TGF-beta receptor type-2 (TGFR-2),Cell membrane,retinal blood vessel endothelial cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;surface ectodermal cell,TGFb;GDF
WNT1,,,,no,0.019,0.01,213,117,-0.893,ENSG00000125084,Proto-oncogene Wnt-1 (Proto-oncogene Int-1 homolog),Secreted,,WNT
WNT2,,,,no,0.058,0.053,667,623,-0.127,ENSG00000105989,Protein Wnt-2 (Int-1-like protein 1) (Int-1-related protein) (IRP),Secreted,connective tissue cell;fibroblast;pulmonary interstitial fibroblast;fibroblast of lung;fibroblast of mammary gland;stromal cell;stromal cell of ovary;mesenchymal cell,WNT
WNT3,,,,no,0.702,0.338,8038,3944,-1.056,ENSG00000108379,Proto-oncogene Wnt-3 (Proto-oncogene Int-4 homolog),Secreted,,WNT
WNT3A,,,,no,0.118,0.06,1350,703,-0.97,ENSG00000154342,Protein Wnt-3a,Secreted,,WNT
WNT4,,,,no,0.707,0.35,8100,4089,-1.015,ENSG00000162552,Protein Wnt-4,Secreted,type B pancreatic cell;endocrine cell;stromal cell;stromal cell of ovary,WNT
WNT5A,,,,no,2.36,0.884,27031,10327,-1.417,ENSG00000114251,Protein Wnt-5a,Secreted,stromal cell of ovary,ncWNT
WNT5B,,,,no,0.204,0.112,2332,1314,-0.857,ENSG00000111186,Protein Wnt-5b,Secreted,basal epithelial cell of prostatic duct;corneal endothelial cell,ncWNT
