gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
KCNK2,,,no,ENSG00000082482,Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK-1) (Two pore potassium channel TPKC1),Endoplasmic reticulum membrane,kidney interstitial cell,,0.52,0.267,0.52,5959,3119,-0.963,curated,ion_channels,True
KCNK3,,,no,ENSG00000171303,Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1),Cell membrane,,,4.414,7.096,7.096,50555,82915,0.685,curated,ion_channels,True
KCNK4,,,no,ENSG00000182450,Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (Two pore K(+) channel KT4.1),Cell membrane,,,0.026,0.01,0.026,299,114,-1.42,curated,ion_channels,True
KCNK6,,,no,ENSG00000099337,Potassium channel subfamily K member 6 (Inward rectifying potassium channel protein TWIK-2) (TWIK-originated similarity sequence),Membrane,,,1.547,2.061,2.061,17712,24080,0.414,curated,ion_channels,True
KCNK9,,,no,ENSG00000169427,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2),Cell membrane,,,0.06,0.028,0.06,683,333,-1.065,curated,ion_channels,True
KCNMA1,,,no,ENSG00000156113,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)",Cell membrane,type B pancreatic cell;Kupffer cell;bipolar neuron;retinal bipolar neuron,,2.849,3.362,3.362,32628,39284,0.239,curated,ion_channels,False
KCNMB1,,,no,ENSG00000145936,"Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)",Membrane,microglial cell;mature microglial cell;smooth muscle cell;enteric smooth muscle cell;uterine smooth muscle cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;Langerhans cell,,0.241,0.498,0.498,2765,5817,1.044,curated,ion_channels,False
KCNN3,,,no,ENSG00000143603,Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3),Membrane,interstitial cell of Cajal;vasa recta descending limb cell;astrocyte,,0.134,0.203,0.203,1532,2367,0.599,curated,ion_channels,True
KCNN4,,,no,ENSG00000104783,Intermediate conductance calcium-activated potassium channel protein 4 (SK4) (SKCa 4) (SKCa4) (IKCa1) (IK1) (KCa3.1) (KCa4) (Putative Gardos channel),Cell membrane,placental villous trophoblast;syncytiotrophoblast cell,,0.204,0.517,0.517,2341,6042,1.339,curated,ion_channels,False
KCNQ2,,,no,ENSG00000075043,Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2),Cell membrane,glioblast;Schwann cell precursor,,0.058,0.027,0.058,664,318,-1.091,curated,ion_channels,False
KCNQ4,,,no,ENSG00000117013,Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4),Basal cell membrane,brush cell,,0.427,0.819,0.819,4893,9571,0.939,curated,ion_channels,True
KCNS1,,,no,ENSG00000124134,Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1),Cell membrane,,,0.057,0.021,0.057,655,244,-1.454,curated,ion_channels,True
KCNV1,,,no,ENSG00000164794,Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1),Cell membrane,,,0.197,0.129,0.197,2258,1510,-0.609,curated,ion_channels,True
NEDD4L,,,no,ENSG00000049759,E3 ubiquitin-protein ligase NEDD4-like,Cytoplasm,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;luminal cell of prostate epithelium;retinal pigment epithelial cell;papillary tips cell;lung secretory cell,,6.216,5.657,6.216,71195,66100,-0.136,curated,ion_channels,False
RNASE3,,,no,ENSG00000169397,Eosinophil cationic protein (ECP),Secreted,bone marrow cell;granulocyte monocyte progenitor cell;immature neutrophil;promyelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,,0.107,0.057,0.107,1230,666,-0.914,curated,ion_channels,False
SCNN1A,,,no,ENSG00000111319,Amiloride-sensitive sodium channel subunit alpha (Alpha-NaCH) (Epithelial Na(+) channel subunit alpha) (Alpha-ENaC) (ENaCA) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA),Apical cell membrane,pulmonary ionocyte;small intestine goblet cell;ionocyte;serous cell of epithelium of trachea,,6.872,8.356,8.356,78699,97638,0.282,curated,ion_channels,False
SCNN1G,,,no,ENSG00000166828,Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG),Apical cell membrane,duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;basal epithelial cell of prostatic duct;renal principal cell;pulmonary ionocyte;lung goblet cell;taste receptor cell;epithelial cell of prostate;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;ionocyte;kidney collecting duct cell,,1.926,1.703,1.926,22063,19902,-0.178,curated,ion_channels,False
SGK1,,,no,ENSG00000118515,Serine/threonine-protein kinase Sgk1,Cytoplasm;Nucleus;Endoplasmic reticulum membrane;Cell membrane;Mitochondrion,pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;glomerular capillary endothelial cell;mesothelial cell of pleura;fenestrated cell;glomerular endothelial cell;hematopoietic cell;liver dendritic cell;myeloid leukocyte,,23.268,16.704,23.268,266482,195180,-0.478,curated,ion_channels,False
SRI,,,no,ENSG00000075142,Sorcin (22 kDa protein) (CP-22) (CP22) (V19),Cytoplasm;Sarcoplasmic reticulum membrane,paneth cell of colon;microfold cell of epithelium of small intestine;extravillous trophoblast;professional antigen presenting cell;dendritic cell;transit amplifying cell of colon,,10.882,10.796,10.882,124628,126154,-0.011,curated,ion_channels,False
TPCN1,,,no,ENSG00000186815,Two pore channel protein 1 (Two pore calcium channel protein 1) (Voltage-dependent calcium channel protein TPC1),Lysosome membrane,papillary tips cell,,7.817,9.016,9.016,89527,105349,0.206,curated,ion_channels,True
TRPA1,,,no,ENSG00000104321,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),Cell membrane,,,0.067,0.013,0.067,765,156,-2.323,curated,ion_channels,True
TRPC1,,,no,ENSG00000144935,Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1),Membrane,,,0.539,0.535,0.539,6173,6251,-0.011,curated,ion_channels,True
TRPC3,,,no,ENSG00000138741,Short transient receptor potential channel 3 (TrpC3) (Transient receptor protein 3) (TRP-3) (hTrp-3) (hTrp3),Cell membrane,neuronal brush cell;pericyte;mural cell,,0.071,0.05,0.071,813,587,-0.499,curated,ion_channels,False
TRPC4,,,no,ENSG00000133107,Short transient receptor potential channel 4 (TrpC4) (Trp-related protein 4) (hTrp-4) (hTrp4),Membrane,smooth muscle cell of prostate;alveolar type 2 fibroblast cell;skin fibroblast;renal interstitial pericyte;kidney interstitial cell,,0.536,0.65,0.65,6140,7595,0.278,curated,ion_channels,False
TRPC5,,,no,ENSG00000072315,Short transient receptor potential channel 5 (TrpC5) (Transient receptor protein 5) (TRP-5) (hTRP-5) (hTRP5),Cell membrane,,,0.045,0.021,0.045,511,248,-1.072,curated,ion_channels,True
TRPC6,,,no,ENSG00000137672,Short transient receptor potential channel 6 (TrpC6) (Transient receptor protein 6) (TRP-6),Cell membrane,alveolar type 2 fibroblast cell,,0.289,0.364,0.364,3313,4249,0.33,curated,ion_channels,False
TRPC7,,,no,ENSG00000069018,Short transient receptor potential channel 7 (TrpC7) (Transient receptor protein 7) (TRP-7) (hTRP7),Cell membrane,ganglion interneuron,,0.034,,0.034,393,0,,curated,ion_channels,True
