gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
RAB9A,,,no,True,ENSG00000123595,Ras-related protein Rab-9A,Cell membrane,pancreatic ductal cell,,8.145,5.234,8.145,93288,61156,-0.638
SDC4,,,no,True,ENSG00000124145,Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein),Secreted,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell;serous cell of epithelium of trachea,ANGPTL;MK;PTN;COLLAGEN;FN1;THBS;TENASCIN,16.859,13.533,16.859,193090,158133,-0.317
SEL1L,,,no,True,ENSG00000071537,Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L),Endoplasmic reticulum membrane,pancreatic acinar cell;acinar cell;IgG plasmablast;IgA plasmablast;plasma cell;IgA plasma cell,,51.009,45.792,51.009,584204,535067,-0.156
SERPINA5,,,no,True,ENSG00000188488,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),Secreted,duct epithelial cell;pancreatic ductal cell;intrahepatic cholangiocyte;Sertoli cell;mesothelial cell;kidney distal convoluted tubule epithelial cell;Leydig cell,,22.016,19.428,22.016,252150,227015,-0.18
SERPINI2,,,no,True,ENSG00000114204,Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14),Secreted,pancreatic acinar cell;glandular epithelial cell;acinar cell,,27.597,26.728,27.597,316063,312313,-0.046
SFRP5,,,no,True,ENSG00000120057,Secreted frizzled-related protein 5 (sFRP-5) (Frizzled-related protein 1b) (FRP-1b) (Secreted apoptosis-related protein 3) (SARP-3),Secreted,pancreatic ductal cell;double negative thymocyte,,12.137,14.818,14.818,139005,173150,0.288
SLC3A1,,,no,True,ENSG00000138079,"Amino acid transporter heavy chain SLC3A1 (D2h) (Neutral and basic amino acid transport protein) (NBAT) (Solute carrier family 3 member 1) (b(0,+)-type amino acid transporter-related heavy chain) (rBAT)",Cell membrane,ciliated epithelial cell;epithelial cell of proximal tubule;pancreatic ductal cell;columnar/cuboidal epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell,,7.891,2.336,7.891,90376,27295,-1.756
SNHG8,,,no,True,ENSG00000269893,,,hematopoietic stem cell;pancreatic acinar cell;basophil mast progenitor cell,,1.544,0.378,1.544,17684,4413,-2.032
SOD3,,,no,True,ENSG00000109610,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD),Secreted,pancreatic ductal cell;duodenum glandular cell;kidney loop of Henle thin ascending limb epithelial cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;decidual cell;keratocyte;reticular cell;pulmonary interstitial fibroblast;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;chondrocyte;inflammatory cell,,3.889,2.758,3.889,44537,32231,-0.495
SOX9,,,no,True,ENSG00000125398,Transcription factor SOX-9,Nucleus,intestinal crypt stem cell of large intestine;intrahepatic cholangiocyte;Sertoli cell;duodenum glandular cell;brush cell;intestinal tuft cell;tuft cell of colon;forebrain radial glial cell;chondrocyte;serous cell of epithelium of trachea,,15.268,17.427,17.427,174867,203625,0.191
SPATS2L,,,no,True,ENSG00000196141,SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP),Cytoplasm,pancreatic ductal cell;cholangiocyte;intrahepatic cholangiocyte,,20.301,16.493,20.301,232505,192718,-0.3
SPHK1,,,no,True,ENSG00000176170,Sphingosine kinase 1 (SK 1) (SPK 1),Cytoplasm,pancreatic ductal cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of lymphatic vessel;pancreatic stellate cell;fibroblast of mammary gland;fibroblast of breast,,4.308,5.795,5.795,49341,67714,0.428
TEX11,,,no,True,ENSG00000120498,Testis-expressed protein 11 (Protein ZIP4 homolog) (ZIP4H),Chromosome,pancreatic acinar cell;acinar cell,,0.092,0.018,0.092,1055,205,-2.392
TFPI2,,,no,True,ENSG00000105825,Tissue factor pathway inhibitor 2 (TFPI-2) (Placental protein 5) (PP5),Secreted,pancreatic ductal cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;glomerular capillary endothelial cell;mesothelial cell of pleura;epithelial cell of uterus;basal cell of prostate epithelium;trophoblast giant cell;fibroblast of connective tissue of glandular part of prostate,,10.26,8.219,10.26,117505,96041,-0.32
TMEM97,,,no,True,ENSG00000109084,Sigma intracellular receptor 2 (Sigma-2 receptor) (Sigma2 receptor) (Meningioma-associated protein 30) (Transmembrane protein 97),Nucleus membrane,Sertoli cell;mesothelial cell;pancreatic acinar cell;Leydig cell,,26.078,25.324,26.078,298668,295899,-0.042
TNFRSF12A,,,no,True,ENSG00000006327,Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266),Membrane,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland;mesothelial cell of pleura;pancreatic D cell;epithelial cell of prostate;basal cell of prostate epithelium;mammary gland epithelial cell;epithelial cell of urethra;fibroblast of connective tissue of glandular part of prostate,TWEAK,10.928,7.394,10.928,125158,86399,-0.564
TRPV6,,,no,True,ENSG00000165125,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (CaT-like) (CaT-L) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),Cell membrane,pancreatic ductal cell,,10.835,9.779,10.835,124087,114264,-0.148
VTCN1,,,no,True,ENSG00000134258,V-set domain-containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (B7h.5) (Immune costimulatory protein B7-H4) (Protein B7S1) (T-cell costimulatory molecule B7x),Cell membrane,duct epithelial cell;pancreatic ductal cell;luminal epithelial cell of mammary gland,,5.141,5.264,5.264,58881,61508,0.034
