gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
EIF4EBP1,,,no,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,,32.9,30.067,32.9,376798,351319,-0.13,curated,hypoxia_HIF,False
ELOB,,,no,ENSG00000103363,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),Nucleus,microfold cell of epithelium of small intestine;serous cell of epithelium of bronchus,,0.329,0.354,0.354,3766,4133,0.105,curated,hypoxia_HIF,True
ELOC,,,no,ENSG00000154582,Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1),Nucleus,prostate gland microvascular endothelial cell;mesothelial cell of pleura,,2.98,2.202,2.98,34130,25730,-0.436,curated,hypoxia_HIF,False
ENO2,,,no,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,,0.501,0.665,0.665,5740,7770,0.408,curated,hypoxia_HIF,False
EP300,,,no,ENSG00000100393,Histone acetyltransferase p300 (p300 HAT),Cytoplasm,enucleate erythrocyte,,13.387,15.102,15.102,153325,176464,0.174,curated,hypoxia_HIF,True
EPAS1,,,no,ENSG00000116016,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),Nucleus,respiratory basal cell;basal cell of epithelium of trachea;epithelial cell;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;trophoblast giant cell,,23.16,18.712,23.16,265246,218649,-0.308,curated,hypoxia_HIF,False
EPO,,,no,ENSG00000130427,Erythropoietin (Epoetin),Secreted,,EPO,0.639,0.882,0.882,7319,10308,0.465,curated,hypoxia_HIF,True
ERBB2,,,no,ENSG00000141736,Receptor tyrosine-protein kinase erbB-2,Cell membrane,,EGF;NRG,5.451,6.4,6.4,62435,74778,0.231,curated,hypoxia_HIF,True
ERRFI1,,,no,ENSG00000116285,ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6),Cytoplasm,stem cell of epidermis;cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;epithelial cell of lacrimal sac;mesothelial cell of pleura;hepatocyte;centrilobular region hepatocyte;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of sweat gland,,35.162,24.908,35.162,402708,291039,-0.497,curated,hypoxia_HIF,False
ETS1,,,no,ENSG00000134954,Protein C-ets-1 (p54),Nucleus,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",,1.926,1.752,1.926,22061,20472,-0.137,curated,hypoxia_HIF,False
