gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
NUDT21,,,no,ENSG00000167005,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),Nucleus,T-helper 17 cell,,7.404,5.888,7.404,84802,68800,-0.331,curated,DNA_repair_damage,True
OGG1,,,no,ENSG00000114026,N-glycosylase/DNA lyase,Nucleus,germinal center B cell,,0.461,0.398,0.461,5279,4650,-0.212,curated,DNA_repair_damage,False
ORC6,,,no,ENSG00000091651,Origin recognition complex subunit 6,Nucleus,common dendritic progenitor,,0.367,0.255,0.367,4208,2975,-0.529,curated,DNA_repair_damage,False
PALB2,,,no,ENSG00000083093,Partner and localizer of BRCA2,Nucleus,,,0.641,0.499,0.641,7346,5834,-0.361,curated,DNA_repair_damage,True
PARP1,,,no,ENSG00000143799,Poly [ADP-ribose] polymerase 1 (PARP-1),Chromosome,germinal center B cell;B cell;large pre-B-II cell;fraction A pre-pro B cell,,17.235,18.289,18.289,197395,213698,0.086,curated,DNA_repair_damage,False
PARP3,,,no,ENSG00000041880,Protein mono-ADP-ribosyltransferase PARP3,Nucleus,,,1.206,1.303,1.303,13809,15231,0.112,curated,DNA_repair_damage,True
PCNA,,,no,ENSG00000132646,Proliferating cell nuclear antigen (PCNA) (Cyclin),Nucleus,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;primitive red blood cell;pre-conventional dendritic cell,,8.72,8.294,8.72,99873,96918,-0.072,curated,DNA_repair_damage,False
PDE4B,,,no,ENSG00000184588,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Cytoplasm,lung endothelial cell;endothelial cell;endothelial cell of vascular tree;retinal pigment epithelial cell;inflammatory macrophage;neuron associated cell;neuron associated cell (sensu Vertebrata);oligodendrocyte precursor cell;glial cell;macroglial cell;astrocyte;Bergmann glial cell;oligodendrocyte;retina horizontal cell,,0.647,0.731,0.731,7409,8546,0.177,curated,DNA_repair_damage,False
PMS2,,,no,ENSG00000122512,Mismatch repair endonuclease PMS2,Nucleus,,,1.827,2.346,2.346,20928,27410,0.36,curated,DNA_repair_damage,True
PNP,,,no,ENSG00000198805,Purine nucleoside phosphorylase (PNP),Cytoplasm,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;placental villous trophoblast;reticulocyte;enucleated reticulocyte,,1.725,1.322,1.725,19761,15452,-0.384,curated,DNA_repair_damage,False
