gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
PFKP,,,no,ENSG00000067057,"ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P)",Cytoplasm,corneal endothelial cell,,4.257,4.483,4.483,48752,52378,0.075,curated,glycolysis_glucose_metabolism,False
PGK1,,,no,ENSG00000102144,Phosphoglycerate kinase 1,Cytoplasm,T-helper 17 cell;glycinergic neuron,,9.363,7.998,9.363,107233,93451,-0.227,curated,glycolysis_glucose_metabolism,False
PGM1,,,no,ENSG00000079739,Phosphoglucomutase-1 (PGM 1),Cytoplasm,slow muscle cell;fast muscle cell;white fat cell,,29.775,31.991,31.991,341006,373808,0.104,curated,glycolysis_glucose_metabolism,False
PKM,,,no,ENSG00000067225,Pyruvate kinase PKM,Cytoplasm,fallopian tube secretory epithelial cell;rod bipolar cell;OFF-bipolar cell;retinal cone cell;glycinergic neuron,,31.956,30.91,31.956,365988,361178,-0.048,curated,glycolysis_glucose_metabolism,False
PKP2,,,no,ENSG00000057294,Plakophilin-2,Nucleus,pigmented epithelial cell;non-pigmented ciliary epithelial cell;muscle cell;cardiac muscle cell;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast,,6.306,6.189,6.306,72217,72315,-0.027,curated,glycolysis_glucose_metabolism,False
PMM2,,,no,ENSG00000140650,Phosphomannomutase 2 (PMM 2),Cytoplasm,,,9.443,10.707,10.707,108151,125113,0.181,curated,glycolysis_glucose_metabolism,True
PPFIA4,,,no,ENSG00000143847,Liprin-alpha-4 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-4) (PTPRF-interacting protein alpha-4),Cytoplasm,,,0.08,0.084,0.084,918,985,0.073,curated,glycolysis_glucose_metabolism,True
PPP2CA,,,no,ENSG00000113575,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha),Cytoplasm,,,15.594,14.558,15.594,178595,170102,-0.099,curated,glycolysis_glucose_metabolism,True
PPP2R1A,,,no,ENSG00000105568,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),Cytoplasm,glioblast;Schwann cell precursor;ovarian surface epithelial cell,,12.025,13.083,13.083,137719,152877,0.122,curated,glycolysis_glucose_metabolism,False
PRKACB,,,no,ENSG00000142875,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta),Cytoplasm,,,5.254,5.917,5.917,60170,69137,0.172,curated,glycolysis_glucose_metabolism,True
PRKCA,,,no,ENSG00000154229,Protein kinase C alpha type (PKC-A) (PKC-alpha),Cytoplasm,endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;Bergmann glial cell;Schwann cell;neuron;kidney interstitial fibroblast,,2.789,3.645,3.645,31945,42590,0.386,curated,glycolysis_glucose_metabolism,False
PRPS1,,,no,ENSG00000147224,Ribose-phosphate pyrophosphokinase 1,,,,2.933,2.064,2.933,33597,24120,-0.507,curated,glycolysis_glucose_metabolism,True
PYGB,,,no,ENSG00000100994,"Glycogen phosphorylase, brain form",,pulmonary ionocyte;epithelial cell of sweat gland;ionocyte,,8.83,11.012,11.012,101128,128678,0.319,curated,glycolysis_glucose_metabolism,False
PYGL,,,no,ENSG00000100504,"Glycogen phosphorylase, liver form",Cytoplasm,Hofbauer cell;blood cell;granulocyte;neutrophil;immature neutrophil;myelocyte;granulocytopoietic cell;Mueller cell,,2.178,2.499,2.499,24942,29197,0.198,curated,glycolysis_glucose_metabolism,False
RANBP2,,,no,ENSG00000153201,E3 SUMO-protein ligase RanBP2,Nucleus,enteroendocrine cell of small intestine,,24.764,22.594,24.764,283623,264003,-0.132,curated,glycolysis_glucose_metabolism,True
RBCK1,,,no,ENSG00000125826,RanBP-type and C3HC4-type zinc finger-containing protein 1,,,,6.5,7.581,7.581,74446,88578,0.222,curated,glycolysis_glucose_metabolism,True
SDC2,,,no,ENSG00000169439,Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362),Membrane,renal beta-intercalated cell;pancreatic PP cell;PP cell;endosteal cell;muscle cell;smooth muscle cell;bronchial smooth muscle cell;pancreatic stellate cell;osteoblast;theca cell,ANGPTL;MK;PTN;ADGRA,17.839,16.667,17.839,204308,194750,-0.098,curated,glycolysis_glucose_metabolism,False
SDC3,,,no,ENSG00000162512,Syndecan-3 (SYND3),Cell membrane,,ANGPTL;PTN,1.64,0.798,1.64,18779,9330,-1.038,curated,glycolysis_glucose_metabolism,True
SEC13,,,no,ENSG00000157020,Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein),Cytoplasmic vesicle,plasmablast;macrophage dendritic cell progenitor;osteoblast,,22.519,21.102,22.519,257908,246568,-0.094,curated,glycolysis_glucose_metabolism,False
