gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
CXCL10,ENSG00000169245,8,1,General;General;Pancreas,Endothelial cells;Macrophages;Ductal cells
CXCL2,ENSG00000081041,8,1,Breast;Colon;Colon;Colon;General;General;General;Liver;Liver;Liver;Lung;Pancreas,Glandular cells;Distal enterocytes;Goblet cells;Undifferentiated cells;Endothelial cells;Fibroblasts;Macrophages;Cholangiocytes;Stellate cells;Kupffer cells;Alveolar Type II;Ductal cells
CXCL6,ENSG00000124875,8,1,General;Liver;Lung;Pancreas,Fibroblasts;Cholangiocytes;Club cells;Ductal cells
CXCL9,ENSG00000138755,8,1,General,Macrophages
CXCR4,ENSG00000121966,8,1,General;General;General;General;General;General,B cells;Endothelial cells;Lymphocytes;Macrophages;Monocytes;T cells
CYP1A1,ENSG00000140465,8,1,Breast,Adipocytes
CYP2A7,ENSG00000198077,8,1,Liver,Hepatocytes
CYP2B6,ENSG00000197408,8,1,Liver,Hepatocytes
CYP2F1,ENSG00000197446,8,1,Lung,Club cells
CYP3A4,ENSG00000160868,4,1,Liver,Hepatocytes
CYP4B1,ENSG00000142973,8,1,Breast;General;General;Lung;Lung,Adipocytes;Endothelial cells;Fibroblasts;Alveolar Type I;Ciliated cells
CYTIP,ENSG00000115165,8,1,Breast;Breast;General;General;General;General;Skin,Glandular cells;Dendritic cells;B cells;Macrophages;Monocytes;T cells;Langerhans cells
DERL3,ENSG00000099958,8,1,General;General;Skin,B cells;T cells;Melanocytes
DES,ENSG00000175084,4,1,General;Heart,Smooth muscle cells;Cardiomyocytes
DIRAS3,ENSG00000162595,8,1,General,Fibroblasts
DMBT1,ENSG00000187908,4,1,Colon;Colon;Lung,Distal enterocytes;Undifferentiated cells;Alveolar Type II
DNAAF1,ENSG00000154099,8,1,Lung;Skin,Ciliated cells;Melanocytes
DNASE1L3,ENSG00000163687,8,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
DPEP1,ENSG00000015413,3,1,General;Kidney;Pancreas,Fibroblasts;Proximal tubular cells;Exocrine glandular cells
DPT,ENSG00000143196,8,1,General,Fibroblasts
DST,ENSG00000151914,8,1,Breast;Colon;Colon;General;General;General;Heart;Liver;Lung;Lung;Pancreas;Pancreas;Skin,Myoepithelial cells;Distal enterocytes;Paneth cells;Endothelial cells;Fibroblasts;Smooth muscle cells;Cardiomyocytes;Cholangiocytes;Alveolar Type I;Club cells;Ductal cells;Endocrine cells;Basal keratinocytes
DUSP2,ENSG00000158050,6,1,Breast;General;General;General;Skin,Dendritic cells;B cells;Granulocytes;T cells;Langerhans cells
ECSCR,ENSG00000249751,8,1,General,Endothelial cells
EDN1,ENSG00000078401,8,1,Breast;Colon;Colon;General;Liver;Lung;Skin,Glandular cells;Distal enterocytes;Undifferentiated cells;Endothelial cells;Stellate cells;Alveolar Type I;Basal keratinocytes
EDNRB,ENSG00000136160,8,1,Breast;General;General;General;Liver;Skin,Adipocytes;Endothelial cells;Fibroblasts;Smooth muscle cells;Stellate cells;Melanocytes
EGFL7,ENSG00000172889,3,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
EGFR,ENSG00000146648,4,1,General;General;Lung,Fibroblasts;Smooth muscle cells;Alveolar Type I
EHF,ENSG00000135373,8,1,Breast;Colon;Colon;Colon;Kidney;Lung;Lung;Pancreas;Pancreas;Skin,Glandular cells;Distal enterocytes;Goblet cells;Undifferentiated cells;Collecting duct cells;Club cells;Ciliated cells;Ductal cells;Endocrine cells;Suprabasal keratinocytes
ELF5,ENSG00000135374,8,1,Breast;Kidney,Glandular cells;Collecting duct cells
EPCAM,ENSG00000119888,4,1,Breast;Colon;Colon;Colon;Colon;General;Kidney;Kidney;Liver;Lung;Lung;Lung;Pancreas,Glandular cells;Distal enterocytes;Goblet cells;Paneth cells;Undifferentiated cells;Epithelial cells;Collecting duct cells;Proximal tubular cells;Cholangiocytes;Alveolar Type I;Club cells;Ciliated cells;Ductal cells
ERBB2,ENSG00000141736,3,1,Breast;Colon;Kidney,Glandular cells;Distal enterocytes;Collecting duct cells
