gene,Ensemble ID,Num_Probesets,Codewords,Annotation
IGHG1,ENSG00000211896,3,1,Plasma Cell
IGHG2,ENSG00000211893,7,1,Plasma Cell
IGHG3,ENSG00000211897,7,1,Plasma Cell
IGHG4,ENSG00000211892,2,1,Plasmablast
IGHGP,ENSG00000253755,4,1,Plasma Cell
IGHM,ENSG00000211899,7,1,B Cell;Naive;Plasma Cell;Plasmablast
IGKC,ENSG00000211592,2,1,Plasma Cell;Plasmablast
IGLC3,ENSG00000211679,1,1,Plasmablast
IL10,ENSG00000136634,8,1,Immune Cell Regulation
IL10RA,ENSG00000110324,8,1,Immune Cell Regulation
IL12B,ENSG00000113302,10,1,Immune Cell Regulation
IL12RB2,ENSG00000081985,8,1,Immune Cell Regulation
IL13,ENSG00000169194,8,1,Immune Cell Regulation;ILC2
IL13RA2,ENSG00000123496,8,1,Immune Cell Regulation
IL15,ENSG00000164136,8,1,Immune Cell Regulation
IL15RA,ENSG00000134470,4,1,Immune Cell Regulation
IL18,ENSG00000150782,8,1,Immune Checkpoint
IL1A,ENSG00000115008,8,1,Immune Cell Regulation
IL1B,ENSG00000125538,4,1,Immune Cell Regulation;Epithelial Cell
IL1R1,ENSG00000115594,8,1,Immune Cell Regulation
IL1RAP,ENSG00000196083,8,1,Immune Cell Regulation
IL2,ENSG00000109471,8,1,T Cell;Activation;Proliferation
IL22RA1,ENSG00000142677,8,1,Immune Cell Regulation;T Cell
IL22RA2,ENSG00000164485,8,1,Immune Cell Regulation;T Cell
IL23A,ENSG00000110944,8,1,Dendritic Cell;Tissue Repair
IL2RA,ENSG00000134460,8,1,T Cell;Regulatory
IL2RB,ENSG00000100385,8,1,Immune Cell Regulation;T Cell
IL2RG,ENSG00000147168,8,1,Immune Cell Regulation;T Cell
IL4,ENSG00000113520,3,1,Macrophage;Neutrophil;Polarization;T Cell;Mast Cell;Basophil
IL4R,ENSG00000077238,8,1,T Cell;Activation
IL5,ENSG00000113525,8,1,Innate Lymphoid Cell;ILC2
IL6,ENSG00000136244,8,1,Immune Cell Regulation;Neutrophil
IL7R,ENSG00000168685,8,1,T Cell;Survival;Memory
IQGAP2,ENSG00000145703,8,1,Natural Killer Cell
IRF1,ENSG00000125347,4,1,
IRF2,ENSG00000168310,8,1,
IRF3,ENSG00000126456,4,1,
IRF4,ENSG00000137265,8,1,T Cell;Regulatory
IRF5,ENSG00000128604,8,1,
IRF8,ENSG00000140968,7,1,Dendritic Cell;Plasmacytoid
ISG15,ENSG00000187608,2,1,
ITGA1,ENSG00000213949,8,1,T Cell;Resident Memory
ITGAE,ENSG00000083457,8,1,Dendritic Cell
ITGAM,ENSG00000169896,8,1,Monocyte;Granulocyte;Macrophage;Natural Killer Cell;T Cell
ITGAX,ENSG00000140678,8,1,
JAK1,ENSG00000162434,8,1,T Cell
JAK2,ENSG00000096968,8,1,T Cell
JAK3,ENSG00000105639,8,1,
JCHAIN,ENSG00000132465,8,1,Plasma Cell;Plasmablast
JUN,ENSG00000177606,2,1,Proto-Oncogene
JUNB,ENSG00000171223,2,1,Proto-Oncogene
