gene,Ensembl_ID,Num_Probesets,Codewords,Annotation
SLC2A1,ENSG00000117394,4,1,Cancer
SLC7A11,ENSG00000151012,8,1,Cancer
SLIT3,ENSG00000184347,8,1,Smooth muscle cell
SMIM24,ENSG00000095932,8,1,Ionocyte
SOX2,ENSG00000181449,8,1,Cancer
SOX9,ENSG00000125398,8,1,Cancer
SPDEF,ENSG00000124664,6,1,Goblet cell
SPIB,ENSG00000269404,8,1,Plasmacytoid dendritic cell
STAT4,ENSG00000138378,8,1,NK cell
STC1,ENSG00000159167,8,1,Capillary cell
STEAP4,ENSG00000127954,8,1,Club cell
SVEP1,ENSG00000165124,8,1,Fibroblast
SYK,ENSG00000165025,8,1,Plasmacytoid dendritic cell
TACSTD2,ENSG00000184292,4,1,Alveolar type 1 cell
TC2N,ENSG00000165929,8,1,Ciliated cell
TCL1A,ENSG00000100721,7,1,B cell
THBS2,ENSG00000186340,8,1,Lipofibroblast
THY1,ENSG00000154096,8,1,Smooth muscle cell
TM4SF18,ENSG00000163762,8,1,Endothelial cell
TM4SF4,ENSG00000169903,8,1,Neuroendocrine cell
TMC5,ENSG00000103534,8,1,Ciliated cell
TMEM100,ENSG00000166292,8,1,Capillary cell
TMPRSS2,ENSG00000184012,8,1,COVID-19
TNFRSF13B,ENSG00000240505,5,1,Plasma cell
TNFRSF13C,ENSG00000159958,8,1,B cell
TNFRSF17,ENSG00000048462,8,1,Plasma cell
TNFRSF18,ENSG00000186891,1,1,NKT cell
TOP2A,ENSG00000131747,8,1,Proliferation
TP63,ENSG00000073282,4,1,Basal cell
TP73,ENSG00000078900,8,1,Ciliated cell
TREM2,ENSG00000095970,7,1,Dendritic cell
TRPC6,ENSG00000137672,8,1,Pericyte
TSPAN8,ENSG00000127324,4,1,Goblet cell
UBE2C,ENSG00000175063,4,1,NK cell
UPK1B,ENSG00000114638,8,1,Goblet cell
UPK3B,ENSG00000243566,4,1,Mesothelial cell
VSIG4,ENSG00000155659,8,1,Macrophage
VWF,ENSG00000110799,8,1,Endothelial cell
WFS1,ENSG00000109501,8,1,Alveolar type 1 cell
WNT2,ENSG00000105989,8,1,Fibroblast
WT1,ENSG00000184937,8,1,Mesothelial cell
