gene,Ensembl ID,Num_Probesets,Codewords,Annotation
RAB3B,ENSG00000169213,8,1,enteroendocrine cell of colon
RAP1GAP,ENSG00000076864,8,1,colon goblet cell
RARRES2,ENSG00000106538,4,1,stem cell
RBP4,ENSG00000138207,8,1,enteroendocrine cell of colon
REG4,ENSG00000134193,8,1,colon goblet cell
REP15,ENSG00000174236,8,1,colon goblet cell
RETNLB,ENSG00000163515,7,1,colon goblet cell
RFX6,ENSG00000185002,8,1,enteroendocrine cell of colon
RGMB,ENSG00000174136,8,1,stem cell
RGS13,ENSG00000127074,8,1,tuft cell
RHOV,ENSG00000104140,6,1,paneth cell of colon; BEST4+ epithelial cell
RIIAD1,ENSG00000178796,8,1,enteroendocrine cell of colon
RNASE1,ENSG00000129538,6,1,colon goblet cell; macrophage; secretory progenitor cell
RNF43,ENSG00000108375,7,1,stem cell
ROBO1,ENSG00000169855,7,1,colon cancer
ROBO2,ENSG00000185008,8,1,colon cancer
RORA,ENSG00000069667,8,1,T-helper 17 cell
RORC,ENSG00000143365,8,1,innate lymphoid cell
RPS4Y1,ENSG00000129824,8,1,stem cell
RRM2,ENSG00000171848,8,1,transit amplifying cell of colon; secretory progenitor cell
RUNX1T1,ENSG00000079102,8,1,enteroendocrine cell of colon
S100A12,ENSG00000163221,5,1,monocyte
S100P,ENSG00000163993,5,1,paneth cell of colon
SCG2,ENSG00000171951,4,1,enteroendocrine cell of colon
SCG3,ENSG00000104112,8,1,enteroendocrine cell of colon
SCG5,ENSG00000166922,8,1,enteroendocrine cell of colon
SCGN,ENSG00000079689,8,1,enteroendocrine cell of colon
SCNN1A,ENSG00000111319,8,1,colon goblet cell
SDCBP2,ENSG00000125775,8,1,paneth cell of colon; BEST4+ epithelial cell
SEC11C,ENSG00000166562,7,1,enteroendocrine cell of colon; IgA plasma cell
SELENBP1,ENSG00000143416,8,1,absorptive cell
SELENOK,ENSG00000113811,7,1,colon goblet cell
SELENOM,ENSG00000198832,3,1,colon goblet cell
SELL,ENSG00000188404,8,1,memory T cell
SERPINA1,ENSG00000197249,8,1,colon goblet cell; monocyte
SFXN1,ENSG00000164466,8,1,T follicular helper cell
SH2D6,ENSG00000152292,4,1,tuft cell
SH2D7,ENSG00000183476,8,1,tuft cell
SIT1,ENSG00000137078,5,1,"CD8-positive, alpha-beta T cell"
SLC12A2,ENSG00000064651,4,1,stem cell
SLC18A2,ENSG00000165646,8,1,mast cell
SLC26A2,ENSG00000155850,7,1,enterocyte of colon; absorptive cell
SLC26A3,ENSG00000091138,8,1,enterocyte of colon; absorptive cell
SLC29A4,ENSG00000164638,8,1,enteroendocrine cell of colon
SLC6A8,ENSG00000130821,8,1,enterocyte of colon
SLPI,ENSG00000124107,5,1,paneth cell of colon
SMIM14,ENSG00000163683,8,1,colon goblet cell; memory B cell
SMIM6,ENSG00000259120,6,1,enteroendocrine cell of colon
SMOC2,ENSG00000112562,8,1,stem cell
SOCS3,ENSG00000184557,8,1,T follicular helper cell
SOX9,ENSG00000125398,8,1,stem cell
SPDEF,ENSG00000124664,6,1,colon goblet cell
SPIB,ENSG00000269404,8,1,paneth cell of colon; BEST4+ epithelial cell
SPOCK2,ENSG00000107742,8,1,T-helper 17 cell
STMN1,ENSG00000117632,8,1,transit amplifying cell of colon; dendritic cell; secretory progenitor cell
STXBP6,ENSG00000168952,7,1,stem cell
SULT1B1,ENSG00000173597,8,1,absorptive cell
SVOPL,ENSG00000157703,8,1,mast cell
TBC1D4,ENSG00000136111,8,1,regulatory T cell
TCL1A,ENSG00000100721,7,1,follicular B cell
TFF1,ENSG00000160182,3,1,colon goblet cell
THBS1,ENSG00000137801,4,1,monocyte
TIGIT,ENSG00000181847,8,1,regulatory T cell
TIMP3,ENSG00000100234,8,1,mast cell
TK1,ENSG00000167900,5,1,transit amplifying cell of colon; secretory progenitor cell
TKT,ENSG00000163931,8,1,progenitor cell
TMEM61,ENSG00000143001,2,1,colon goblet cell
TMIGD1,ENSG00000182271,8,1,enterocyte of colon
TNFAIP3,ENSG00000118503,7,1,T-helper 17 cell
TNFRSF17,ENSG00000048462,8,1,IgA plasma cell
TNFRSF25,ENSG00000215788,6,1,innate lymphoid cell
TNFSF13B,ENSG00000102524,8,1,innate lymphoid cell
TRAC,ENSG00000277734,8,1,"CD4-positive, alpha-beta T cell"
TRAT1,ENSG00000163519,8,1,"CD4-positive, alpha-beta T cell"
TRBC1,ENSG00000211751,4,1,memory T cell
TRBC2,ENSG00000211772,4,1,regulatory T cell
