gene,HALLMARK,KEGG,REACTOME
VDAC1,Myc Targets V1;Oxidative Phosphorylation,Alzheimer disease;Amyotrophic lateral sclerosis;Calcium signaling pathway;Cellular senescence;Cholesterol metabolism;Diabetic cardiomyopathy;Human T-cell leukemia virus 1 infection;Huntington disease;Influenza A;NOD-like receptor signaling pathway;Necroptosis;Neutrophil extracellular trap formation;Parkinson disease;Pathways of neurodegeneration;Prion disease;Shigellosis;Spinocerebellar ataxia;cGMP-PKG signaling pathway,Autophagy R-HSA-9612973;Deubiquitination R-HSA-5688426;Macroautophagy R-HSA-1632852;Metabolism R-HSA-1430728;Metabolism Of Proteins R-HSA-392499;Mitochondrial Calcium Ion Transport R-HSA-8949215;Mitochondrial Protein Import R-HSA-1268020;Mitophagy R-HSA-5205647;PINK1-PRKN Mediated Mitophagy R-HSA-5205685;Post-translational Protein Modification R-HSA-597592;Protein Localization R-HSA-9609507;Pyruvate Metabolism R-HSA-70268;Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406;Selective Autophagy R-HSA-9663891;Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517;Transport Of Small Molecules R-HSA-382551;Ub-specific Processing Proteases R-HSA-5689880
VDR,p53 Pathway;Pancreas Beta Cells,"Chemical carcinogenesis;Endocrine and other factor-regulated calcium reabsorption;Mineral absorption;Parathyroid hormone synthesis, secretion and action;Tuberculosis",Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Proteins R-HSA-392499;Metabolism Of Steroids R-HSA-8957322;Nuclear Receptor Transcription Pathway R-HSA-383280;Post-translational Protein Modification R-HSA-597592;RNA Polymerase II Transcription R-HSA-73857;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Intracellular Receptors R-HSA-4090294;Vitamin D (Calciferol) Metabolism R-HSA-196791
VEGFB,Adipogenesis,AGE-RAGE signaling pathway in diabetic complications;Calcium signaling pathway;Focal adhesion;MAPK signaling pathway;PI3K-Akt signaling pathway;Pathways in cancer;Rap1 signaling pathway;Ras signaling pathway;Relaxin signaling pathway,"Hemostasis R-HSA-109582;Platelet Activation, Signaling And Aggregation R-HSA-76002;Platelet Degranulation R-HSA-114608;Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005;Signal Transduction R-HSA-162582;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By VEGF R-HSA-194138;VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399"
VHL,Hypoxia,HIF-1 signaling pathway;Pathways in cancer;Renal cell carcinoma;Ubiquitin mediated proteolysis,"Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Cellular Response To Hypoxia R-HSA-1234174;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Disease R-HSA-1643685;Early SARS-CoV-2 Infection Events R-HSA-9772572;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176;Post-translational Protein Modification R-HSA-597592;RHOBTB3 ATPase Cycle R-HSA-9706019;SARS-CoV Infections R-HSA-9679506;SARS-CoV-1 Genome Replication And Transcription R-HSA-9679514;SARS-CoV-1 Infection R-HSA-9678108;SARS-CoV-2 Genome Replication And Transcription R-HSA-9694682;SARS-CoV-2 Infection R-HSA-9694516;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142;Signal Transduction R-HSA-162582;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
VIPR1,Myogenesis,Neuroactive ligand-receptor interaction,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class B/2 (Secretin Family Receptors) R-HSA-373080;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Glucagon-type Ligand Receptors R-HSA-420092;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
VLDLR,Hypoxia;Hedgehog Signaling;mTORC1 Signaling;Glycolysis;UV Response Dn,Lipid and atherosclerosis;Spinocerebellar ataxia,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;Nervous System Development R-HSA-9675108;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Reelin Signaling Pathway R-HSA-8866376;Transport Of Small Molecules R-HSA-382551;VLDL Clearance R-HSA-8964046;VLDLR Internalisation And Degradation R-HSA-8866427"
VPS13A,,,
VPS13B,,,
VPS35,,Endocytosis,Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;WNT Ligand Biogenesis And Trafficking R-HSA-3238698
VPS37B,DNA Repair,Endocytosis,Assembly Of HIV Virion R-HSA-175474;Autophagy R-HSA-9612973;Budding And Maturation Of HIV Virion R-HSA-162588;Disease R-HSA-1643685;Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729;HCMV Infection R-HSA-9609646;HCMV Late Events R-HSA-9610379;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Late Phase Of HIV Life Cycle R-HSA-162599;Late Endosomal Microautophagy R-HSA-9615710;Membrane Trafficking R-HSA-199991;Membrane Binding And Targetting Of GAG Proteins R-HSA-174490;Vesicle-mediated Transport R-HSA-5653656
VPS4A,,Endocytosis;Necroptosis,"Budding And Maturation Of HIV Virion R-HSA-162588;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Disease R-HSA-1643685;Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729;HCMV Infection R-HSA-9609646;HCMV Late Events R-HSA-9610379;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Late Phase Of HIV Life Cycle R-HSA-162599;M Phase R-HSA-68886;Membrane Trafficking R-HSA-199991;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Nuclear Envelope (NE) Reassembly R-HSA-2995410;Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328;Vesicle-mediated Transport R-HSA-5653656"
VPS50,KRAS Signaling Dn,,
VSNL1,,,
VSTM2B,,,
VWA8,,,
WAPL,,,"Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cohesin Loading Onto Chromatin R-HSA-2470946;Establishment Of Sister Chromatid Cohesion R-HSA-2468052;M Phase R-HSA-68886;Mitotic Anaphase R-HSA-68882;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Telophase/Cytokinesis R-HSA-68884;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;S Phase R-HSA-69242;Separation Of Sister Chromatids R-HSA-2467813"
WARS,,,
WASHC2A,,Endocytosis,
WASHC3,,Endocytosis,
WBP2,,,
WDFY3,,,
WDHD1,,,
WDR12,,,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226;Metabolism Of RNA R-HSA-8953854;rRNA Processing R-HSA-72312;rRNA Processing In Nucleus And Cytosol R-HSA-8868773
WDR26,,,
WDR37,UV Response Dn,,
WDR5,,Cushing syndrome,Activation Of HOX Genes During Differentiation R-HSA-5619507;Chromatin Modifying Enzymes R-HSA-3247509;Developmental Biology R-HSA-1266738;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HATs Acetylate Histones R-HSA-3214847;Metabolism Of Proteins R-HSA-392499;Neddylation R-HSA-8951664;PKMTs Methylate Histone Lysines R-HSA-3214841;Post-translational Protein Modification R-HSA-597592;RMTs Methylate Histone Arginines R-HSA-3214858;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Transcriptional Regulation By RUNX1 R-HSA-8878171
WDR55,,,
WDR77,,,Chromatin Modifying Enzymes R-HSA-3247509;Metabolism Of RNA R-HSA-8953854;Metabolism Of Non-Coding RNA R-HSA-194441;RMTs Methylate Histone Arginines R-HSA-3214858
WDR81,,,"CDC42 GTPase Cycle R-HSA-9013148;RHO GTPase Cycle R-HSA-9012999;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
WDR90,E2F Targets,,
WEE2,,Cell cycle;Human immunodeficiency virus 1 infection,
WFS1,Estrogen Response Early;Estrogen Response Late;Unfolded Protein Response,Protein processing in endoplasmic reticulum,Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;IRE1alpha Activates Chaperones R-HSA-381070;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Post-translational Protein Phosphorylation R-HSA-8957275;Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426;Unfolded Protein Response (UPR) R-HSA-381119;XBP1(S) Activates Chaperone Genes R-HSA-381038
WRAP73,p53 Pathway,,
WRN,G2-M Checkpoint,,Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Chromosome Maintenance R-HSA-73886;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192;Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190;Disease R-HSA-1643685;Diseases Of DNA Repair R-HSA-9675135;Extension Of Telomeres R-HSA-180786;G2/M Checkpoints R-HSA-69481;G2/M DNA Damage Checkpoint R-HSA-69473;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;HDR Thru Single Strand Annealing (SSA) R-HSA-5685938;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Impaired BRCA2 Binding To PALB2 R-HSA-9709603;Impaired BRCA2 Binding To RAD51 R-HSA-9709570;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616;Processing Of DNA Double-Strand Break Ends R-HSA-5693607;Processive Synthesis On C-strand Of Telomere R-HSA-174414;RNA Polymerase II Transcription R-HSA-73857;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756;Removal Of Flap Intermediate From C-strand R-HSA-174437;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214;Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417;Telomere Maintenance R-HSA-157579;Transcriptional Regulation By TP53 R-HSA-3700989
WWP1,p53 Pathway,Endocytosis;Ubiquitin mediated proteolysis,Adaptive Immune System R-HSA-1280218;Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168;Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169;Downregulation Of ERBB4 Signaling R-HSA-1253288;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Immune System R-HSA-168256;Ion Channel Transport R-HSA-983712;RNA Polymerase II Transcription R-HSA-73857;Regulation Of RUNX2 Expression And Activity R-HSA-8939902;Signal Transduction R-HSA-162582;Signaling By ERBB4 R-HSA-1236394;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Stimuli-sensing Channels R-HSA-2672351;Transcriptional Regulation By RUNX2 R-HSA-8878166;Transport Of Small Molecules R-HSA-382551
WWP2,,Ubiquitin mediated proteolysis,"Intracellular Signaling By Second Messengers R-HSA-9006925;NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;RHO GTPase Cycle R-HSA-9012999;RHOJ GTPase Cycle R-HSA-9013409;RHOQ GTPase Cycle R-HSA-9013406;RHOU GTPase Cycle R-HSA-9013420;Regulation Of PTEN Stability And Activity R-HSA-8948751;Signal Transduction R-HSA-162582;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH3 R-HSA-9012852;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
XIRP1,,,
XPA,,Nucleotide excision repair,DNA Repair R-HSA-73894;Dual Incision In GG-NER R-HSA-5696400;Dual Incision In TC-NER R-HSA-6782135;Formation Of Incision Complex In GG-NER R-HSA-5696395;Formation Of TC-NER Pre-Incision Complex R-HSA-6781823;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Nucleotide Excision Repair R-HSA-5696398;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827
XPC,DNA Repair;p53 Pathway,Nucleotide excision repair,DNA Damage Recognition In GG-NER R-HSA-5696394;DNA Repair R-HSA-73894;Formation Of Incision Complex In GG-NER R-HSA-5696395;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;Metabolism Of Proteins R-HSA-392499;Nucleotide Excision Repair R-HSA-5696398;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214
XPNPEP1,Hypoxia;Complement,,
XPNPEP3,,,
XPO1,G2-M Checkpoint;E2F Targets;Myc Targets V1,Human T-cell leukemia virus 1 infection;Influenza A;RNA transport;Ribosome biogenesis in eukaryotes,"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444;Cell Cycle Checkpoints R-HSA-69620;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Disease R-HSA-1643685;Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788;EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274;Extra-nuclear Estrogen Signaling R-HSA-9009391;G2/M Transition R-HSA-69275;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Heme Signaling R-HSA-9707616;Host Interactions Of HIV Factors R-HSA-162909;HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520;Infectious Disease R-HSA-5663205;Influenza Infection R-HSA-168255;Interactions Of Rev With Host Cellular Proteins R-HSA-177243;Late Phase Of HIV Life Cycle R-HSA-162599;M Phase R-HSA-68886;MAPK Family Signaling Cascades R-HSA-5683057;MAPK6/MAPK4 Signaling R-HSA-5687128;Metabolism Of RNA R-HSA-8953854;Mitotic Anaphase R-HSA-68882;Mitotic G2-G2/M Phases R-HSA-453274;Mitotic Metaphase And Anaphase R-HSA-2555396;Mitotic Prometaphase R-HSA-68877;Mitotic Spindle Checkpoint R-HSA-69618;NEP/NS2 Interacts With Cellular Export Machinery R-HSA-168333;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate Formins R-HSA-5663220;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;Resolution Of Sister Chromatid Cohesion R-HSA-2500257;Rev-mediated Nuclear Export Of HIV RNA R-HSA-165054;Separation Of Sister Chromatids R-HSA-2467813;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Signaling By TGF-beta Receptor Complex R-HSA-170834;Signaling By TGFB Family Members R-HSA-9006936;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789"
XPO7,heme Metabolism,,
XPR1,,,
XRCC1,,Base excision repair,APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702;Base Excision Repair R-HSA-73884;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397;Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210;Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399;HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939;Homology Directed Repair R-HSA-5693538;Nucleotide Excision Repair R-HSA-5696398;Resolution Of Abasic Sites (AP Sites) R-HSA-73933;Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827
XRCC2,,Homologous recombination,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192;Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190;Disease R-HSA-1643685;Diseases Of DNA Repair R-HSA-9675135;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Impaired BRCA2 Binding To PALB2 R-HSA-9709603;Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554
XRCC3,Estrogen Response Late,Homologous recombination,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;HDR Thru Homologous Recombination (HRR) R-HSA-5685942;HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567;Homologous DNA Pairing And Strand Exchange R-HSA-5693579;Homology Directed Repair R-HSA-5693538;Resolution Of D-Loop Structures R-HSA-5693537;Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568;Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554
XRCC4,,Non-homologous end-joining,2-LTR Circle Formation R-HSA-164843;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Integration Of Provirus R-HSA-162592;Metabolism Of Proteins R-HSA-392499;Nonhomologous End-Joining (NHEJ) R-HSA-5693571;Post-translational Protein Modification R-HSA-597592;SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232;SUMOylation R-HSA-2990846;SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214
XRCC6,Androgen Response;E2F Targets;Myc Targets V1,Non-homologous end-joining,2-LTR Circle Formation R-HSA-164843;Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;IRF3-mediated Induction Of Type I IFN R-HSA-3270619;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Integration Of Provirus R-HSA-162592;Neutrophil Degranulation R-HSA-6798695;Nonhomologous End-Joining (NHEJ) R-HSA-5693571;STING Mediated Induction Of Host Immune Responses R-HSA-1834941
YES1,,Adherens junction,"Adaptive Immune System R-HSA-1280218;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Axon Guidance R-HSA-422475;CD28 Co-Stimulation R-HSA-389356;CTLA4 Inhibitory Signaling R-HSA-389513;Cell Surface Interactions At Vascular Wall R-HSA-202733;Costimulation By CD28 Family R-HSA-388841;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;EPHA-mediated Growth Cone Collapse R-HSA-3928663;EPHB-mediated Forward Signaling R-HSA-3928662;FCGR Activation R-HSA-2029481;FCGR3A-mediated IL10 Synthesis R-HSA-9664323;FCGR3A-mediated Phagocytosis R-HSA-9664422;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Leishmania Infection R-HSA-9658195;Nervous System Development R-HSA-9675108;PECAM1 Interactions R-HSA-210990;RNA Polymerase II Transcription R-HSA-73857;RUNX2 Regulates Bone Development R-HSA-8941326;RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973;Regulation Of KIT Signaling R-HSA-1433559;Regulation Of Signaling By CBL R-HSA-912631;Signal Transduction R-HSA-162582;Signaling By ERBB2 R-HSA-1227986;Signaling By Interleukins R-HSA-449147;Signaling By KIT In Disease R-HSA-9669938;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By SCF-KIT R-HSA-1433557;Transcriptional Regulation By RUNX2 R-HSA-8878166"
