gene,HALLMARK,KEGG,REACTOME
ADRA1A,,AMPK signaling pathway;Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA1B,Apical Junction,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA1D,,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA2B,Complement,Neuroactive ligand-receptor interaction;cGMP-PKG signaling pathway,"Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;G Alpha (Z) Signaling Events R-HSA-418597;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Hemostasis R-HSA-109582;Platelet Aggregation (Plug Formation) R-HSA-76009;Platelet Activation, Signaling And Aggregation R-HSA-76002;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790"
ADRB1,,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Chemical carcinogenesis;Dilated cardiomyopathy;Gap junction;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion;cAMP signaling pathway;cGMP-PKG signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRB3,,Calcium signaling pathway;Chemical carcinogenesis;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion;Thermogenesis;cGMP-PKG signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADTRP,,,
AFF2,,,
AFG1L,,,
AFM,,,
AGAP3,,Endocytosis,
AGMAT,,Arginine and proline metabolism,Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Polyamines R-HSA-351202
