gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
BTN3A1,,,,,,Adaptive Immune System R-HSA-1280218;Butyrophilin (BTN) Family Interactions R-HSA-8851680;Immune System R-HSA-168256
BTNL2,,,,,,Adaptive Immune System R-HSA-1280218;Butyrophilin (BTN) Family Interactions R-HSA-8851680;Immune System R-HSA-168256
C1QL3,,,,,,
C1QTNF6,,,,,,
C1QTNF9,,,,,,
C1RL,,,,,,
CABCOCO1,,,,,,
CABP4,,,,,,
CABYR,,,,,,
CACUL1,,,,,,
CADM4,,,,,,
CALR3,,,,,,
CAMSAP2,,,,,,
CARF,,,,,,
CASC8,,,,,,
CASS4,,,,,,
CATSPER2,,,,,,Fertilization R-HSA-1187000;Reproduction R-HSA-1474165;Sperm Motility And Taxes R-HSA-1300642
CBARP,,,,,,
CBLIF,,,,,Vitamin digestion and absorption,"Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Defects In Cobalamin (B12) Metabolism R-HSA-3296469;Defects In Vitamin And Cofactor Metabolism R-HSA-3296482;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881"
CBLN3,,,,,,
CBSL,,,,,"Cysteine and methionine metabolism;Glycine, serine and threonine metabolism",
CBWD2,,,,,,
CBX7,,,,,,
CC2D1A,,,,,,
CCAR2,,,,,,Cellular Response To Heat Stress R-HSA-3371556;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453
CCAT2,,,,,,
CCDC103,,,,,,
CCDC113,,,,,,
CCDC124,,,,,,
CCDC137,,,,,,
CCDC27,,,,,,
CCDC33,,,,,,
CCDC43,,,,,,
CCDC51,,,,,,
CCDC61,,,,,,
CCDC62,,,,,,
CCDC7,,,,,,
CCDC77,,,,,,
CCDC9,,,,,,
CCDC91,,,,,,
CCNY,,,,,,
CD101,,,,,,Adaptive Immune System R-HSA-1280218;Generation Of Second Messenger Molecules R-HSA-202433;Immune System R-HSA-168256;TCR Signaling R-HSA-202403
CD180,,,,,,Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll-like Receptor Cascades R-HSA-168898
CD2BP2,,,,,,Metabolism Of RNA R-HSA-8953854;Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203;mRNA Splicing - Major Pathway R-HSA-72163;mRNA Splicing R-HSA-72172
CD300C,,,,,,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933
CD3EAP,,,,,,
CD5L,,,,,,
CDAN1,,,,,,
CDC123,,,,,,
CDC42BPG,,,,,,
CDCA2,,,,,,
CDCA7L,,,,,,
CDH22,,,,,,
CDHR1,,,,,,
CDK10,,,,,,
CDK16,,,,,,
CDK18,,,,,,
CDK3,,,,,,
CDK5RAP1,,,,,,
CDKL1,,,,,,
CDKL3,,,,,,
CDR2L,,,,,,
CELSR3,,,,,,
CENPB,,,,,,
CEP112,,,,,,
CEP128,,,,,,
CEP170,,,,,,
CEP19,,,,,,
CEP44,,,,,,
CEP85,,,,,,
CFAP46,,,,,,
CFC1,,,,,,Developmental Biology R-HSA-1266738;Regulation Of Signaling By NODAL R-HSA-1433617;Signaling By NODAL R-HSA-1181150
CFDP1,,,,,,
CHAMP1,,,,,,Antimicrobial Peptides R-HSA-6803157;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
CHD5,,,,,,
CHD7,,,,,,
CHFR,,,,Spermatogenesis,,
