gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
BCL2,no,1.295,1.556,14831,18181,0.265
BCL2A1,no,0.333,0.358,3817,4187,0.105
BCL2L1,no,18.876,18.984,216190,221821,0.008
BCL2L11,no,1.776,1.509,20337,17629,-0.235
BCL2L12,no,0.611,0.666,6994,7784,0.125
BCL2L13,no,5.857,5.31,67076,62050,-0.141
BCL2L2,no,23.813,21.413,272733,250209,-0.153
BCL3,no,5.805,4.246,66479,49613,-0.451
BCL6,no,4.238,3.414,48535,39897,-0.312
BCL6B,no,0.397,0.339,4547,3966,-0.226
BCL7B,no,5.749,4.843,65848,56590,-0.247
BCL7C,no,0.696,0.698,7967,8159,0.005
BCOR,no,3.706,4.921,42440,57497,0.409
BCORL1,no,1.993,2.459,22830,28732,0.303
BCR,no,9.931,10.228,113738,119514,0.043
BDKRB1,no,0.165,0.122,1891,1425,-0.437
BDKRB2,no,1.682,1.144,19269,13373,-0.556
BDNF,no,0.067,0.034,765,403,-0.954
BEAN1,no,0.057,0.019,653,225,-1.566
BECN1,no,14.026,13.156,160640,153721,-0.092
BEX2,no,4.897,4.443,56080,51910,-0.14
BFSP1,no,0.92,0.674,10536,7876,-0.449
BFSP2,no,0.043,,490,0,
BHMT,yes,0.058,0.016,660,188,-1.841
BICRAL,no,3.716,4.408,42564,51508,0.246
BID,no,1.289,0.952,14758,11120,-0.437
BIK,no,1.012,0.954,11590,11151,-0.085
BIRC2,no,15.907,16.978,182178,198387,0.094
BIRC5,no,0.708,0.358,8109,4186,-0.983
BIRC7,no,0.043,0.048,491,560,0.161
BLK,no,0.026,0.046,295,540,0.843
BLM,no,0.098,0.066,1120,776,-0.558
BLNK,no,1.718,1.959,19674,22888,0.189
BLOC1S2,no,4.886,3.937,55960,46003,-0.312
BLVRA,no,4.683,5.118,53632,59801,0.128
BMI1,no,11.212,8.665,128416,101248,-0.372
BMP2,no,6.312,3.984,72291,46556,-0.664
BMP2K,no,4.076,4.833,46679,56475,0.246
BMP4,no,0.318,0.391,3647,4571,0.297
BMP5,no,0.538,0.205,6167,2395,-1.393
BMP6,no,0.161,0.185,1844,2162,0.201
BMP7,no,0.075,0.057,863,670,-0.394
BMP8A,no,1.17,1.149,13400,13422,-0.027
BMP8B,no,0.775,0.771,8881,9005,-0.009
BMPER,no,0.24,0.159,2743,1863,-0.587
BMPR1A,no,6.309,5.574,72253,65128,-0.179
BMPR1B,no,0.358,0.278,4101,3247,-0.366
BMPR2,no,8.807,8.272,100863,96653,-0.09
