source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
thymus,08_thymocyte_SP,STAT4,,cellxgene,0.626,0.673,0.673,
thymus,08_thymocyte_SP,TCF7,,cellxgene,8.886,10.967,10.967,
thymus,08_thymocyte_SP,THEMIS,,cellxgene,2.223,1.777,2.223,
thymus,08_thymocyte_SP,TIGIT,,cellxgene,1.352,0.762,1.352,
thymus,08_thymocyte_SP,TNF,,cellxgene,0.223,0.218,0.223,
thymus,08_thymocyte_SP,TNFRSF9,,cellxgene,1.151,0.786,1.151,
thymus,08_thymocyte_SP,TNFSF14,,cellxgene,0.169,0.633,0.633,
thymus,08_thymocyte_SP,TNFSF8,,cellxgene,5.802,1.325,5.802,
thymus,08_thymocyte_SP,TRAF3IP3,,cellxgene,6.054,7.312,7.312,
thymus,08_thymocyte_SP,TREX1,,cellxgene,1.17,0.844,1.17,
thymus,08_thymocyte_SP,ZAP70,,both,6.348,7.71,7.71,
thymus,08_thymocyte_SP,ZNF683,,cellxgene,3.174,2.318,3.174,
thymus,09_thymic_treg,BCL11B,,cellxgene,3.184,3.17,3.184,
thymus,09_thymic_treg,CASP8,,cellxgene,3.354,2.655,3.354,
thymus,09_thymic_treg,CCR4,,cellxgene,1.19,0.793,1.19,
thymus,09_thymic_treg,CCR6,,cellxgene,1.509,0.817,1.509,
thymus,09_thymic_treg,CD2,,both,5.87,6.687,6.687,
thymus,09_thymic_treg,CD28,,cellxgene,3.111,4.378,4.378,
thymus,09_thymic_treg,CD3E,,both,33.355,24.568,33.355,
thymus,09_thymic_treg,CD3G,,both,4.184,3.243,4.184,
thymus,09_thymic_treg,CD4,CD4,both,11.554,6.913,11.554,
thymus,09_thymic_treg,CD5,,cellxgene,5.523,5.293,5.523,
thymus,09_thymic_treg,CD70,,cellxgene,0.914,0.532,0.914,
thymus,09_thymic_treg,CTLA4,Treg,both,3.159,1.655,3.159,
thymus,09_thymic_treg,CXCR3,,cellxgene,1.154,0.571,1.154,
thymus,09_thymic_treg,CXCR6,,cellxgene,0.299,0.212,0.299,
thymus,09_thymic_treg,ETS1,,cellxgene,11.402,7.083,11.402,
thymus,09_thymic_treg,FLT3LG,,cellxgene,2.997,3.893,3.893,
thymus,09_thymic_treg,FOXP3,Treg,both,1.612,1.067,1.612,
thymus,09_thymic_treg,GBP5,,cellxgene,1.018,0.896,1.018,
thymus,09_thymic_treg,ICOS,,cellxgene,1.231,1.175,1.231,
thymus,09_thymic_treg,IFNG,,cellxgene,0.073,0.156,0.156,
thymus,09_thymic_treg,IKZF2,Treg,both,3.442,5.851,5.851,
thymus,09_thymic_treg,IL17F,,cellxgene,0.029,0.055,0.055,
thymus,09_thymic_treg,IL2,,cellxgene,0.08,0.113,0.113,
thymus,09_thymic_treg,IL2RA,Treg,both,1.198,0.508,1.198,
thymus,09_thymic_treg,ITK,,cellxgene,3.247,1.75,3.247,
thymus,09_thymic_treg,JAK3,,cellxgene,5.762,4.755,5.762,
thymus,09_thymic_treg,LAG3,,cellxgene,0.963,0.273,0.963,
thymus,09_thymic_treg,LAIR2,,cellxgene,1.493,0.921,1.493,
thymus,09_thymic_treg,LAT,,cellxgene,7.312,9.725,9.725,
thymus,09_thymic_treg,LCK,,both,6.358,6.631,6.631,
thymus,09_thymic_treg,LEF1,,cellxgene,14.048,12.949,14.048,
thymus,09_thymic_treg,LEPROTL1,,cellxgene,2.562,2.329,2.562,
thymus,09_thymic_treg,LTA,,cellxgene,0.482,0.656,0.656,
thymus,09_thymic_treg,PDCD1,,cellxgene,0.752,1.466,1.466,
thymus,09_thymic_treg,PMCH,,cellxgene,0.152,0.22,0.22,
thymus,09_thymic_treg,RASGRP1,,cellxgene,4.085,4.28,4.28,
thymus,09_thymic_treg,SIRPG,,cellxgene,3.173,3.302,3.302,
thymus,09_thymic_treg,SLFN5,,cellxgene,4.685,5.466,5.466,
thymus,09_thymic_treg,TCF7,,cellxgene,8.886,10.967,10.967,
thymus,09_thymic_treg,TIGIT,,cellxgene,1.352,0.762,1.352,
thymus,09_thymic_treg,TNFRSF9,,cellxgene,1.151,0.786,1.151,
thymus,09_thymic_treg,TNFSF8,,cellxgene,5.802,1.325,5.802,
thymus,09_thymic_treg,TRAF3IP3,,cellxgene,6.054,7.312,7.312,
thymus,09_thymic_treg,ZAP70,,both,6.348,7.71,7.71,
thymus,09_thymic_treg,ZC3H12D,,cellxgene,1.283,0.66,1.283,
thymus,12_thymic_DC_myeloid,ADAM8,,cellxgene,3.762,2.957,3.762,
thymus,12_thymic_DC_myeloid,ADGRE2,,cellxgene,0.872,0.71,0.872,
thymus,12_thymic_DC_myeloid,ALDH2,,cellxgene,8.059,5.526,8.059,
thymus,12_thymic_DC_myeloid,ARRB2,,cellxgene,9.649,7.288,9.649,
thymus,12_thymic_DC_myeloid,BATF3,DC,both,0.808,0.544,0.808,
thymus,12_thymic_DC_myeloid,BCL11A,pDC,both,4.179,4.429,4.429,
thymus,12_thymic_DC_myeloid,BCL2A1,,cellxgene,0.402,0.518,0.518,
thymus,12_thymic_DC_myeloid,BID,,cellxgene,0.9,1.172,1.172,
