source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,04_immune_B_plasma,OGG1,,cellxgene,0.461,0.398,0.461,
shared,04_immune_B_plasma,PARP1,,cellxgene,17.235,18.289,18.289,
shared,04_immune_B_plasma,PARP15,,cellxgene,0.216,0.322,0.322,
shared,04_immune_B_plasma,PAX5,,both,0.022,0.017,0.022,
shared,04_immune_B_plasma,PDIA4,,cellxgene,30.12,27.531,30.12,
shared,04_immune_B_plasma,PLEKHA2,,cellxgene,1.138,1.059,1.138,
shared,04_immune_B_plasma,POU2AF1,plasma,both,0.066,0.218,0.218,
shared,04_immune_B_plasma,PRDM1,plasma,both,0.42,0.903,0.903,
shared,04_immune_B_plasma,RPN1,,cellxgene,33.4,28.823,33.4,
shared,04_immune_B_plasma,RUBCNL,,cellxgene,0.618,1.241,1.241,
shared,04_immune_B_plasma,SH2B2,,cellxgene,0.488,0.693,0.693,
shared,04_immune_B_plasma,SLAMF7,plasma,both,0.174,0.478,0.478,
shared,04_immune_B_plasma,SP140,,cellxgene,0.369,0.483,0.483,
shared,04_immune_B_plasma,SPIB,,both,0.307,0.314,0.314,
shared,04_immune_B_plasma,SYVN1,,cellxgene,7.591,10.407,10.407,
shared,04_immune_B_plasma,TCL1A,,both,0.029,0.012,0.029,
shared,04_immune_B_plasma,TLR10,,cellxgene,0.094,0.088,0.094,
shared,04_immune_B_plasma,TNFRSF13B,,both,0.015,0.03,0.03,
shared,04_immune_B_plasma,TNFRSF13C,,cellxgene,0.051,0.068,0.068,
shared,04_immune_B_plasma,TNFRSF17,plasma,both,0.035,0.067,0.067,
shared,04_immune_B_plasma,TOR3A,,cellxgene,2.247,1.514,2.247,
shared,04_immune_B_plasma,WASHC4,,cellxgene,9.39,9.697,9.697,
shared,04_immune_B_plasma,XBP1,plasma,both,72.745,63.583,72.745,ubiquitous_candidate_non_specific
shared,04_immune_B_plasma,ZNF296,,cellxgene,0.132,0.126,0.132,
shared,05_immune_NK_ILC,APOBEC3C,,cellxgene,2.812,2.273,2.812,
shared,05_immune_NK_ILC,CD244,,both,0.062,0.147,0.147,
shared,05_immune_NK_ILC,CD300A,,cellxgene,1.536,1.941,1.941,
shared,05_immune_NK_ILC,CMKLR1,,cellxgene,1.554,1.344,1.554,
shared,05_immune_NK_ILC,DDX3X,,cellxgene,22.671,16.399,22.671,
shared,05_immune_NK_ILC,EOMES,,both,0.096,0.087,0.096,
shared,05_immune_NK_ILC,FCGR3A,,both,0.961,1.066,1.066,
shared,05_immune_NK_ILC,GATA3,ILC2,both,0.061,0.054,0.061,
shared,05_immune_NK_ILC,IL1RL1,ILC2,both,1.634,0.204,1.634,
shared,05_immune_NK_ILC,KCNE1,,cellxgene,0.033,0.015,0.033,
