gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
DPYD,,,no,ENSG00000188641,Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD),Cytoplasm,hepatoblast;cholangiocyte;hepatocyte;periportal region hepatocyte;centrilobular region hepatocyte;Kupffer cell;immature innate lymphoid cell;oligodendrocyte;preadipocyte;brown preadipocyte;mesothelial fibroblast,,4.254,3.763,4.254,19743,9094,-0.177,HALLMARK,Apoptosis,False
EBP,,,no,ENSG00000147155,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Endoplasmic reticulum membrane,T-helper 17 cell;exhausted T cell;transit amplifying cell of small intestine,,1.79,1.175,1.79,8306,2840,-0.607,HALLMARK,Apoptosis,True
EGR3,,,no,ENSG00000179388,Early growth response protein 3 (EGR-3) (Zinc finger protein pilot),Nucleus,brush cell of bronchus,,2.713,4.426,4.426,12590,10696,0.706,HALLMARK,Apoptosis,True
EMP1,,,no,ENSG00000134531,Epithelial membrane protein 1 (EMP-1) (CL-20) (Protein B4B) (Tumor-associated membrane protein),Membrane,epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;corneal epithelial cell;conjunctival epithelial cell;tendon cell,,0.746,0.788,0.788,3464,1905,0.079,HALLMARK,Apoptosis,False
ENO2,,,no,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,,0.265,0.327,0.327,1229,791,0.306,HALLMARK,Apoptosis,True
ERBB2,,,no,ENSG00000141736,Receptor tyrosine-protein kinase erbB-2,Cell membrane,,EGF;NRG,1.565,1.136,1.565,7265,2745,-0.463,HALLMARK,Apoptosis,True
ERBB3,,,no,ENSG00000065361,Receptor tyrosine-protein kinase erbB-3,Secreted,intestinal crypt stem cell of small intestine,NRG,1.031,0.644,1.031,4787,1556,-0.68,HALLMARK,Apoptosis,True
EREG,,,no,ENSG00000124882,Proepiregulin,Cell membrane,hematopoietic stem cell;colon macrophage;mononuclear phagocyte;common myeloid progenitor,EGF,0.056,0.08,0.08,258,193,0.522,HALLMARK,Apoptosis,False
F2R,,,no,ENSG00000181104,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),Cell membrane,endothelial tip cell;endothelial cell of umbilical vein;endocardial cell;pancreatic stellate cell,PARs;KLK;PROCR,1.01,1.152,1.152,4686,2784,0.19,HALLMARK,Apoptosis,False
FAS,,,no,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Secreted,basal cell of prostate epithelium;medullary thymic epithelial cell,FASLG,2.323,1.828,2.323,10781,4418,-0.346,HALLMARK,Apoptosis,False
