gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
FLT3LG,,,no,ENSG00000090554,Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine),Secreted,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;central memory CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;exhausted T cell;group 2 innate lymphoid cell",,2.997,3.893,3.893,13907,9410,0.378,HALLMARK,IL-2/STAT5 Signaling,False
FURIN,,,no,ENSG00000140564,Furin,Golgi apparatus,acinar cell of salivary gland;brush cell;intestinal tuft cell;tuft cell of colon,,4.439,2.598,4.439,20601,6279,-0.773,HALLMARK,IL-2/STAT5 Signaling,False
GATA1,,,no,ENSG00000102145,Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein),Nucleus,"hematopoietic stem cell;blood cell;eosinophil;erythrocyte;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid lineage cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;reticulocyte;enucleated reticulocyte;primitive red blood cell;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor",,0.025,,0.025,118,0,,HALLMARK,IL-2/STAT5 Signaling,False
GLIPR2,,,no,ENSG00000122694,Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2),Golgi apparatus membrane,"pancreatic D cell;phagocyte;alveolar macrophage;lung macrophage;classical monocyte;myeloid dendritic cell, human;decidual natural killer cell, human;myeloid cell",,1.045,1.448,1.448,4848,3499,0.471,HALLMARK,IL-2/STAT5 Signaling,False
GPR83,,,no,ENSG00000123901,G-protein coupled receptor 83 (G-protein coupled receptor 72),Cell membrane,,NPY,0.034,0.062,0.062,158,151,0.876,HALLMARK,IL-2/STAT5 Signaling,True
GSTO1,,,no,ENSG00000148834,Glutathione S-transferase omega-1 (GSTO-1),Cytoplasm,microfold cell of epithelium of small intestine;pancreatic stellate cell;fibroblast of breast,,15.49,10.238,15.49,71890,24744,-0.597,HALLMARK,IL-2/STAT5 Signaling,False
HIPK2,,,no,ENSG00000064393,Homeodomain-interacting protein kinase 2 (hHIPk2),Nucleus,kidney loop of Henle thin descending limb epithelial cell;preadipocyte;brown preadipocyte,,6.962,3.459,6.962,32310,8361,-1.009,HALLMARK,IL-2/STAT5 Signaling,True
HK2,,,no,ENSG00000159399,Hexokinase-2,Mitochondrion outer membrane,white fat cell,,1.778,0.842,1.778,8253,2035,-1.079,HALLMARK,IL-2/STAT5 Signaling,True
HOPX,,,no,ENSG00000171476,Homeodomain-only protein (Lung cancer-associated Y protein) (Not expressed in choriocarcinoma protein 1) (Odd homeobox protein 1),Nucleus,"keratinocyte;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;type B pancreatic cell;epidermal cell;conjunctival epithelial cell;trophoblast giant cell;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell, human;forebrain radial glial cell;lung secretory cell",,1.105,1.017,1.105,5127,2459,-0.119,HALLMARK,IL-2/STAT5 Signaling,False
HUWE1,,,no,ENSG00000086758,E3 ubiquitin-protein ligase HUWE1,Cytoplasm,Sertoli cell,,6.666,6.033,6.666,30938,14580,-0.144,HALLMARK,IL-2/STAT5 Signaling,True
ICOS,,,no,ENSG00000163600,Inducible T-cell costimulator (Activation-inducible lymphocyte immunomediatory molecule) (CD antigen CD278),Secreted,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;intraepithelial lymphocyte;double negative thymocyte;DN3 thymocyte;group 3 innate lymphoid cell",ICOS,1.231,1.175,1.231,5712,2841,-0.066,HALLMARK,IL-2/STAT5 Signaling,False
IFITM3,,,no,,,,,,11.453,11.183,11.453,53151,27027,-0.034,HALLMARK,IL-2/STAT5 Signaling,True
IFNGR1,,,no,ENSG00000027697,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;microglial cell,IFN-II,8.737,6.208,8.737,40546,15004,-0.493,HALLMARK,IL-2/STAT5 Signaling,True
IGF1R,,,no,ENSG00000140443,Insulin-like growth factor 1 receptor,Cell membrane,corneal endothelial cell;pigmented epithelial cell;smooth muscle cell of sphincter of pupil,IGF,5.904,3.809,5.904,27401,9206,-0.632,HALLMARK,IL-2/STAT5 Signaling,False
