gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
IL15RA,,,no,ENSG00000134470,Interleukin-15 receptor subunit alpha (IL-15 receptor subunit alpha) (IL-15R-alpha) (IL-15RA) (CD antigen CD215),Membrane,,IL2,0.223,0.221,0.223,1036,534,-0.015,HALLMARK,Interferon Gamma Response,True
IL18BP,,,no,ENSG00000137496,Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa),Secreted,pancreatic A cell;intermediate monocyte,,1.091,1.039,1.091,5065,2511,-0.071,HALLMARK,Interferon Gamma Response,False
IL2RB,,,no,ENSG00000100385,Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122),Cell membrane,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;intraepithelial lymphocyte;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 3 innate lymphoid cell",IL2,1.707,1.65,1.707,7924,3989,-0.049,HALLMARK,Interferon Gamma Response,False
IL4R,,,no,ENSG00000077238,Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124),Cell membrane,IgG-negative class switched memory B cell;naive B cell;T cell,IL2;IL4,2.499,2.514,2.514,11596,6075,0.009,HALLMARK,Interferon Gamma Response,False
IL6,,,no,ENSG00000136244,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;vascular associated smooth muscle cell;smooth muscle cell of prostate;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mural cell,IL6,0.115,0.168,0.168,535,406,0.543,HALLMARK,Interferon Gamma Response,False
IL7,,,no,ENSG00000104432,Interleukin-7 (IL-7),Secreted,neuroendocrine cell;chromaffin cell,IL2,0.337,0.393,0.393,1565,950,0.221,HALLMARK,Interferon Gamma Response,False
IRF1,,,no,ENSG00000125347,Interferon regulatory factor 1 (IRF-1),Nucleus,"vasa recta ascending limb cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;gut endothelial cell;surface ectodermal cell;IgG-negative class switched memory B cell;mature alpha-beta T cell;mucosal invariant T cell;CD16-negative, CD56-bright natural killer cell, human;group 2 innate lymphoid cell, human",,8.914,10.206,10.206,41368,24666,0.195,HALLMARK,Interferon Gamma Response,False
IRF4,,,no,ENSG00000137265,Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (Multiple myeloma oncogene 1) (NF-EM5),Nucleus,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;plasmablast;IgG plasmablast;IgA plasmablast;mononuclear cell;lymphocyte;B cell;precursor B cell;small pre-B-II cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell",,3.302,1.688,3.302,15325,4079,-0.968,HALLMARK,Interferon Gamma Response,False
IRF5,,,no,ENSG00000128604,Interferon regulatory factor 5 (IRF-5),Cytoplasm,,,1.132,1.247,1.247,5254,3013,0.139,HALLMARK,Interferon Gamma Response,True
IRF7,,,no,ENSG00000185507,Interferon regulatory factor 7 (IRF-7),Nucleus;Cytoplasm,"bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;IgG plasma cell;common dendritic progenitor",,2.109,1.854,2.109,9786,4480,-0.186,HALLMARK,Interferon Gamma Response,False
