gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
IFNG,,,no,True,ENSG00000111537,Interferon gamma (IFN-gamma) (Immune interferon),Secreted,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II,0.073,0.156,0.156,339,376,1.091
IKZF1,,,no,True,ENSG00000185811,DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1),Nucleus,"hematopoietic cell;immature neutrophil;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;common dendritic progenitor;DN1 thymic pro-T cell;common lymphoid progenitor",,11.835,8.602,11.835,54927,20790,-0.46
IKZF2,,,no,True,ENSG00000030419,Zinc finger protein Helios (Ikaros family zinc finger protein 2),Nucleus,"corneal epithelial cell;taste receptor cell;conjunctival epithelial cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;papillary tips cell",,3.442,5.851,5.851,15972,14141,0.766
IKZF3,,,no,True,ENSG00000161405,Zinc finger protein Aiolos (Ikaros family zinc finger protein 3),Nucleus,"mature B cell;memory B cell;IgG memory B cell;germinal center B cell;lymphocyte;alpha-beta T cell;mature alpha-beta T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;mature T cell;B cell;DN1 thymic pro-T cell",,3.949,2.637,3.949,18328,6374,-0.583
IKZF4,,,no,True,ENSG00000123411,Zinc finger protein Eos (Ikaros family zinc finger protein 4),Nucleus,,,1.109,0.897,1.109,5145,2169,-0.305
IL10,,,no,True,ENSG00000136634,Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF),Secreted,"intermediate monocyte;CD4-positive, alpha-beta cytotoxic T cell",IL10,0.144,0.223,0.223,669,539,0.63
IL10RA,,,no,True,ENSG00000110324,Interleukin-10 receptor subunit alpha (IL-10 receptor subunit alpha) (IL-10R subunit alpha) (IL-10RA) (CDw210a) (Interleukin-10 receptor subunit 1) (IL-10R subunit 1) (IL-10R1) (CD antigen CD210),Cell membrane,"leukocyte;memory regulatory T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;regulatory T cell;group 2 innate lymphoid cell",IL10,4.249,3.605,4.249,19720,8713,-0.237
IL17F,,,no,True,ENSG00000112116,Interleukin-17F (IL-17F) (Cytokine ML-1),Secreted,"CD4-positive helper T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell",IL17,0.029,0.055,0.055,136,134,0.92
IL2,,,no,True,ENSG00000109471,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin),Secreted,"T cell;CD4-positive helper T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell",IL2,0.08,0.113,0.113,371,274,0.504
IL2RA,,,no,True,ENSG00000134460,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25),Membrane,"T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 17 cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;mature T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",IL2,1.198,0.508,1.198,5560,1228,-1.238
