gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
IL5,,,no,ENSG00000113525,Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),Secreted,"activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell",IL4,0.055,0.116,0.116,257,281,1.07,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL5RA,,,no,ENSG00000091181,Interleukin-5 receptor subunit alpha (IL-5 receptor subunit alpha) (IL-5R subunit alpha) (IL-5R-alpha) (IL-5RA) (CDw125) (CD antigen CD125),Membrane,granulocyte;basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;granulocytopoietic cell,IL4,0.157,0.269,0.269,727,650,0.78,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
IL6,,,no,ENSG00000136244,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;vascular associated smooth muscle cell;smooth muscle cell of prostate;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mural cell,IL6,0.115,0.168,0.168,535,406,0.543,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IL6R,,,no,ENSG00000160712,Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126),Secreted,,IL6,3.461,2.518,3.461,16061,6085,-0.459,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
IL6ST,,,no,ENSG00000134352,Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130),Secreted,skeletal muscle satellite stem cell;intrahepatic cholangiocyte;vasa recta ascending limb cell;retinal blood vessel endothelial cell;glomerular capillary endothelial cell;lung microvascular endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;surface ectodermal cell;skeletal muscle satellite cell;connective tissue cell;fibroblast;fibroblast of lung,IL6;IL12;LIFR;OSM,34.388,19.313,34.388,159593,46678,-0.832,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IQGAP1,,,no,ENSG00000140575,Ras GTPase-activating-like protein IQGAP1 (p195),Cell membrane,alternatively activated macrophage;neutrophil;mature conventional dendritic cell;myeloid leukocyte;myeloid cell,,7.697,5.988,7.697,35719,14473,-0.362,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IRS1,,,no,ENSG00000169047,Insulin receptor substrate 1 (IRS-1),,tracheobronchial smooth muscle cell,,5.473,2.255,5.473,25399,5449,-1.279,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
IRS2,,,no,ENSG00000185950,Insulin receptor substrate 2 (IRS-2),Cytoplasm,salivary gland cell,,6.019,2.331,6.019,27933,5634,-1.368,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
ITGA2B,,,no,ENSG00000005961,Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41),Membrane,"hematopoietic stem cell;blood cell;basophil;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte;erythroid progenitor cell, mammalian;common myeloid progenitor",CD40;FN1;VTN;TENASCIN;VWF,0.048,0.049,0.049,222,119,0.042,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
ITGB3,,,no,ENSG00000259207,Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61),Cell membrane,blood cell;platelet;megakaryocyte-erythroid progenitor cell;megakaryocyte,NRG;IGF;CD40;SPP1;ANGPTL;PTN;PERIOSTIN;FN1;THBS;VTN;TENASCIN;VWF;BSP;DMP1;CD23;L1CAM;THY1;ADGRA;ADGRE;MMP,0.348,0.478,0.478,1615,1156,0.459,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
