gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
HSPA9,,,no,ENSG00000113013,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",Mitochondrion,,,12.62,10.794,12.62,58566,26089,-0.225,HALLMARK,mTORC1 Signaling,True
HSPD1,,,no,ENSG00000144381,"60 kDa heat shock protein, mitochondrial",Mitochondrion matrix,professional antigen presenting cell;dendritic cell;mast cell;mucosal type mast cell;proerythroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,6.67,6.858,6.858,30953,16576,0.04,HALLMARK,mTORC1 Signaling,False
IDH1,,,no,ENSG00000138413,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1),Cytoplasm,urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;placental villous trophoblast;bladder cell,,1.974,1.561,1.974,9161,3772,-0.339,HALLMARK,mTORC1 Signaling,True
IFRD1,,,no,ENSG00000006652,Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4),,intestinal crypt stem cell of large intestine;paneth cell of epithelium of small intestine,,1.454,1.465,1.465,6748,3541,0.011,HALLMARK,mTORC1 Signaling,True
IMMT,,,no,ENSG00000132305,MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89),Mitochondrion inner membrane,,,4.358,2.92,4.358,20223,7058,-0.577,HALLMARK,mTORC1 Signaling,True
ITGB2,,,no,ENSG00000160255,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",Cell membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;CD8-positive, alpha-beta cytotoxic T cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;myeloid cell",CD40;COMPLEMENT;CD23;GP1BA;ICAM;JAM;THY1;VCAM,15.158,14.186,15.158,70345,34286,-0.096,HALLMARK,mTORC1 Signaling,False
LDHA,,,no,ENSG00000134333,L-lactate dehydrogenase A chain (LDH-A),Cytoplasm,"pancreatic D cell;myometrial cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;rod bipolar cell;glycinergic neuron",,11.311,7.6,11.311,52493,18368,-0.574,HALLMARK,mTORC1 Signaling,False
LDLR,,,no,ENSG00000130164,Low-density lipoprotein receptor (LDL receptor),Cell membrane,paneth cell of epithelium of small intestine;duodenum glandular cell;cortical cell of adrenal gland;serous cell of epithelium of trachea,,0.385,0.199,0.385,1789,480,-0.957,HALLMARK,mTORC1 Signaling,True
LGMN,,,no,ENSG00000100600,Legumain,Lysosome,pancreatic PP cell;PP cell;macrophage;elicited macrophage;alternatively activated macrophage;Kupffer cell;colon macrophage;Hofbauer cell;intermediate monocyte;immature innate lymphoid cell,,10.946,10.547,10.946,50801,25492,-0.054,HALLMARK,mTORC1 Signaling,False
LTA4H,,,no,ENSG00000111144,Leukotriene A-4 hydrolase (LTA-4 hydrolase),Cytoplasm,"epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;phagocyte;alveolar macrophage;lung macrophage;classical monocyte;immature neutrophil;monocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell;myelocyte;granulocytopoietic cell;lung secretory cell",,3.672,4.121,4.121,17040,9961,0.167,HALLMARK,mTORC1 Signaling,False
MCM2,,,no,ENSG00000073111,DNA replication licensing factor MCM2,Nucleus,macrophage dendritic cell progenitor,,1.813,1.297,1.813,8413,3135,-0.483,HALLMARK,mTORC1 Signaling,False
MCM4,,,no,ENSG00000104738,DNA replication licensing factor MCM4,Nucleus,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,2.099,1.368,2.099,9740,3306,-0.618,HALLMARK,mTORC1 Signaling,False
ME1,,,no,ENSG00000065833,NADP-dependent malic enzyme (NADP-ME),Cytoplasm,lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,1.32,1.348,1.348,6125,3258,0.031,HALLMARK,mTORC1 Signaling,True
NIBAN1,,,no,ENSG00000135842,Protein Niban 1 (Cell growth-inhibiting gene 39 protein) (Protein FAM129A),Cytoplasm,pigmented epithelial cell;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;smooth muscle cell of sphincter of pupil;muscle precursor cell;smooth muscle myoblast;granulocyte;neutrophil,,2.039,1.599,2.039,9464,3865,-0.351,HALLMARK,mTORC1 Signaling,False
P4HA1,,,no,ENSG00000122884,Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1),Endoplasmic reticulum lumen,mesothelial fibroblast;osteoblast,,2.935,2.622,2.935,13619,6338,-0.162,HALLMARK,mTORC1 Signaling,False
PDK1,,,no,ENSG00000152256,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Mitochondrion matrix,plasma cell,,2.366,1.901,2.366,10982,4594,-0.316,HALLMARK,mTORC1 Signaling,False
PGK1,,,no,ENSG00000102144,Phosphoglycerate kinase 1,Cytoplasm,T-helper 17 cell;glycinergic neuron,,8.613,6.019,8.613,39974,14548,-0.517,HALLMARK,mTORC1 Signaling,True
PGM1,,,no,ENSG00000079739,Phosphoglucomutase-1 (PGM 1),Cytoplasm,slow muscle cell;fast muscle cell;white fat cell,,2.336,1.391,2.336,10839,3363,-0.747,HALLMARK,mTORC1 Signaling,True
PHGDH,,,no,ENSG00000092621,D-3-phosphoglycerate dehydrogenase (3-PGDH),,Sertoli cell;mesothelial cell;granulosa cell;forebrain radial glial cell,,1.407,1.816,1.816,6530,4390,0.368,HALLMARK,mTORC1 Signaling,True
PITPNB,,,no,ENSG00000180957,Phosphatidylinositol transfer protein beta isoform (PI-TP-beta) (PtdIns transfer protein beta) (PtdInsTP beta),Golgi apparatus,,,7.447,6.539,7.447,34563,15804,-0.188,HALLMARK,mTORC1 Signaling,True
PLK1,,,no,ENSG00000166851,Serine/threonine-protein kinase PLK1,Nucleus;Chromosome,,,0.651,0.355,0.651,3023,859,-0.874,HALLMARK,mTORC1 Signaling,True
PNP,,,no,ENSG00000198805,Purine nucleoside phosphorylase (PNP),Cytoplasm,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;placental villous trophoblast;reticulocyte;enucleated reticulocyte,,0.662,0.529,0.662,3071,1278,-0.324,HALLMARK,mTORC1 Signaling,False
PSMB5,,,no,ENSG00000100804,Proteasome subunit beta type-5,Cytoplasm,cortical thymic epithelial cell,,2.651,1.595,2.651,12301,3856,-0.732,HALLMARK,mTORC1 Signaling,False
PSMC2,,,no,ENSG00000161057,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),Cytoplasm,,,3.374,2.053,3.374,15658,4963,-0.716,HALLMARK,mTORC1 Signaling,True
PSME3,,,no,ENSG00000131467,Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma),Nucleus,,,5.832,5.017,5.832,27068,12126,-0.217,HALLMARK,mTORC1 Signaling,True
RPA1,,,no,ENSG00000132383,Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein),Nucleus,,,5.374,3.694,5.374,24941,8928,-0.541,HALLMARK,mTORC1 Signaling,True
RPN1,,,no,ENSG00000163902,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),Endoplasmic reticulum,plasmablast;plasma cell;IgG plasma cell,,7.068,5.17,7.068,32801,12495,-0.451,HALLMARK,mTORC1 Signaling,False
RRM2,,,no,ENSG00000171848,Ribonucleoside-diphosphate reductase subunit M2,Cytoplasm,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;precursor B cell;pro-B cell;fraction A pre-pro B cell",,0.498,0.413,0.498,2310,998,-0.27,HALLMARK,mTORC1 Signaling,False
SDF2L1,,,no,ENSG00000128228,Stromal cell-derived factor 2-like protein 1 (SDF2-like protein 1) (PWP1-interacting protein 8),Endoplasmic reticulum lumen,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;enteroendocrine cell;endocrine cell;plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell,,1.564,1.394,1.564,7259,3368,-0.167,HALLMARK,mTORC1 Signaling,False
SERPINH1,,,no,ENSG00000149257,Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47),Endoplasmic reticulum lumen,epithelial cell;endothelial tip cell;lung endothelial cell;cortical thymic epithelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endosteal cell;preosteoblast;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;osteoblast;chondrocyte;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,,2.549,3.28,3.28,11831,7927,0.364,HALLMARK,mTORC1 Signaling,False
SHMT2,,,no,ENSG00000182199,"Serine hydroxymethyltransferase, mitochondrial (SHMT)",Mitochondrion,"B-1a B cell;activated CD4-positive, alpha-beta T cell;DN4 thymocyte;macrophage dendritic cell progenitor",,4.422,2.91,4.422,20524,7032,-0.604,HALLMARK,mTORC1 Signaling,False
SKAP2,,,no,,,,,,1.851,2.186,2.186,8590,5283,0.24,HALLMARK,mTORC1 Signaling,True
SLC1A5,,,no,ENSG00000105281,Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;erythroid lineage cell;reticulocyte,,3.465,2.623,3.465,16079,6340,-0.401,HALLMARK,mTORC1 Signaling,True
