gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
SYVN1,,,no,ENSG00000162298,E3 ubiquitin-protein ligase synoviolin,Endoplasmic reticulum membrane,germinal center B cell;plasmablast;precursor B cell;small pre-B-II cell;pre-B-I cell;plasma cell;IgG plasma cell,,2.154,1.745,2.154,9996,4218,-0.304,KEGG,Ubiquitin mediated proteolysis,False
TRAF6,,,no,ENSG00000175104,TNF receptor-associated factor 6,Cytoplasm,,,1.613,1.487,1.613,7484,3593,-0.117,KEGG,Ubiquitin mediated proteolysis,False
UBA1,,,no,ENSG00000130985,Ubiquitin-like modifier-activating enzyme 1,Cytoplasm,pancreatic PP cell,,6.233,3.776,6.233,28926,9126,-0.723,KEGG,Ubiquitin mediated proteolysis,True
UBE2C,,,no,ENSG00000175063,Ubiquitin-conjugating enzyme E2 C,,"double-positive, alpha-beta thymocyte;DN4 thymocyte;large pre-B-II cell;promonocyte;fraction A pre-pro B cell",,0.161,0.188,0.188,749,455,0.222,KEGG,Ubiquitin mediated proteolysis,False
UBE2D1,,,no,ENSG00000072401,Ubiquitin-conjugating enzyme E2 D1,Cytoplasm,,,0.696,1.017,1.017,3230,2458,0.547,KEGG,Ubiquitin mediated proteolysis,True
UBE2D2,,,no,ENSG00000131508,Ubiquitin-conjugating enzyme E2 D2,,chorionic trophoblast cell;mononuclear cell;T cell,,2.629,2.693,2.693,12202,6508,0.034,KEGG,Ubiquitin mediated proteolysis,True
UBE2D3,,,no,ENSG00000109332,Ubiquitin-conjugating enzyme E2 D3,Cell membrane,myeloid leukocyte,,9.511,9.854,9.854,44140,23815,0.051,KEGG,Ubiquitin mediated proteolysis,False
UBE2I,,,no,ENSG00000103275,SUMO-conjugating enzyme UBC9,Nucleus,large pre-B-II cell,,7.527,4.942,7.527,34933,11944,-0.607,KEGG,Ubiquitin mediated proteolysis,False
UBE2L3,,,no,ENSG00000185651,Ubiquitin-conjugating enzyme E2 L3,Nucleus,,,1.249,1.383,1.383,5795,3343,0.148,KEGG,Ubiquitin mediated proteolysis,True
UBE3A,,,no,ENSG00000114062,Ubiquitin-protein ligase E3A,Cytoplasm,,,4.842,4.393,4.842,22471,10617,-0.14,KEGG,Ubiquitin mediated proteolysis,True
UBE4B,,,no,ENSG00000130939,Ubiquitin conjugation factor E4 B,Cytoplasm,,,4.212,3.278,4.212,19546,7922,-0.362,KEGG,Ubiquitin mediated proteolysis,True
UBR5,,,no,ENSG00000104517,E3 ubiquitin-protein ligase UBR5,Nucleus,,,4.028,3.384,4.028,18694,8178,-0.251,KEGG,Ubiquitin mediated proteolysis,True
VHL,,,no,ENSG00000134086,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),Cytoplasm,,,4.047,3.713,4.047,18782,8974,-0.124,KEGG,Ubiquitin mediated proteolysis,True
WWP1,,,no,ENSG00000123124,NEDD4-like E3 ubiquitin-protein ligase WWP1,Cytoplasm,,,3.249,3.001,3.249,15077,7254,-0.114,KEGG,Ubiquitin mediated proteolysis,True
WWP2,,,no,ENSG00000198373,NEDD4-like E3 ubiquitin-protein ligase WWP2,Nucleus,chondrocyte,,3.098,2.934,3.098,14377,7091,-0.078,KEGG,Ubiquitin mediated proteolysis,True
XIAP,,,no,ENSG00000101966,E3 ubiquitin-protein ligase XIAP,Cytoplasm,,,1.677,1.848,1.848,7785,4467,0.14,KEGG,Ubiquitin mediated proteolysis,True
