gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
HMGN3,,,no,True,ENSG00000118418,High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7),Nucleus,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;lung neuroendocrine cell;pancreatic PP cell;PP cell;follicular dendritic cell;placental villous trophoblast;mature conventional dendritic cell;forebrain radial glial cell;rod bipolar cell,,1.094,1.147,1.147,5077,2771,0.068
HOXB5,,,no,True,ENSG00000120075,Homeobox protein Hox-B5 (Homeobox protein HHO.C10) (Homeobox protein Hox-2A) (Homeobox protein Hu-1),Nucleus,neural crest cell;lung neuroendocrine cell;tracheobronchial smooth muscle cell;enteric neuron;peripheral nervous system neuron;fibroblast of lung,,0.051,0.074,0.074,235,178,0.54
HPGDS,,,no,True,ENSG00000163106,Hematopoietic prostaglandin D synthase (H-PGDS),Cytoplasm,"pancreatic ductal cell;brush cell;intestinal tuft cell;tuft cell of colon;Hofbauer cell;granulocyte;basophil;eosinophil;mast cell;group 2 innate lymphoid cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic multipotent progenitor cell",,0.19,0.146,0.19,884,353,-0.383
HS3ST5,,,no,True,ENSG00000249853,Heparan sulfate glucosamine 3-O-sulfotransferase 5,Golgi apparatus membrane,neuroendocrine cell;chromaffin cell;ganglion interneuron;stellate neuron,,0.06,0.098,0.098,277,236,0.71
ICA1,,,no,True,ENSG00000003147,Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69),Cytoplasm,lung neuroendocrine cell,,1.618,0.933,1.618,7509,2255,-0.794
IGF1,,,no,True,ENSG00000017427,Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C),Secreted,mesenchymal stem cell;pulmonary ionocyte;ionocyte;tracheobronchial smooth muscle cell;decidual cell;neuron;connective tissue cell;fibroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;myofibroblast cell;stromal cell;stromal cell of ovary;adventitial cell,IGF,0.799,0.571,0.799,3708,1380,-0.485
IGFBP2,,,no,True,ENSG00000115457,Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2),Secreted,glioblast;Schwann cell precursor;respiratory basal cell;basal cell of epithelium of bronchus;ciliated cell of the bronchus;lung neuroendocrine cell;pancreatic PP cell;PP cell;fallopian tube secretory epithelial cell;granulosa cell;brush cell of trachea;cortical thymic epithelial cell;bronchial epithelial cell;Leydig cell;decidual cell;immature Schwann cell;fibroblast of connective tissue of glandular part of prostate;stromal cell of ovary,,3.624,1.39,3.624,16820,3359,-1.383
IGSF8,,,no,True,ENSG00000162729,Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316),Cell membrane,lung neuroendocrine cell,,2.013,2.088,2.088,9340,5046,0.053
IL13RA1,,,no,True,ENSG00000131724,Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1),Membrane,brush cell;intestinal tuft cell;tuft cell of colon,IL4,5.542,4.292,5.542,25721,10374,-0.369
IL17RB,,,no,True,ENSG00000056736,Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor),Secreted,brush cell;intestinal tuft cell;tuft cell of colon,IL17,0.213,0.125,0.213,989,303,-0.765
