gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
EGFR,,,no,ENSG00000146648,Epidermal growth factor receptor,Cell membrane,basal epithelial cell of prostatic duct;trophoblast giant cell;syncytiotrophoblast cell,EGF;EPGN,5.938,3.547,5.938,27556,8572,-0.743,HALLMARK,PI3K/AKT/mTOR  Signaling,True
EIF4E,,,no,ENSG00000151247,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Cytoplasm,,,1.733,1.907,1.907,8044,4608,0.137,HALLMARK,PI3K/AKT/mTOR  Signaling,True
FASLG,,,no,ENSG00000117560,Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178),Cell membrane,"activated CD8-positive, alpha-beta T cell;gamma-delta T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",,0.073,0.132,0.132,340,319,0.849,HALLMARK,PI3K/AKT/mTOR  Signaling,False
GRB2,,,no,ENSG00000177885,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),Nucleus,inflammatory macrophage;hematopoietic cell;leukocyte;conventional dendritic cell;intermediate monocyte,,11.697,11.184,11.697,54287,27030,-0.065,HALLMARK,PI3K/AKT/mTOR  Signaling,False
GRK2,,,no,ENSG00000173020,Beta-adrenergic receptor kinase 1 (Beta-ARK-1),Cytoplasm,DN4 thymocyte;promonocyte;promyelocyte;myeloid lineage restricted progenitor cell,,14.064,9.768,14.064,65269,23608,-0.526,HALLMARK,PI3K/AKT/mTOR  Signaling,False
GSK3B,,,no,ENSG00000082701,Glycogen synthase kinase-3 beta (GSK-3 beta),Cytoplasm,brown fat cell,,1.651,1.489,1.651,7661,3598,-0.149,HALLMARK,PI3K/AKT/mTOR  Signaling,True
HRAS,,,no,ENSG00000174775,GTPase HRas,Cell membrane,,,2.705,1.498,2.705,12553,3620,-0.853,HALLMARK,PI3K/AKT/mTOR  Signaling,True
IL2RG,,,no,ENSG00000147168,Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T-helper 17 cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;exhausted T cell;intraepithelial lymphocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;hematopoietic multipotent progenitor cell;early T lineage precursor",IL2,6.388,5.975,6.388,29647,14441,-0.096,HALLMARK,PI3K/AKT/mTOR  Signaling,False
IL4,,,no,ENSG00000113520,Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra),Secreted,basophil,IL2;IL4,0.034,0.055,0.055,160,134,0.685,HALLMARK,PI3K/AKT/mTOR  Signaling,True
IRAK4,,,no,ENSG00000198001,Interleukin-1 receptor-associated kinase 4 (IRAK-4),Cytoplasm,,,1.503,1.542,1.542,6973,3726,0.037,HALLMARK,PI3K/AKT/mTOR  Signaling,True
LCK,,,no,ENSG00000182866,Tyrosine-protein kinase Lck,Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 2 cell;T-helper 17 cell;T-helper 22 cell;naive regulatory T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;gamma-delta T cell;mature T cell;regulatory T cell;exhausted T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;DN4 thymocyte;double negative T regulatory cell",LCK,6.358,6.631,6.631,29506,16027,0.061,HALLMARK,PI3K/AKT/mTOR  Signaling,False
MAP3K7,,,no,ENSG00000135341,Mitogen-activated protein kinase kinase kinase 7,Cytoplasm,,,5.216,3.62,5.216,24208,8750,-0.527,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MAPK1,,,no,ENSG00000100030,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1),Cytoplasm,"CD8-positive, alpha-beta cytokine secreting effector T cell",,3.184,2.71,3.184,14777,6550,-0.233,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MAPK10,,,no,ENSG00000109339,Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10),Cytoplasm,ependymal cell;choroid plexus epithelial cell;astrocyte;papillary tips cell,,0.472,0.51,0.51,2190,1233,0.113,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MAPK8,,,no,ENSG00000107643,Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8),Cytoplasm,,,1.412,1.141,1.412,6551,2758,-0.307,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MAPK9,,,no,ENSG00000050748,Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9),Cytoplasm,,,2.586,2.203,2.586,12001,5324,-0.231,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MKNK1,,,no,ENSG00000079277,MAP kinase-interacting serine/threonine-protein kinase 1,Cytoplasm;Nucleus,,,1.688,1.508,1.688,7835,3644,-0.163,HALLMARK,PI3K/AKT/mTOR  Signaling,True
MYD88,,,no,ENSG00000172936,Myeloid differentiation primary response protein MyD88,Cytoplasm,dendritic cell;CD141-positive myeloid dendritic cell;conventional dendritic cell;Langerhans cell;non-classical monocyte,,3.966,3.207,3.966,18406,7750,-0.307,HALLMARK,PI3K/AKT/mTOR  Signaling,False
