gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
PIK3C3,,,no,ENSG00000078142,Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3),Midbody,,,4.11,3.564,4.11,19072,8614,-0.205,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PRKN,,,no,ENSG00000185345,E3 ubiquitin-protein ligase parkin (Parkin),Cytoplasm,regular atrial cardiac myocyte;regular ventricular cardiac myocyte,,0.185,0.186,0.186,860,449,0.004,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMA6,,,no,ENSG00000100902,Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),Cytoplasm,"professional antigen presenting cell;dendritic cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;early lymphoid progenitor;common lymphoid progenitor",,5.023,3.125,5.023,23312,7552,-0.685,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMB10,,,no,,,,,,14.328,8.84,14.328,66497,21365,-0.697,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMB11,,,no,,,,,,0.17,0.109,0.17,787,264,-0.635,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMB5,,,no,ENSG00000100804,Proteasome subunit beta type-5,Cytoplasm,cortical thymic epithelial cell,,2.651,1.595,2.651,12301,3856,-0.732,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMB6,,,no,,,,,,7.317,4.869,7.317,33958,11768,-0.588,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMB7,,,no,,,,,,10.271,5.831,10.271,47669,14094,-0.817,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMB8,,,no,,,,,,8.06,5.111,8.06,37404,12352,-0.657,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMB9,,,no,,,,,,8.718,5.961,8.718,40459,14407,-0.548,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
PSMC2,,,no,ENSG00000161057,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),Cytoplasm,,,3.374,2.053,3.374,15658,4963,-0.716,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
